Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-gpt-5	OVERALL	ALL	447	38	409	139	149	8.5	33.99	36.43	7090.5	0.82197
text-only-aggregate-gpt-5	submodality	audio.mastermix.wav	149	0	149	0	149	0.0	0.0	100.0	3127.25	0.0
text-only-aggregate-gpt-5	submodality	symbolic.musicxml	151	23	128	67	0	15.23	52.34	0.0	2022.74	0.387895
text-only-aggregate-gpt-5	submodality	visual.short.png	147	15	132	72	0	10.2	54.55	0.0	1940.51	0.434075
text-only-aggregate-gpt-5	piece_id	Anonymous_AusMeinesHerzensGrunde	43	3	40	17	14	6.98	42.5	35.0	630.6	0.069641
text-only-aggregate-gpt-5	piece_id	Bach_IchStehAnDeinerKrippe	57	5	52	23	18	8.77	44.23	34.62	894.23	0.097662
text-only-aggregate-gpt-5	piece_id	Crueger_AufAufMeinHerzMitFreuden	38	1	37	8	13	2.63	21.62	35.14	619.27	0.060767
text-only-aggregate-gpt-5	piece_id	Drese_JesuGehVoran	29	3	26	9	9	10.34	34.62	34.62	450.6	0.047313
text-only-aggregate-gpt-5	piece_id	Gesius_BefiehlDuDeineWege	47	4	43	13	15	8.51	30.23	34.88	664.57	0.074179
text-only-aggregate-gpt-5	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	2	41	12	15	4.65	29.27	36.59	683.76	0.071483
text-only-aggregate-gpt-5	piece_id	Jan_DuGrosserSchmerzensmann	43	1	42	10	14	2.33	23.81	33.33	687.7	0.111574
text-only-aggregate-gpt-5	piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	10	39	16	16	20.41	41.03	41.03	829.91	0.123801
text-only-aggregate-gpt-5	piece_id	Vulpius_ChristusDerIstMeinLeben	63	6	57	17	23	9.52	29.82	40.35	1060.35	0.107292
text-only-aggregate-gpt-5	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	3	32	14	12	8.57	43.75	37.5	569.51	0.05826
