Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	75	28	47	0	0	37.33	0.0	0.0	230.5	0.010698
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	25	8	17	0	0	32.0	0.0	0.0	95.69	0.002797
google/gemini-2.0-flash-lite-001	submodality	symbolic.abc.txt	25	14	11	0	0	56.0	0.0	0.0	75.46	0.004378
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	25	6	19	0	0	24.0	0.0	0.0	59.35	0.003523
google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	21	7	14	0	0	33.33	0.0	0.0	64.11	0.003046
google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	3	2	1	0	0	66.67	0.0	0.0	7.95	0.000381
google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	9	4	5	0	0	44.44	0.0	0.0	31.65	0.001437
google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	3	0	3	0	0	0.0	0.0	0.0	10.06	0.000455
google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	6	0	6	0	0	0.0	0.0	0.0	15.94	0.000732
google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	3	3	0	0	50.0	0.0	0.0	18.27	0.00083
google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	3	1	2	0	0	33.33	0.0	0.0	10.67	0.000508
google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	4	8	0	0	33.33	0.0	0.0	39.5	0.001873
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	3	2	1	0	0	66.67	0.0	0.0	5.86	0.000236
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	5	4	0	0	55.56	0.0	0.0	26.49	0.001202
google/gemini-2.0-flash-lite-001	is_nota_correct	0	60	25	35	0	0	41.67	0.0	0.0	181.95	0.008269
google/gemini-2.0-flash-lite-001	is_nota_correct	1	15	3	12	0	0	20.0	0.0	0.0	48.55	0.002429
google/gemini-2.0-flash-lite-001	meta-question_id	1	9	3	6	0	0	33.33	0.0	0.0	27.98	0.001284
