Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	119	45	74	0	0	37.82	0.0	0.0	324.75	0.07688
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	44	16	28	0	0	36.36	0.0	0.0	168.34	0.004236
google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	38	18	20	0	0	47.37	0.0	0.0	91.57	0.06846
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	37	11	26	0	0	29.73	0.0	0.0	64.84	0.004184
google/gemini-2.0-flash-lite-001	is_nota_correct	0	90	38	52	0	0	42.22	0.0	0.0	236.07	0.061537
google/gemini-2.0-flash-lite-001	is_nota_correct	1	29	7	22	0	0	24.14	0.0	0.0	88.69	0.015343
google/gemini-2.0-flash-lite-001	meta-question_id	0	11	3	8	0	0	27.27	0.0	0.0	27.74	0.006462
google/gemini-2.0-flash-lite-001	meta-question_id	1	9	2	7	0	0	22.22	0.0	0.0	22.4	0.00544
google/gemini-2.0-flash-lite-001	meta-question_id	2	12	2	10	0	0	16.67	0.0	0.0	30.99	0.007421
google/gemini-2.0-flash-lite-001	meta-question_id	3	9	8	1	0	0	88.89	0.0	0.0	28.4	0.008281
google/gemini-2.0-flash-lite-001	meta-question_id	4	19	4	15	0	0	21.05	0.0	0.0	50.77	0.014235
google/gemini-2.0-flash-lite-001	meta-question_id	5	13	5	8	0	0	38.46	0.0	0.0	33.2	0.007884
google/gemini-2.0-flash-lite-001	meta-question_id	6	8	2	6	0	0	25.0	0.0	0.0	24.43	0.004785
google/gemini-2.0-flash-lite-001	meta-question_id	7	10	7	3	0	0	70.0	0.0	0.0	24.44	0.006656
google/gemini-2.0-flash-lite-001	meta-question_id	8	20	12	8	0	0	60.0	0.0	0.0	58.8	0.011721
google/gemini-2.0-flash-lite-001	meta-question_id	9	8	0	8	0	0	0.0	0.0	0.0	23.58	0.003995
google/gemini-2.0-flash-lite-001	category	harmony	38	19	19	0	0	50.0	0.0	0.0	106.82	0.022372
google/gemini-2.0-flash-lite-001	category	pitch	41	15	26	0	0	36.59	0.0	0.0	109.53	0.027604
google/gemini-2.0-flash-lite-001	category	rhythm	40	11	29	0	0	27.5	0.0	0.0	108.4	0.026904
google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	20	12	8	0	0	60.0	0.0	0.0	58.8	0.011721
google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	18	7	11	0	0	38.89	0.0	0.0	48.02	0.010651
google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	20	5	15	0	0	25.0	0.0	0.0	50.14	0.011902
google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	21	10	11	0	0	47.62	0.0	0.0	59.39	0.015702
google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	19	4	15	0	0	21.05	0.0	0.0	50.77	0.014235
google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	21	7	14	0	0	33.33	0.0	0.0	57.63	0.012669
google/gemini-2.0-flash-lite-001	skill	cadence recognition	8	0	8	0	0	0.0	0.0	0.0	23.58	0.003995
google/gemini-2.0-flash-lite-001	skill	chord recognition	20	12	8	0	0	60.0	0.0	0.0	58.8	0.011721
google/gemini-2.0-flash-lite-001	skill	interval recognition	12	2	10	0	0	16.67	0.0	0.0	30.99	0.007421
google/gemini-2.0-flash-lite-001	skill	interval statistics	9	8	1	0	0	88.89	0.0	0.0	28.4	0.008281
google/gemini-2.0-flash-lite-001	skill	note length	19	4	15	0	0	21.05	0.0	0.0	50.77	0.014235
google/gemini-2.0-flash-lite-001	skill	pitch recognition	11	3	8	0	0	27.27	0.0	0.0	27.74	0.006462
google/gemini-2.0-flash-lite-001	skill	pitch statistics	9	2	7	0	0	22.22	0.0	0.0	22.4	0.00544
google/gemini-2.0-flash-lite-001	skill	rhythm pattern	8	2	6	0	0	25.0	0.0	0.0	24.43	0.004785
google/gemini-2.0-flash-lite-001	skill	time signature	13	5	8	0	0	38.46	0.0	0.0	33.2	0.007884
google/gemini-2.0-flash-lite-001	skill	tonality recognition	10	7	3	0	0	70.0	0.0	0.0	24.44	0.006656
google/gemini-2.0-flash-lite-001	rel/abs	absolute	59	21	38	0	0	35.59	0.0	0.0	159.7	0.037858
google/gemini-2.0-flash-lite-001	rel/abs	relative	60	24	36	0	0	40.0	0.0	0.0	165.05	0.039022
