Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	150	33.33	23.33	24.0
submodality	audio.mastermix.wav	50	32.0	28.0	28.0
submodality	symbolic.abc.txt	50	40.0	22.0	14.0
submodality	visual.short.png	50	28.0	20.0	30.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	46.67	20.0	26.67
piece_id	Bach_IchStehAnDeinerKrippe	27	22.22	25.93	37.04
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	5.56	33.33	16.67
piece_id	Drese_JesuGehVoran	15	66.67	40.0	20.0
piece_id	Gesius_BefiehlDuDeineWege	18	33.33	11.11	16.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	53.33	33.33	26.67
piece_id	Jan_DuGrosserSchmerzensmann	15	20.0	6.67	6.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	50.0	33.33	50.0
piece_id	Vulpius_ChristusDerIstMeinLeben	12	33.33	16.67	25.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	22.22	11.11	22.22
is_nota_correct	0	120	36.67	17.5	20.83
is_nota_correct	1	30	20.0	46.67	36.67
meta-question_id	1	15	6.67	20.0	33.33
meta-question_id	10	9	0.0	11.11	11.11
meta-question_id	11	9	77.78	22.22	44.44
meta-question_id	2	15	33.33	26.67	0.0
meta-question_id	3	15	6.67	33.33	20.0
meta-question_id	4	15	53.33	26.67	26.67
meta-question_id	5	15	40.0	26.67	26.67
meta-question_id	6	15	33.33	33.33	40.0
meta-question_id	7	15	66.67	13.33	20.0
meta-question_id	8	15	13.33	13.33	33.33
meta-question_id	9	12	41.67	25.0	8.33
category	harmony	30	40.0	20.0	20.0
category	pitch	60	25.0	26.67	20.0
category	rhythm	60	38.33	21.67	30.0
subcategory	harmonic-recognition	30	40.0	20.0	20.0
subcategory	interval-recognition	30	30.0	30.0	23.33
subcategory	pitch-recognition	30	20.0	23.33	16.67
subcategory	proportion-recognition	30	40.0	13.33	26.67
subcategory	rhythmic-recognition	30	36.67	30.0	33.33
skill	cadence recognition	9	77.78	22.22	44.44
skill	chord recognition	9	0.0	11.11	11.11
skill	interval recognition	15	6.67	33.33	20.0
skill	interval statistics	15	53.33	26.67	26.67
skill	note length	15	40.0	26.67	26.67
skill	note length statistics	15	33.33	33.33	40.0
skill	pitch recognition	15	6.67	20.0	33.33
skill	pitch statistics	15	33.33	26.67	0.0
skill	rhythm pattern	15	66.67	13.33	20.0
skill	rhythm pattern statistics	15	13.33	13.33	33.33
skill	tonality recognition	12	41.67	25.0	8.33
rel/abs	absolute	69	24.64	24.64	23.19
rel/abs	relative	81	40.74	22.22	24.69
specification	harmony-absolute	9	0.0	11.11	11.11
specification	harmony-relative	21	57.14	23.81	23.81
specification	pitch-absolute	30	20.0	23.33	16.67
specification	pitch-relative	30	30.0	30.0	23.33
specification	rhythm-absolute	30	36.67	30.0	33.33
specification	rhythm-relative	30	40.0	13.33	26.67
