Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	31.67	23.0	18.67
submodality	audio.mastermix.wav	100	28.0	26.0	9.0
submodality	symbolic.abc.txt	100	29.0	21.0	20.0
submodality	visual.short.png	100	38.0	22.0	27.0
piece_id	Anonymous_AusMeinesHerzensGrunde	33	12.12	12.12	6.06
piece_id	Bach_IchStehAnDeinerKrippe	45	42.22	22.22	22.22
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	16.67	33.33	8.33
piece_id	Drese_JesuGehVoran	30	30.0	36.67	20.0
piece_id	Gesius_BefiehlDuDeineWege	24	20.83	8.33	20.83
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	27	40.74	25.93	22.22
piece_id	Jan_DuGrosserSchmerzensmann	51	27.45	9.8	13.73
piece_id	Telemann_DerLiebenSonneLichtUndPracht	33	36.36	24.24	21.21
piece_id	Vulpius_ChristusDerIstMeinLeben	18	44.44	33.33	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27	40.74	44.44	22.22
is_nota_correct	0	240	33.75	20.83	17.5
is_nota_correct	1	60	23.33	31.67	23.33
meta-question_id	1	30	10.0	10.0	13.33
meta-question_id	10	21	28.57	28.57	4.76
meta-question_id	11	18	33.33	33.33	16.67
meta-question_id	2	30	33.33	26.67	23.33
meta-question_id	3	30	23.33	26.67	10.0
meta-question_id	4	30	36.67	40.0	16.67
meta-question_id	5	30	56.67	13.33	30.0
meta-question_id	6	30	53.33	43.33	46.67
meta-question_id	7	30	36.67	16.67	20.0
meta-question_id	8	30	3.33	0.0	3.33
meta-question_id	9	21	33.33	19.05	14.29
category	harmony	60	31.67	26.67	11.67
category	pitch	120	25.83	25.83	15.83
category	rhythm	120	37.5	18.33	25.0
subcategory	harmonic-recognition	60	31.67	26.67	11.67
subcategory	interval-recognition	60	30.0	33.33	13.33
subcategory	pitch-recognition	60	21.67	18.33	18.33
subcategory	proportion-recognition	60	20.0	8.33	11.67
subcategory	rhythmic-recognition	60	55.0	28.33	38.33
skill	cadence recognition	18	33.33	33.33	16.67
skill	chord recognition	21	28.57	28.57	4.76
skill	interval recognition	30	23.33	26.67	10.0
skill	interval statistics	30	36.67	40.0	16.67
skill	note length	30	56.67	13.33	30.0
skill	note length statistics	30	53.33	43.33	46.67
skill	pitch recognition	30	10.0	10.0	13.33
skill	pitch statistics	30	33.33	26.67	23.33
skill	rhythm pattern	30	36.67	16.67	20.0
skill	rhythm pattern statistics	30	3.33	0.0	3.33
skill	tonality recognition	21	33.33	19.05	14.29
rel/abs	absolute	141	36.88	24.11	24.82
rel/abs	relative	159	27.04	22.01	13.21
specification	harmony-absolute	21	28.57	28.57	4.76
specification	harmony-relative	39	33.33	25.64	15.38
specification	pitch-absolute	60	21.67	18.33	18.33
specification	pitch-relative	60	30.0	33.33	13.33
specification	rhythm-absolute	60	55.0	28.33	38.33
specification	rhythm-relative	60	20.0	8.33	11.67
