Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking
OVERALL	ALL	23.368	33.534	25.3
submodality	audio.mastermix.wav	21.9	30.9	27.0
submodality	symbolic.abc.txt	24.7	33.4	22.4
submodality	visual.short.png	23.5	36.3	26.5
piece_id	Anonymous_AusMeinesHerzensGrunde	21.978	27.462	25.241
piece_id	Bach_IchStehAnDeinerKrippe	22.564	34.03	21.745
piece_id	Crueger_AufAufMeinHerzMitFreuden	21.355	34.248	33.602
piece_id	Drese_JesuGehVoran	25.086	29.939	27.863
piece_id	Gesius_BefiehlDuDeineWege	22.177	28.239	18.348
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	21.203	37.793	20.36
piece_id	Jan_DuGrosserSchmerzensmann	20.495	34.983	24.519
piece_id	Telemann_DerLiebenSonneLichtUndPracht	23.829	37.471	21.166
piece_id	Vulpius_ChristusDerIstMeinLeben	24.691	35.483	27.565
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27.551	36.729	34.316
is_nota_correct	0	21.0	37.5	22.75
is_nota_correct	1	32.833	17.665	35.499
meta-question_id	1	18.667	23.334	21.999
meta-question_id	10	22.858	40.951	20.953
meta-question_id	11	16.667	26.667	28.889
meta-question_id	2	22.667	23.665	19.333
meta-question_id	3	13.999	26.0	18.334
meta-question_id	4	27.001	46.001	37.333
meta-question_id	5	24.332	40.0	18.333
meta-question_id	6	40.666	48.333	46.666
meta-question_id	7	31.0	36.667	20.666
meta-question_id	8	11.334	19.0	11.332
meta-question_id	9	25.715	39.524	38.573
category	harmony	22.0	36.169	29.501
category	pitch	20.584	29.748	24.249
category	rhythm	26.834	36.001	24.25
subcategory	harmonic-recognition	22.0	36.169	29.501
subcategory	interval-recognition	20.5	36.001	27.833
subcategory	pitch-recognition	20.665	23.5	20.666
subcategory	proportion-recognition	21.166	27.833	16.001
subcategory	rhythmic-recognition	32.5	44.165	32.5
skill	cadence recognition	16.667	26.667	28.889
skill	chord recognition	22.858	40.951	20.953
skill	interval recognition	13.999	26.0	18.334
skill	interval statistics	27.001	46.001	37.333
skill	note length	24.332	40.0	18.333
skill	note length statistics	40.666	48.333	46.666
skill	pitch recognition	18.667	23.334	21.999
skill	pitch statistics	22.667	23.665	19.333
skill	rhythm pattern	31.0	36.667	20.666
skill	rhythm pattern statistics	11.334	19.0	11.332
skill	tonality recognition	25.715	39.524	38.573
rel/abs	absolute	26.03	34.894	25.745
rel/abs	relative	21.007	32.327	24.906
specification	harmony-absolute	22.858	40.951	20.953
specification	harmony-relative	21.538	33.59	34.104
specification	pitch-absolute	20.665	23.5	20.666
specification	pitch-relative	20.5	36.001	27.833
specification	rhythm-absolute	32.5	44.165	32.5
specification	rhythm-relative	21.166	27.833	16.001
