Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	23.368	13.163	0.0	8148.17	0.2746	33.534	0.252	0.0	7599.53	1.5949	25.3	0.0	0.0	39724.52	0.0
submodality	audio.mastermix.wav	21.9	5.73	0.0	2555.38	0.0812	30.9	0.278	0.0	2236.21	0.4085	27.0	0.0	0.0	5600.95	0.0
submodality	symbolic.abc.txt	24.7	22.578	0.0	3082.3	0.111	33.4	0.318	0.0	2735.9	0.5805	22.4	0.0	0.0	22399.45	0.0
submodality	visual.short.png	23.5	11.377	0.0	2510.44	0.0824	36.3	0.164	0.0	2627.45	0.6059	26.5	0.0	0.0	11724.13	0.0
piece_id	Anonymous_AusMeinesHerzensGrunde	21.978	12.22	0.0	910.03	0.0312	27.462	0.0	0.0	837.53	0.1821	25.241	0.0	0.0	4191.67	0.0
piece_id	Bach_IchStehAnDeinerKrippe	22.564	12.796	0.0	809.07	0.0275	34.03	0.0	0.0	764.96	0.1627	21.745	0.0	0.0	4409.92	0.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	21.355	18.996	0.0	824.42	0.0274	34.248	0.345	0.0	798.08	0.1683	33.602	0.0	0.0	4098.37	0.0
piece_id	Drese_JesuGehVoran	25.086	10.839	0.0	773.38	0.0256	29.939	0.0	0.0	678.89	0.1447	27.863	0.0	0.0	3591.6	0.0
piece_id	Gesius_BefiehlDuDeineWege	22.177	11.458	0.0	813.26	0.0286	28.239	0.476	0.0	760.75	0.1596	18.348	0.0	0.0	4178.35	0.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	21.203	17.049	0.0	704.98	0.0233	37.793	0.78	0.0	645.65	0.1341	20.36	0.0	0.0	3306.66	0.0
