Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	46.8	0.0	0.0	2600.0	0.749829	30.93	1.74	0.0	5902.54	1.235033	35.87	0.83	0.0	2407.69	0.106797
submodality	audio.mastermix.wav	250	34.0	0.0	0.0	821.84	0.181756	24.0	1.05	0.0	1249.35	1.086692	26.8	1.09	0.0	984.54	0.025997
submodality	symbolic.abc.txt	250	61.6	0.0	0.0	880.36	0.294313	40.8	0.0	0.0	1314.58	0.0492	48.0	0.77	0.0	837.01	0.046986
submodality	visual.short.png	250	44.8	0.0	0.0	897.81	0.27376	28.0	3.89	0.0	3338.62	0.099141	32.8	0.6	0.0	586.15	0.033814
piece_id	Anonymous_AusMeinesHerzensGrunde	90	45.56	0.0	0.0	314.48	0.095737	26.67	3.03	0.0	650.08	0.194759	45.56	0.0	0.0	311.2	0.014465
piece_id	Bach_IchStehAnDeinerKrippe	75	41.33	0.0	0.0	257.74	0.075399	29.33	0.0	0.0	412.9	0.124268	33.33	2.0	0.0	233.01	0.010281
piece_id	Crueger_AufAufMeinHerzMitFreuden	93	46.24	0.0	0.0	325.06	0.096207	29.03	1.52	0.0	498.42	0.166686	31.18	0.0	0.0	297.35	0.013732
piece_id	Drese_JesuGehVoran	63	46.03	0.0	0.0	206.36	0.056971	34.92	2.44	0.0	416.24	0.079813	33.33	0.0	0.0	190.9	0.007643
piece_id	Gesius_BefiehlDuDeineWege	78	50.0	0.0	0.0	271.85	0.080545	32.05	1.89	0.0	683.37	0.1417	35.9	2.0	0.0	246.2	0.01087
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	84	54.76	0.0	0.0	295.13	0.085232	34.52	5.45	0.0	749.59	0.120899	35.71	0.0	0.0	283.62	0.01341
piece_id	Jan_DuGrosserSchmerzensmann	69	36.23	0.0	0.0	248.31	0.070954	30.43	0.0	0.0	502.45	0.108068	36.23	0.0	0.0	229.38	0.010482
piece_id	Telemann_DerLiebenSonneLichtUndPracht	78	51.28	0.0	0.0	282.7	0.083521	38.46	2.08	0.0	1043.66	0.191964	47.44	0.0	0.0	270.86	0.012326
piece_id	Vulpius_ChristusDerIstMeinLeben	48	60.42	0.0	0.0	159.28	0.041476	37.5	0.0	0.0	396.63	0.053355	35.42	6.45	0.0	142.29	0.005198
