Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	150	51.33	32.67	29.33	36.67	47.33	27.33	34.0	23.33	32.0	36.0	36.67
submodality	audio.mastermix.wav	50	48.0	34.0	38.0	18.0	50.0	28.0	30.0	16.0	24.0	22.0	30.0
submodality	symbolic.abc.txt	50	68.0	34.0	24.0	58.0	64.0	34.0	46.0	30.0	44.0	54.0	42.0
submodality	visual.short.png	50	38.0	30.0	26.0	34.0	28.0	20.0	26.0	24.0	28.0	32.0	38.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	55.56	33.33	33.33	22.22	44.44	22.22	33.33	22.22	44.44	22.22	11.11
piece_id	Bach_IchStehAnDeinerKrippe	18	50.0	50.0	50.0	33.33	66.67	50.0	50.0	27.78	38.89	38.89	50.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	27	81.48	55.56	44.44	48.15	51.85	33.33	48.15	37.04	44.44	44.44	59.26
piece_id	Drese_JesuGehVoran	15	33.33	20.0	33.33	40.0	40.0	33.33	33.33	26.67	20.0	40.0	40.0
piece_id	Gesius_BefiehlDuDeineWege	12	41.67	16.67	8.33	41.67	58.33	33.33	25.0	33.33	41.67	25.0	16.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	66.67	16.67	16.67	33.33	50.0	16.67	50.0	33.33	16.67	50.0	33.33
piece_id	Jan_DuGrosserSchmerzensmann	21	38.1	23.81	19.05	23.81	52.38	14.29	28.57	14.29	33.33	19.05	19.05
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	50.0	0.0	16.67	33.33	16.67	0.0	33.33	16.67	16.67	50.0	16.67
piece_id	Vulpius_ChristusDerIstMeinLeben	15	40.0	40.0	26.67	53.33	33.33	26.67	20.0	20.0	20.0	46.67	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	21	47.62	23.81	19.05	28.57	38.1	19.05	19.05	4.76	23.81	33.33	42.86
is_nota_correct	0	120	52.5	35.83	25.83	35.0	48.33	23.33	35.83	23.33	23.33	39.17	40.83
is_nota_correct	1	30	46.67	20.0	43.33	43.33	43.33	43.33	26.67	23.33	66.67	23.33	20.0
meta-question_id	1	15	33.33	13.33	20.0	20.0	60.0	46.67	33.33	26.67	20.0	13.33	40.0
meta-question_id	10	9	0.0	44.44	55.56	44.44	22.22	33.33	44.44	22.22	33.33	22.22	55.56
meta-question_id	11	9	44.44	11.11	11.11	11.11	11.11	0.0	11.11	11.11	11.11	33.33	0.0
meta-question_id	2	15	46.67	13.33	20.0	33.33	53.33	6.67	46.67	0.0	46.67	53.33	33.33
meta-question_id	3	15	33.33	20.0	20.0	46.67	26.67	20.0	13.33	40.0	13.33	33.33	33.33
meta-question_id	4	15	53.33	33.33	6.67	20.0	46.67	13.33	13.33	20.0	26.67	33.33	26.67
meta-question_id	5	15	73.33	73.33	26.67	53.33	73.33	26.67	33.33	33.33	33.33	60.0	60.0
meta-question_id	6	15	80.0	60.0	73.33	66.67	66.67	60.0	73.33	60.0	73.33	53.33	53.33
meta-question_id	7	15	53.33	26.67	33.33	26.67	46.67	26.67	33.33	13.33	20.0	13.33	26.67
meta-question_id	8	15	60.0	40.0	46.67	40.0	46.67	26.67	33.33	20.0	46.67	33.33	33.33
meta-question_id	9	12	66.67	16.67	8.33	33.33	41.67	33.33	33.33	0.0	16.67	41.67	33.33
category	harmony	30	40.0	23.33	23.33	30.0	26.67	23.33	30.0	10.0	20.0	33.33	30.0
category	pitch	60	41.67	20.0	16.67	30.0	46.67	21.67	26.67	21.67	26.67	33.33	33.33
category	rhythm	60	66.67	50.0	45.0	46.67	58.33	35.0	43.33	31.67	43.33	40.0	43.33
subcategory	harmonic-recognition	30	40.0	23.33	23.33	30.0	26.67	23.33	30.0	10.0	20.0	33.33	30.0
subcategory	interval-recognition	30	43.33	26.67	13.33	33.33	36.67	16.67	13.33	30.0	20.0	33.33	30.0
subcategory	pitch-recognition	30	40.0	13.33	20.0	26.67	56.67	26.67	40.0	13.33	33.33	33.33	36.67
subcategory	proportion-recognition	30	56.67	33.33	40.0	33.33	46.67	26.67	33.33	16.67	33.33	23.33	30.0
subcategory	rhythmic-recognition	30	76.67	66.67	50.0	60.0	70.0	43.33	53.33	46.67	53.33	56.67	56.67
skill	cadence recognition	9	44.44	11.11	11.11	11.11	11.11	0.0	11.11	11.11	11.11	33.33	0.0
skill	chord recognition	9	0.0	44.44	55.56	44.44	22.22	33.33	44.44	22.22	33.33	22.22	55.56
skill	interval recognition	15	33.33	20.0	20.0	46.67	26.67	20.0	13.33	40.0	13.33	33.33	33.33
skill	interval statistics	15	53.33	33.33	6.67	20.0	46.67	13.33	13.33	20.0	26.67	33.33	26.67
skill	note length	15	73.33	73.33	26.67	53.33	73.33	26.67	33.33	33.33	33.33	60.0	60.0
skill	note length statistics	15	80.0	60.0	73.33	66.67	66.67	60.0	73.33	60.0	73.33	53.33	53.33
skill	pitch recognition	15	33.33	13.33	20.0	20.0	60.0	46.67	33.33	26.67	20.0	13.33	40.0
skill	pitch statistics	15	46.67	13.33	20.0	33.33	53.33	6.67	46.67	0.0	46.67	53.33	33.33
skill	rhythm pattern	15	53.33	26.67	33.33	26.67	46.67	26.67	33.33	13.33	20.0	13.33	26.67
skill	rhythm pattern statistics	15	60.0	40.0	46.67	40.0	46.67	26.67	33.33	20.0	46.67	33.33	33.33
skill	tonality recognition	12	66.67	16.67	8.33	33.33	41.67	33.33	33.33	0.0	16.67	41.67	33.33
rel/abs	absolute	69	50.72	40.58	37.68	43.48	57.97	34.78	46.38	28.99	42.03	42.03	47.83
rel/abs	relative	81	51.85	25.93	22.22	30.86	38.27	20.99	23.46	18.52	23.46	30.86	27.16
specification	harmony-absolute	9	0.0	44.44	55.56	44.44	22.22	33.33	44.44	22.22	33.33	22.22	55.56
