Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	32.67	22.33	22.67
submodality	audio.mastermix.wav	100	27.0	22.0	19.0
submodality	symbolic.abc.txt	100	35.0	24.0	28.0
submodality	visual.short.png	100	36.0	21.0	21.0
piece_id	Anonymous_AusMeinesHerzensGrunde	30	13.33	20.0	6.67
piece_id	Bach_IchStehAnDeinerKrippe	21	42.86	14.29	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	39	41.03	33.33	20.51
piece_id	Drese_JesuGehVoran	33	36.36	21.21	9.09
piece_id	Gesius_BefiehlDuDeineWege	21	4.76	14.29	14.29
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	18	27.78	22.22	22.22
piece_id	Jan_DuGrosserSchmerzensmann	30	46.67	16.67	36.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	30	43.33	20.0	26.67
piece_id	Vulpius_ChristusDerIstMeinLeben	39	28.21	30.77	28.21
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	39	33.33	20.51	28.21
is_nota_correct	0	240	37.08	18.75	22.5
is_nota_correct	1	60	15.0	36.67	23.33
meta-question_id	1	30	36.67	30.0	20.0
meta-question_id	10	21	33.33	19.05	23.81
meta-question_id	11	18	33.33	27.78	22.22
meta-question_id	2	30	13.33	13.33	20.0
meta-question_id	3	30	16.67	13.33	3.33
meta-question_id	4	30	46.67	40.0	30.0
meta-question_id	5	30	40.0	16.67	13.33
meta-question_id	6	30	43.33	30.0	33.33
meta-question_id	7	30	53.33	16.67	40.0
meta-question_id	8	30	13.33	13.33	20.0
meta-question_id	9	21	28.57	28.57	23.81
category	harmony	60	31.67	25.0	23.33
category	pitch	120	28.33	24.17	18.33
category	rhythm	120	37.5	19.17	26.67
subcategory	harmonic-recognition	60	31.67	25.0	23.33
subcategory	interval-recognition	60	31.67	26.67	16.67
subcategory	pitch-recognition	60	25.0	21.67	20.0
subcategory	proportion-recognition	60	33.33	15.0	30.0
subcategory	rhythmic-recognition	60	41.67	23.33	23.33
skill	cadence recognition	18	33.33	27.78	22.22
skill	chord recognition	21	33.33	19.05	23.81
skill	interval recognition	30	16.67	13.33	3.33
skill	interval statistics	30	46.67	40.0	30.0
skill	note length	30	40.0	16.67	13.33
skill	note length statistics	30	43.33	30.0	33.33
skill	pitch recognition	30	36.67	30.0	20.0
skill	pitch statistics	30	13.33	13.33	20.0
skill	rhythm pattern	30	53.33	16.67	40.0
skill	rhythm pattern statistics	30	13.33	13.33	20.0
skill	tonality recognition	21	28.57	28.57	23.81
rel/abs	absolute	141	33.33	21.99	21.99
rel/abs	relative	159	32.08	22.64	23.27
specification	harmony-absolute	21	33.33	19.05	23.81
specification	harmony-relative	39	30.77	28.21	23.08
specification	pitch-absolute	60	25.0	21.67	20.0
specification	pitch-relative	60	31.67	26.67	16.67
specification	rhythm-absolute	60	41.67	23.33	23.33
specification	rhythm-relative	60	33.33	15.0	30.0
