Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-google/gemini-2.0-flash-lite-001	OVERALL	ALL	75	17	58	1	0	22.67	1.72	0.0	210.92	0.021941
white-noise-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	25	7	18	1	0	28.0	5.56	0.0	91.58	0.003352
white-noise-google/gemini-2.0-flash-lite-001	submodality	symbolic.abc.txt	25	4	21	0	0	16.0	0.0	0.0	54.66	0.01561
white-noise-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	25	6	19	0	0	24.0	0.0	0.0	64.67	0.002979
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	3	1	2	0	0	33.33	0.0	0.0	7.9	0.000854
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	12	1	11	0	0	8.33	0.0	0.0	31.42	0.003486
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	6	2	4	0	0	33.33	0.0	0.0	15.79	0.001735
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	3	0	3	0	0	0.0	0.0	0.0	8.36	0.000859
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	3	1	2	0	0	33.33	0.0	0.0	8.34	0.000906
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	0	6	0	0	0.0	0.0	0.0	15.09	0.00174
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	6	1	5	0	0	16.67	0.0	0.0	22.1	0.001813
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	6	12	1	0	33.33	8.33	0.0	50.94	0.005269
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	9	3	6	0	0	33.33	0.0	0.0	25.51	0.002575
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	2	7	0	0	22.22	0.0	0.0	25.47	0.002704
white-noise-google/gemini-2.0-flash-lite-001	is_nota_correct	0	60	9	51	1	0	15.0	1.96	0.0	170.46	0.017561
white-noise-google/gemini-2.0-flash-lite-001	is_nota_correct	1	15	8	7	0	0	53.33	0.0	0.0	40.46	0.00438
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	1	9	2	7	0	0	22.22	0.0	0.0	24.66	0.002658
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	10	6	1	5	1	0	16.67	20.0	0.0	21.98	0.001737
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	11	3	0	3	0	0	0.0	0.0	0.0	8.97	0.000874
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	2	6	2	4	0	0	33.33	0.0	0.0	17.06	0.001726
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	3	9	1	8	0	0	11.11	0.0	0.0	28.29	0.002661
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	4	6	1	5	0	0	16.67	0.0	0.0	15.98	0.00176
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	5	9	3	6	0	0	33.33	0.0	0.0	24.13	0.002641
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	6	6	3	3	0	0	50.0	0.0	0.0	14.14	0.001712
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	7	9	1	8	0	0	11.11	0.0	0.0	23.59	0.002677
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	8	6	0	6	0	0	0.0	0.0	0.0	15.56	0.001718
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	9	6	3	3	0	0	50.0	0.0	0.0	16.56	0.001777
white-noise-google/gemini-2.0-flash-lite-001	category	harmony	15	4	11	1	0	26.67	9.09	0.0	47.51	0.004388
white-noise-google/gemini-2.0-flash-lite-001	category	pitch	30	6	24	0	0	20.0	0.0	0.0	85.99	0.008806
white-noise-google/gemini-2.0-flash-lite-001	category	rhythm	30	7	23	0	0	23.33	0.0	0.0	77.42	0.008748
white-noise-google/gemini-2.0-flash-lite-001	subcategory	harmonic-recognition	15	4	11	1	0	26.67	9.09	0.0	47.51	0.004388
white-noise-google/gemini-2.0-flash-lite-001	subcategory	interval-recognition	15	2	13	0	0	13.33	0.0	0.0	44.27	0.004422
white-noise-google/gemini-2.0-flash-lite-001	subcategory	pitch-recognition	15	4	11	0	0	26.67	0.0	0.0	41.71	0.004384
