Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	25.33	18.67	17.33
submodality	audio.mastermix.wav	25	20.0	16.0	20.0
submodality	symbolic.abc.txt	25	28.0	20.0	12.0
submodality	visual.short.png	25	28.0	20.0	20.0
piece_id	Anonymous_AusMeinesHerzensGrunde	3	33.33	33.33	100.0
piece_id	Bach_IchStehAnDeinerKrippe	12	8.33	8.33	8.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	6	16.67	16.67	0.0
piece_id	Drese_JesuGehVoran	3	0.0	0.0	33.33
piece_id	Gesius_BefiehlDuDeineWege	3	33.33	33.33	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	33.33	0.0	16.67
piece_id	Jan_DuGrosserSchmerzensmann	6	50.0	33.33	50.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	33.33	11.11	11.11
piece_id	Vulpius_ChristusDerIstMeinLeben	9	22.22	33.33	11.11
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	22.22	33.33	0.0
is_nota_correct	0	60	25.0	13.33	15.0
is_nota_correct	1	15	26.67	40.0	26.67
meta-question_id	1	9	33.33	33.33	22.22
meta-question_id	10	6	33.33	0.0	33.33
meta-question_id	11	3	0.0	0.0	0.0
meta-question_id	2	6	33.33	16.67	16.67
meta-question_id	3	9	22.22	33.33	0.0
meta-question_id	4	6	33.33	16.67	0.0
meta-question_id	5	9	22.22	22.22	11.11
meta-question_id	6	6	33.33	33.33	16.67
meta-question_id	7	9	22.22	0.0	11.11
meta-question_id	8	6	0.0	0.0	16.67
meta-question_id	9	6	33.33	33.33	66.67
category	harmony	15	26.67	13.33	40.0
category	pitch	30	30.0	26.67	10.0
category	rhythm	30	20.0	13.33	13.33
subcategory	harmonic-recognition	15	26.67	13.33	40.0
subcategory	interval-recognition	15	26.67	26.67	0.0
subcategory	pitch-recognition	15	33.33	26.67	20.0
subcategory	proportion-recognition	15	13.33	0.0	13.33
subcategory	rhythmic-recognition	15	26.67	26.67	13.33
skill	cadence recognition	3	0.0	0.0	0.0
skill	chord recognition	6	33.33	0.0	33.33
skill	interval recognition	9	22.22	33.33	0.0
skill	interval statistics	6	33.33	16.67	0.0
skill	note length	9	22.22	22.22	11.11
skill	note length statistics	6	33.33	33.33	16.67
skill	pitch recognition	9	33.33	33.33	22.22
skill	pitch statistics	6	33.33	16.67	16.67
skill	rhythm pattern	9	22.22	0.0	11.11
skill	rhythm pattern statistics	6	0.0	0.0	16.67
skill	tonality recognition	6	33.33	33.33	66.67
rel/abs	absolute	36	30.56	22.22	19.44
rel/abs	relative	39	20.51	15.38	15.38
specification	harmony-absolute	6	33.33	0.0	33.33
specification	harmony-relative	9	22.22	22.22	44.44
specification	pitch-absolute	15	33.33	26.67	20.0
specification	pitch-relative	15	26.67	26.67	0.0
specification	rhythm-absolute	15	26.67	26.67	13.33
specification	rhythm-relative	15	13.33	0.0	13.33
