Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	150	38.67	22.0	20.0
submodality	audio.mastermix.wav	50	38.0	22.0	14.0
submodality	symbolic.abc.txt	50	36.0	26.0	20.0
submodality	visual.short.png	50	42.0	18.0	26.0
piece_id	Anonymous_AusMeinesHerzensGrunde	6	33.33	16.67	33.33
piece_id	Bach_IchStehAnDeinerKrippe	15	46.67	33.33	13.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	38.89	16.67	5.56
piece_id	Drese_JesuGehVoran	21	33.33	19.05	28.57
piece_id	Gesius_BefiehlDuDeineWege	12	41.67	33.33	25.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	12	50.0	25.0	16.67
piece_id	Jan_DuGrosserSchmerzensmann	18	22.22	11.11	22.22
piece_id	Telemann_DerLiebenSonneLichtUndPracht	15	26.67	20.0	13.33
piece_id	Vulpius_ChristusDerIstMeinLeben	21	47.62	28.57	14.29
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	12	50.0	16.67	41.67
is_nota_correct	0	120	41.67	20.83	17.5
is_nota_correct	1	30	26.67	26.67	30.0
meta-question_id	1	15	46.67	13.33	33.33
meta-question_id	10	9	44.44	11.11	11.11
meta-question_id	11	9	33.33	22.22	0.0
meta-question_id	2	15	40.0	33.33	6.67
meta-question_id	3	15	26.67	26.67	20.0
meta-question_id	4	15	53.33	26.67	26.67
meta-question_id	5	15	40.0	13.33	20.0
meta-question_id	6	15	26.67	26.67	40.0
meta-question_id	7	15	40.0	13.33	26.67
meta-question_id	8	15	20.0	20.0	0.0
meta-question_id	9	12	58.33	33.33	25.0
category	harmony	30	46.67	23.33	13.33
category	pitch	60	41.67	25.0	21.67
category	rhythm	60	31.67	18.33	21.67
subcategory	harmonic-recognition	30	46.67	23.33	13.33
subcategory	interval-recognition	30	40.0	26.67	23.33
subcategory	pitch-recognition	30	43.33	23.33	20.0
subcategory	proportion-recognition	30	30.0	16.67	13.33
subcategory	rhythmic-recognition	30	33.33	20.0	30.0
skill	cadence recognition	9	33.33	22.22	0.0
skill	chord recognition	9	44.44	11.11	11.11
skill	interval recognition	15	26.67	26.67	20.0
skill	interval statistics	15	53.33	26.67	26.67
skill	note length	15	40.0	13.33	20.0
skill	note length statistics	15	26.67	26.67	40.0
skill	pitch recognition	15	46.67	13.33	33.33
skill	pitch statistics	15	40.0	33.33	6.67
skill	rhythm pattern	15	40.0	13.33	26.67
skill	rhythm pattern statistics	15	20.0	20.0	0.0
skill	tonality recognition	12	58.33	33.33	25.0
rel/abs	absolute	69	39.13	20.29	23.19
rel/abs	relative	81	38.27	23.46	17.28
specification	harmony-absolute	9	44.44	11.11	11.11
specification	harmony-relative	21	47.62	28.57	14.29
specification	pitch-absolute	30	43.33	23.33	20.0
specification	pitch-relative	30	40.0	26.67	23.33
specification	rhythm-absolute	30	33.33	20.0	30.0
specification	rhythm-relative	30	30.0	16.67	13.33
