Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	150	32.67	35.33
submodality	audio.mastermix.wav	50	38.0	36.0
submodality	symbolic.abc.txt	50	32.0	40.0
submodality	visual.short.png	50	28.0	30.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	33.33	40.0
piece_id	Bach_IchStehAnDeinerKrippe	24	41.67	54.17
piece_id	Crueger_AufAufMeinHerzMitFreuden	24	25.0	16.67
piece_id	Drese_JesuGehVoran	3	66.67	66.67
piece_id	Gesius_BefiehlDuDeineWege	9	44.44	44.44
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	30	36.67	36.67
piece_id	Jan_DuGrosserSchmerzensmann	12	41.67	41.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	8.33	16.67
piece_id	Vulpius_ChristusDerIstMeinLeben	15	26.67	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	16.67	16.67
is_nota_correct	0	120	31.67	26.67
is_nota_correct	1	30	36.67	70.0
meta-question_id	1	15	26.67	26.67
meta-question_id	10	9	44.44	55.56
meta-question_id	11	9	44.44	22.22
meta-question_id	2	15	6.67	6.67
meta-question_id	3	15	20.0	26.67
meta-question_id	4	15	53.33	73.33
meta-question_id	5	15	33.33	20.0
meta-question_id	6	15	46.67	66.67
meta-question_id	7	15	20.0	13.33
meta-question_id	8	15	33.33	53.33
meta-question_id	9	12	41.67	25.0
category	harmony	30	43.33	33.33
category	pitch	60	26.67	33.33
category	rhythm	60	33.33	38.33
subcategory	harmonic-recognition	30	43.33	33.33
subcategory	interval-recognition	30	36.67	50.0
subcategory	pitch-recognition	30	16.67	16.67
subcategory	proportion-recognition	30	26.67	33.33
subcategory	rhythmic-recognition	30	40.0	43.33
skill	cadence recognition	9	44.44	22.22
skill	chord recognition	9	44.44	55.56
skill	interval recognition	15	20.0	26.67
skill	interval statistics	15	53.33	73.33
skill	note length	15	33.33	20.0
skill	note length statistics	15	46.67	66.67
skill	pitch recognition	15	26.67	26.67
skill	pitch statistics	15	6.67	6.67
skill	rhythm pattern	15	20.0	13.33
skill	rhythm pattern statistics	15	33.33	53.33
skill	tonality recognition	12	41.67	25.0
rel/abs	absolute	69	30.43	33.33
rel/abs	relative	81	34.57	37.04
specification	harmony-absolute	9	44.44	55.56
specification	harmony-relative	21	42.86	23.81
specification	pitch-absolute	30	16.67	16.67
specification	pitch-relative	30	36.67	50.0
specification	rhythm-absolute	30	40.0	43.33
specification	rhythm-relative	30	26.67	33.33
