Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	300	47.33	36.0	27.0	35.67	38.33	28.33	36.33	25.67	29.0	41.0	40.33
submodality	audio.mastermix.wav	100	38.0	39.0	27.0	36.0	35.0	31.0	36.0	27.0	33.0	32.0	35.0
submodality	symbolic.abc.txt	100	59.0	28.0	32.0	45.0	52.0	28.0	36.0	25.0	33.0	59.0	45.0
submodality	visual.short.png	100	45.0	41.0	22.0	26.0	28.0	26.0	37.0	25.0	21.0	32.0	41.0
piece_id	Anonymous_AusMeinesHerzensGrunde	45	33.33	26.67	11.11	17.78	17.78	24.44	33.33	22.22	26.67	37.78	33.33
piece_id	Bach_IchStehAnDeinerKrippe	27	44.44	33.33	22.22	25.93	40.74	22.22	25.93	22.22	33.33	29.63	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	36	66.67	52.78	47.22	58.33	52.78	52.78	55.56	41.67	41.67	47.22	52.78
piece_id	Drese_JesuGehVoran	30	46.67	26.67	30.0	53.33	36.67	23.33	26.67	26.67	30.0	33.33	46.67
piece_id	Gesius_BefiehlDuDeineWege	39	35.9	43.59	15.38	28.21	33.33	25.64	35.9	20.51	25.64	38.46	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	39	71.79	41.03	41.03	61.54	56.41	25.64	51.28	33.33	33.33	46.15	58.97
piece_id	Jan_DuGrosserSchmerzensmann	15	33.33	40.0	20.0	20.0	40.0	13.33	20.0	20.0	13.33	40.0	20.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	50.0	50.0	41.67	8.33	25.0	41.67	33.33	16.67	25.0	66.67	33.33
piece_id	Vulpius_ChristusDerIstMeinLeben	27	33.33	11.11	18.52	18.52	33.33	14.81	33.33	18.52	18.52	37.04	37.04
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	30	50.0	40.0	30.0	36.67	43.33	36.67	30.0	23.33	30.0	46.67	36.67
is_nota_correct	0	240	47.5	39.17	22.92	35.0	34.17	25.42	38.33	22.92	22.5	47.08	43.75
is_nota_correct	1	60	46.67	23.33	43.33	38.33	55.0	40.0	28.33	36.67	55.0	16.67	26.67
meta-question_id	1	30	30.0	20.0	16.67	20.0	33.33	13.33	26.67	20.0	16.67	43.33	26.67
meta-question_id	10	21	38.1	33.33	14.29	23.81	28.57	33.33	28.57	23.81	19.05	33.33	42.86
meta-question_id	11	18	33.33	5.56	27.78	27.78	16.67	27.78	27.78	11.11	22.22	38.89	33.33
meta-question_id	2	30	40.0	20.0	13.33	30.0	36.67	13.33	40.0	30.0	23.33	26.67	36.67
