Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	75	44.0	25.33	20.0	28.0	48.0	24.0	36.0	32.0	29.33	42.67	36.0
submodality	audio.mastermix.wav	25	24.0	28.0	36.0	24.0	44.0	20.0	36.0	24.0	24.0	28.0	36.0
submodality	symbolic.abc.txt	25	64.0	24.0	8.0	44.0	72.0	32.0	48.0	36.0	40.0	60.0	48.0
submodality	visual.short.png	25	44.0	24.0	16.0	16.0	28.0	20.0	24.0	36.0	24.0	40.0	24.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	44.44	44.44	22.22	33.33	33.33	33.33	33.33	55.56	11.11	44.44	55.56
piece_id	Bach_IchStehAnDeinerKrippe	9	44.44	0.0	0.0	55.56	44.44	22.22	22.22	11.11	22.22	33.33	22.22
piece_id	Drese_JesuGehVoran	12	50.0	50.0	16.67	8.33	66.67	33.33	58.33	25.0	33.33	50.0	41.67
piece_id	Gesius_BefiehlDuDeineWege	3	33.33	0.0	66.67	0.0	66.67	0.0	0.0	0.0	33.33	33.33	0.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	33.33	0.0	0.0	33.33	100.0	33.33	33.33	33.33	66.67	66.67	100.0
piece_id	Jan_DuGrosserSchmerzensmann	15	33.33	26.67	20.0	26.67	40.0	20.0	40.0	46.67	46.67	33.33	20.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	66.67	22.22	44.44	44.44	55.56	22.22	44.44	33.33	22.22	66.67	66.67
piece_id	Vulpius_ChristusDerIstMeinLeben	3	33.33	33.33	0.0	33.33	33.33	33.33	0.0	33.33	0.0	0.0	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	12	41.67	16.67	16.67	16.67	33.33	16.67	33.33	25.0	25.0	41.67	25.0
is_nota_correct	0	60	40.0	28.33	18.33	23.33	43.33	18.33	41.67	28.33	28.33	46.67	38.33
is_nota_correct	1	15	60.0	13.33	26.67	46.67	66.67	46.67	13.33	46.67	33.33	26.67	26.67
meta-question_id	1	9	33.33	0.0	22.22	22.22	44.44	22.22	33.33	11.11	33.33	44.44	11.11
meta-question_id	10	6	50.0	33.33	33.33	16.67	33.33	0.0	50.0	50.0	50.0	33.33	16.67
meta-question_id	11	3	0.0	33.33	0.0	0.0	33.33	33.33	0.0	100.0	33.33	0.0	0.0
meta-question_id	2	6	66.67	66.67	16.67	33.33	66.67	66.67	50.0	66.67	50.0	50.0	66.67
meta-question_id	3	9	11.11	11.11	33.33	33.33	44.44	11.11	22.22	44.44	11.11	33.33	33.33
meta-question_id	4	6	83.33	33.33	16.67	16.67	16.67	0.0	33.33	33.33	50.0	50.0	66.67
meta-question_id	5	9	44.44	33.33	44.44	33.33	77.78	11.11	33.33	22.22	44.44	66.67	66.67
meta-question_id	6	6	66.67	33.33	16.67	50.0	50.0	50.0	50.0	16.67	33.33	33.33	33.33
meta-question_id	7	9	22.22	0.0	0.0	33.33	44.44	22.22	33.33	11.11	11.11	44.44	22.22
meta-question_id	8	6	16.67	16.67	0.0	33.33	16.67	16.67	0.0	16.67	0.0	0.0	0.0
meta-question_id	9	6	100.0	50.0	16.67	16.67	83.33	50.0	83.33	33.33	16.67	83.33	66.67
