Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price
OVERALL	ALL	150	51.33	0.0	0.0	525.19	0.142806	36.67	2.11	6.32	2097.08	0.187069	47.33	0.0	0.0	2748.36	0.0	34.0	0.0	0.0	478.16	0.021058	36.0	0.0	0.0	1980.49	0.281465	36.67	2.11	0.0	577.07	1.273975
submodality	audio.mastermix.wav	50	48.0	0.0	0.0	149.79	0.032505	18.0	0.0	14.63	1345.24	0.168398	50.0	0.0	0.0	396.28	0.0	30.0	0.0	0.0	190.05	0.004916	22.0	0.0	0.0	378.62	0.042244	30.0	0.0	0.0	228.2	0.858078
submodality	symbolic.abc.txt	50	68.0	0.0	0.0	178.9	0.056223	58.0	0.0	0.0	286.56	0.008667	64.0	0.0	0.0	1743.6	0.0	46.0	0.0	0.0	168.95	0.009384	54.0	0.0	0.0	832.21	0.128712	42.0	0.0	0.0	216.18	0.307495
submodality	visual.short.png	50	38.0	0.0	0.0	196.51	0.054079	34.0	6.06	0.0	465.28	0.010005	28.0	0.0	0.0	608.47	0.0	26.0	0.0	0.0	119.16	0.006757	32.0	0.0	0.0	769.66	0.110509	38.0	6.45	0.0	132.69	0.108402
piece_id	Anonymous_AusMeinesHerzensGrunde	9	55.56	0.0	0.0	36.75	0.01011	22.22	0.0	14.29	133.67	0.012922	44.44	0.0	0.0	243.38	0.0	33.33	0.0	0.0	41.39	0.001867	22.22	0.0	0.0	208.89	0.030556	11.11	0.0	0.0	42.31	0.101522
piece_id	Bach_IchStehAnDeinerKrippe	18	50.0	0.0	0.0	64.02	0.017596	33.33	0.0	8.33	368.31	0.024344	66.67	0.0	0.0	293.61	0.0	50.0	0.0	0.0	56.3	0.002176	38.89	0.0	0.0	180.32	0.026539	50.0	0.0	0.0	81.24	0.170175
piece_id	Crueger_AufAufMeinHerzMitFreuden	27	81.48	0.0	0.0	98.78	0.028869	48.15	0.0	7.14	458.76	0.04273	51.85	0.0	0.0	622.01	0.0	48.15	0.0	0.0	98.64	0.004786	44.44	0.0	0.0	445.6	0.066098	59.26	0.0	0.0	113.62	0.277755
piece_id	Drese_JesuGehVoran	15	33.33	0.0	0.0	50.81	0.013513	40.0	11.11	0.0	141.07	0.019373	40.0	0.0	0.0	318.54	0.0	33.33	0.0	0.0	45.31	0.001937	40.0	0.0	0.0	162.42	0.021823	40.0	0.0	0.0	53.28	0.110877
piece_id	Gesius_BefiehlDuDeineWege	12	41.67	0.0	0.0	39.28	0.012141	41.67	0.0	14.29	145.65	0.015263	58.33	0.0	0.0	219.88	0.0	25.0	0.0	0.0	35.16	0.001657	25.0	0.0	0.0	163.87	0.023256	16.67	10.0	0.0	56.26	0.118388
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	66.67	0.0	0.0	25.17	0.004618	33.33	0.0	0.0	14.7	0.00756	50.0	0.0	0.0	83.81	0.0	50.0	0.0	0.0	15.25	0.000631	50.0	0.0	0.0	80.87	0.011348	33.33	0.0	0.0	22.83	0.04921
