Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	38.67	25.33
submodality	audio.mastermix.wav	25	24.0	24.0
submodality	symbolic.abc.txt	25	64.0	44.0
submodality	visual.short.png	25	28.0	8.0
piece_id	Anonymous_AusMeinesHerzensGrunde	6	33.33	0.0
piece_id	Bach_IchStehAnDeinerKrippe	24	45.83	20.83
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	44.44	55.56
piece_id	Drese_JesuGehVoran	6	50.0	16.67
piece_id	Gesius_BefiehlDuDeineWege	6	33.33	0.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	66.67	66.67
piece_id	Jan_DuGrosserSchmerzensmann	9	22.22	22.22
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	50.0	16.67
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	0.0	50.0
is_nota_correct	0	60	36.67	28.33
is_nota_correct	1	15	46.67	13.33
meta-question_id	1	9	33.33	22.22
meta-question_id	10	6	16.67	33.33
meta-question_id	11	3	33.33	0.0
meta-question_id	2	6	33.33	66.67
meta-question_id	3	9	22.22	11.11
meta-question_id	4	6	66.67	33.33
meta-question_id	5	9	55.56	33.33
meta-question_id	6	6	16.67	16.67
meta-question_id	7	9	55.56	22.22
meta-question_id	8	6	33.33	16.67
meta-question_id	9	6	50.0	16.67
category	harmony	15	33.33	20.0
category	pitch	30	36.67	30.0
category	rhythm	30	43.33	23.33
subcategory	harmonic-recognition	15	33.33	20.0
subcategory	interval-recognition	15	40.0	20.0
subcategory	pitch-recognition	15	33.33	40.0
subcategory	proportion-recognition	15	46.67	20.0
subcategory	rhythmic-recognition	15	40.0	26.67
skill	cadence recognition	3	33.33	0.0
skill	chord recognition	6	16.67	33.33
skill	interval recognition	9	22.22	11.11
skill	interval statistics	6	66.67	33.33
skill	note length	9	55.56	33.33
skill	note length statistics	6	16.67	16.67
skill	pitch recognition	9	33.33	22.22
skill	pitch statistics	6	33.33	66.67
skill	rhythm pattern	9	55.56	22.22
skill	rhythm pattern statistics	6	33.33	16.67
skill	tonality recognition	6	50.0	16.67
rel/abs	absolute	36	33.33	33.33
rel/abs	relative	39	43.59	17.95
specification	harmony-absolute	6	16.67	33.33
specification	harmony-relative	9	44.44	11.11
specification	pitch-absolute	15	33.33	40.0
specification	pitch-relative	15	40.0	20.0
specification	rhythm-absolute	15	40.0	26.67
specification	rhythm-relative	15	46.67	20.0
