Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	75	38.67	0.0	0.0	278.99	0.078333	25.33	0.0	0.0	276.62	0.011676
submodality	audio.mastermix.wav	25	24.0	0.0	0.0	84.47	0.020969	24.0	0.0	0.0	110.57	0.002704
submodality	symbolic.abc.txt	25	64.0	0.0	0.0	88.79	0.028976	44.0	0.0	0.0	102.1	0.005553
submodality	visual.short.png	25	28.0	0.0	0.0	105.74	0.028388	8.0	0.0	0.0	63.95	0.003419
piece_id	Anonymous_AusMeinesHerzensGrunde	6	33.33	0.0	0.0	21.05	0.006635	0.0	0.0	0.0	22.51	0.000913
piece_id	Bach_IchStehAnDeinerKrippe	24	45.83	0.0	0.0	79.59	0.022778	20.83	0.0	0.0	90.55	0.003942
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	44.44	0.0	0.0	34.02	0.008848	55.56	0.0	0.0	35.2	0.001661
piece_id	Drese_JesuGehVoran	6	50.0	0.0	0.0	22.77	0.005584	16.67	0.0	0.0	19.86	0.00081
piece_id	Gesius_BefiehlDuDeineWege	6	33.33	0.0	0.0	37.9	0.007956	0.0	0.0	0.0	23.93	0.000815
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	66.67	0.0	0.0	8.95	0.002978	66.67	0.0	0.0	13.38	0.000624
piece_id	Jan_DuGrosserSchmerzensmann	9	22.22	0.0	0.0	29.86	0.009921	22.22	0.0	0.0	25.93	0.00118
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	50.0	0.0	0.0	22.67	0.007409	16.67	0.0	0.0	23.81	0.001076
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	0.0	0.0	0.0	22.18	0.006223	50.0	0.0	0.0	21.46	0.000653
is_nota_correct	0	60	36.67	0.0	0.0	229.66	0.063566	28.33	0.0	0.0	228.15	0.009869
is_nota_correct	1	15	46.67	0.0	0.0	49.33	0.014766	13.33	0.0	0.0	48.47	0.001807
meta-question_id	1	9	33.33	0.0	0.0	30.45	0.009069	22.22	0.0	0.0	26.1	0.001158
meta-question_id	10	6	16.67	0.0	0.0	20.38	0.005176	33.33	0.0	0.0	16.47	0.000679
meta-question_id	11	3	33.33	0.0	0.0	14.88	0.003368	0.0	0.0	0.0	8.87	0.00035
meta-question_id	2	6	33.33	0.0	0.0	24.33	0.007188	66.67	0.0	0.0	21.97	0.000947
meta-question_id	3	9	22.22	0.0	0.0	32.37	0.010636	11.11	0.0	0.0	35.73	0.001254
meta-question_id	4	6	66.67	0.0	0.0	33.88	0.007772	33.33	0.0	0.0	27.87	0.001014
meta-question_id	5	9	55.56	0.0	0.0	28.83	0.00886	33.33	0.0	0.0	31.35	0.001373
meta-question_id	6	6	16.67	0.0	0.0	24.03	0.007123	16.67	0.0	0.0	43.5	0.002063
meta-question_id	7	9	55.56	0.0	0.0	32.96	0.009842	22.22	0.0	0.0	32.6	0.001394
meta-question_id	8	6	33.33	0.0	0.0	20.78	0.004946	16.67	0.0	0.0	19.85	0.000849
meta-question_id	9	6	50.0	0.0	0.0	16.12	0.004354	16.67	0.0	0.0	12.31	0.000594
category	harmony	15	33.33	0.0	0.0	51.38	0.012898	20.0	0.0	0.0	37.65	0.001623
category	pitch	30	36.67	0.0	0.0	121.02	0.034665	30.0	0.0	0.0	111.67	0.004373
category	rhythm	30	43.33	0.0	0.0	106.59	0.030771	23.33	0.0	0.0	127.3	0.00568
subcategory	harmonic-recognition	15	33.33	0.0	0.0	51.38	0.012898	20.0	0.0	0.0	37.65	0.001623
subcategory	interval-recognition	15	40.0	0.0	0.0	66.24	0.018408	20.0	0.0	0.0	63.6	0.002268
subcategory	pitch-recognition	15	33.33	0.0	0.0	54.78	0.016256	40.0	0.0	0.0	48.07	0.002105
subcategory	proportion-recognition	15	46.67	0.0	0.0	53.73	0.014788	20.0	0.0	0.0	52.45	0.002243
subcategory	rhythmic-recognition	15	40.0	0.0	0.0	52.86	0.015983	26.67	0.0	0.0	74.85	0.003436
skill	cadence recognition	3	33.33	0.0	0.0	14.88	0.003368	0.0	0.0	0.0	8.87	0.00035
skill	chord recognition	6	16.67	0.0	0.0	20.38	0.005176	33.33	0.0	0.0	16.47	0.000679
