Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	46.67	0.0	0.0	2468.58	0.734011	28.4	5.77	0.93	6727.16	1.154709	39.73	0.0	0.0	15599.58	0.0	35.2	0.0	0.0	2356.84	0.104252
submodality	audio.mastermix.wav	250	38.4	0.0	0.0	733.45	0.175718	23.6	0.52	2.62	2822.72	1.031796	34.0	0.0	0.0	2798.89	0.0	29.6	0.0	0.0	980.6	0.026033
submodality	symbolic.abc.txt	250	57.6	0.0	0.0	853.75	0.290372	37.6	0.0	0.0	1910.62	0.072467	56.8	0.0	0.0	9194.48	0.0	41.6	0.0	0.0	788.53	0.044878
submodality	visual.short.png	250	44.0	0.0	0.0	881.38	0.267921	24.0	15.79	0.0	1993.83	0.050446	28.4	0.0	0.0	3606.2	0.0	34.4	0.0	0.0	587.71	0.03334
piece_id	Anonymous_AusMeinesHerzensGrunde	84	35.71	0.0	0.0	301.75	0.093181	22.62	4.62	3.08	1330.42	0.182744	35.71	0.0	0.0	2028.3	0.0	30.95	0.0	0.0	292.73	0.013666
piece_id	Bach_IchStehAnDeinerKrippe	66	42.42	0.0	0.0	222.75	0.065032	33.33	6.82	0.0	466.99	0.10921	37.88	0.0	0.0	1405.2	0.0	40.91	0.0	0.0	200.69	0.008963
piece_id	Crueger_AufAufMeinHerzMitFreuden	84	36.9	0.0	0.0	278.86	0.085774	23.81	1.56	0.0	652.12	0.150789	32.14	0.0	0.0	2001.99	0.0	32.14	0.0	0.0	276.98	0.013661
piece_id	Drese_JesuGehVoran	63	42.86	0.0	0.0	211.43	0.061581	23.81	6.25	0.0	439.88	0.079126	38.1	0.0	0.0	1233.59	0.0	38.1	0.0	0.0	186.28	0.007481
piece_id	Gesius_BefiehlDuDeineWege	81	48.15	0.0	0.0	268.75	0.082398	35.8	9.62	0.0	617.32	0.136607	38.27	0.0	0.0	1540.22	0.0	35.8	0.0	0.0	258.35	0.010534
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	90	46.67	0.0	0.0	287.03	0.086237	21.11	8.45	1.41	858.12	0.115359	41.11	0.0	0.0	2126.2	0.0	28.89	0.0	0.0	269.99	0.012142
