Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	35.0	27.67	24.0
submodality	audio.mastermix.wav	100	32.0	31.0	23.0
submodality	symbolic.abc.txt	100	34.0	25.0	26.0
submodality	visual.short.png	100	39.0	27.0	23.0
piece_id	Anonymous_AusMeinesHerzensGrunde	27	25.93	25.93	18.52
piece_id	Bach_IchStehAnDeinerKrippe	33	48.48	24.24	30.3
piece_id	Crueger_AufAufMeinHerzMitFreuden	21	33.33	33.33	4.76
piece_id	Drese_JesuGehVoran	18	27.78	27.78	33.33
piece_id	Gesius_BefiehlDuDeineWege	39	30.77	38.46	30.77
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	18	61.11	27.78	38.89
piece_id	Jan_DuGrosserSchmerzensmann	48	27.08	22.92	18.75
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	51.85	11.11	25.93
piece_id	Vulpius_ChristusDerIstMeinLeben	33	33.33	36.36	24.24
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36	25.0	27.78	19.44
is_nota_correct	0	240	37.92	25.0	19.58
is_nota_correct	1	60	23.33	38.33	41.67
meta-question_id	1	30	26.67	33.33	26.67
meta-question_id	10	21	38.1	4.76	14.29
meta-question_id	11	18	5.56	33.33	5.56
meta-question_id	2	30	23.33	30.0	30.0
meta-question_id	3	30	36.67	20.0	13.33
meta-question_id	4	30	56.67	40.0	26.67
meta-question_id	5	30	43.33	20.0	30.0
meta-question_id	6	30	53.33	33.33	50.0
meta-question_id	7	30	30.0	13.33	20.0
meta-question_id	8	30	26.67	30.0	16.67
meta-question_id	9	21	33.33	47.62	19.05
category	harmony	60	26.67	28.33	13.33
category	pitch	120	35.83	30.83	24.17
category	rhythm	120	38.33	24.17	29.17
subcategory	harmonic-recognition	60	26.67	28.33	13.33
subcategory	interval-recognition	60	46.67	30.0	20.0
subcategory	pitch-recognition	60	25.0	31.67	28.33
subcategory	proportion-recognition	60	28.33	21.67	18.33
subcategory	rhythmic-recognition	60	48.33	26.67	40.0
skill	cadence recognition	18	5.56	33.33	5.56
skill	chord recognition	21	38.1	4.76	14.29
skill	interval recognition	30	36.67	20.0	13.33
skill	interval statistics	30	56.67	40.0	26.67
skill	note length	30	43.33	20.0	30.0
skill	note length statistics	30	53.33	33.33	50.0
skill	pitch recognition	30	26.67	33.33	26.67
skill	pitch statistics	30	23.33	30.0	30.0
skill	rhythm pattern	30	30.0	13.33	20.0
skill	rhythm pattern statistics	30	26.67	30.0	16.67
skill	tonality recognition	21	33.33	47.62	19.05
rel/abs	absolute	141	36.88	25.53	31.21
rel/abs	relative	159	33.33	29.56	17.61
specification	harmony-absolute	21	38.1	4.76	14.29
specification	harmony-relative	39	20.51	41.03	12.82
specification	pitch-absolute	60	25.0	31.67	28.33
specification	pitch-relative	60	46.67	30.0	20.0
specification	rhythm-absolute	60	48.33	26.67	40.0
specification	rhythm-relative	60	28.33	21.67	18.33
