Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
aggregate-mistral	OVERALL	ALL	35.256	2.2004	0.206	0.068	14862.52	4.6977
aggregate-mistral	submodality	audio.mastermix.wav	30.509	4.0175	0.568	0.0	3810.57	3.1097
aggregate-mistral	submodality	symbolic.musicxml	39.401	3.6554	0.0	0.0	6947.38	1.4921
aggregate-mistral	submodality	visual.short.png	35.841	4.7581	0.0	0.213	4104.57	0.0959
aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	37.824	15.0179	0.0	0.0	1689.9	0.6994
aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	42.029	17.6068	0.0	0.0	1292.15	0.5128
aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	34.222	4.9758	0.435	0.833	1796.94	0.5485
aggregate-mistral	piece_id	Drese_JesuGehVoran	33.965	10.9622	0.323	0.0	1028.42	0.3957
aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	37.332	9.6889	0.0	0.0	2642.32	0.5632
aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	41.672	11.4284	0.0	0.0	1552.57	0.4076
aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	34.295	7.5003	0.0	0.0	1309.57	0.4875
aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	29.669	11.5185	0.0	0.0	1370.46	0.5535
aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	37.34	11.1152	1.111	0.0	1169.13	0.3076
aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	28.491	9.7087	0.0	0.0	1011.07	0.2218
aggregate-mistral	is_nota_correct	0	36.333	3.4286	0.181	0.087	11105.12	3.7844
aggregate-mistral	is_nota_correct	1	31.153	5.5581	0.385	0.0	3757.4	0.9133
aggregate-mistral	meta-question_id	0	24.554	6.5092	0.0	0.0	1861.14	0.3669
aggregate-mistral	meta-question_id	1	34.404	8.973	0.769	0.0	1421.68	0.394
aggregate-mistral	meta-question_id	2	22.136	14.736	1.111	0.0	1322.19	0.4108
aggregate-mistral	meta-question_id	3	47.723	7.3862	0.0	0.0	2051.35	0.455
aggregate-mistral	meta-question_id	4	35.944	9.9379	0.0	0.0	2077.18	0.8106
aggregate-mistral	meta-question_id	5	55.591	8.7543	0.0	0.0	595.04	0.3428
aggregate-mistral	meta-question_id	6	15.546	9.6762	0.0	0.0	955.29	0.3838
aggregate-mistral	meta-question_id	7	31.457	9.0844	0.0	0.0	877.1	0.3937
aggregate-mistral	meta-question_id	8	45.019	6.6422	0.526	0.588	2542.92	0.7454
aggregate-mistral	meta-question_id	9	31.683	12.4729	0.0	0.0	1158.63	0.3947
aggregate-mistral	category	harmony	38.311	4.1068	0.244	0.2	4578.65	1.5338
aggregate-mistral	category	pitch	31.838	4.1612	0.413	0.0	6656.39	1.6267
aggregate-mistral	category	rhythm	35.519	6.9576	0.0	0.0	3627.51	1.5372
aggregate-mistral	subcategory	harmony-absolute	45.019	6.6422	0.526	0.588	2542.92	0.7454
aggregate-mistral	subcategory	harmony-relative	31.572	8.4272	0.0	0.0	2035.72	0.7884
aggregate-mistral	subcategory	pitch-absolute	29.308	4.8695	0.4	0.0	3282.84	0.7609
aggregate-mistral	subcategory	pitch-relative	34.607	8.8477	0.556	0.0	3373.54	0.8658
aggregate-mistral	subcategory	rhythm-absolute	35.944	9.9379	0.0	0.0	2077.18	0.8106
aggregate-mistral	subcategory	rhythm-relative	35.038	6.2676	0.0	0.0	1550.33	0.7266
aggregate-mistral	skill	cadence recognition	31.683	12.4729	0.0	0.0	1158.63	0.3947
aggregate-mistral	skill	chord recognition	45.019	6.6422	0.526	0.588	2542.92	0.7454
aggregate-mistral	skill	interval recognition	22.136	14.736	1.111	0.0	1322.19	0.4108
aggregate-mistral	skill	interval statistics	47.723	7.3862	0.0	0.0	2051.35	0.455
aggregate-mistral	skill	note length	35.944	9.9379	0.0	0.0	2077.18	0.8106
aggregate-mistral	skill	pitch recognition	24.554	6.5092	0.0	0.0	1861.14	0.3669
aggregate-mistral	skill	pitch statistics	34.404	8.973	0.769	0.0	1421.68	0.394
aggregate-mistral	skill	rhythm pattern	15.546	9.6762	0.0	0.0	955.29	0.3838
aggregate-mistral	skill	time signature	55.591	8.7543	0.0	0.0	595.04	0.3428
aggregate-mistral	skill	tonality recognition	31.457	9.0844	0.0	0.0	877.1	0.3937
aggregate-mistral	rel/abs	absolute	36.914	4.1059	0.282	0.137	7902.95	2.3169
aggregate-mistral	rel/abs	relative	33.653	5.4153	0.133	0.0	6959.59	2.3808
