Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	44.33	31.67	42.33	34.0	39.33	37.33
submodality	audio.mastermix.wav	100	33.0	36.0	36.0	27.0	33.0	36.0
submodality	symbolic.abc.txt	100	59.0	37.0	59.0	39.0	51.0	40.0
submodality	visual.short.png	100	41.0	22.0	32.0	36.0	34.0	36.0
piece_id	Anonymous_AusMeinesHerzensGrunde	39	46.15	28.21	53.85	41.03	48.72	33.33
piece_id	Bach_IchStehAnDeinerKrippe	15	20.0	13.33	26.67	26.67	20.0	20.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	33	36.36	39.39	54.55	39.39	42.42	30.3
piece_id	Drese_JesuGehVoran	21	47.62	33.33	47.62	28.57	23.81	57.14
piece_id	Gesius_BefiehlDuDeineWege	33	54.55	30.3	36.36	30.3	39.39	36.36
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	33	51.52	33.33	33.33	36.36	45.45	48.48
piece_id	Jan_DuGrosserSchmerzensmann	33	48.48	36.36	42.42	30.3	39.39	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	36	50.0	41.67	36.11	41.67	36.11	44.44
piece_id	Vulpius_ChristusDerIstMeinLeben	33	51.52	18.18	51.52	33.33	42.42	39.39
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	16.67	33.33	29.17	20.83	37.5	25.0
is_nota_correct	0	240	44.58	28.75	39.17	34.17	42.92	40.83
is_nota_correct	1	60	43.33	43.33	55.0	33.33	25.0	23.33
meta-question_id	1	30	33.33	33.33	43.33	33.33	40.0	33.33
meta-question_id	10	21	42.86	23.81	42.86	38.1	42.86	33.33
meta-question_id	11	18	33.33	38.89	27.78	44.44	50.0	27.78
meta-question_id	2	30	33.33	30.0	40.0	33.33	40.0	26.67
meta-question_id	3	30	23.33	13.33	26.67	6.67	26.67	20.0
meta-question_id	4	30	40.0	16.67	33.33	50.0	30.0	36.67
meta-question_id	5	30	70.0	43.33	50.0	33.33	43.33	56.67
meta-question_id	6	30	56.67	60.0	63.33	66.67	56.67	50.0
meta-question_id	7	30	56.67	30.0	56.67	30.0	43.33	46.67
meta-question_id	8	30	36.67	23.33	30.0	16.67	23.33	26.67
meta-question_id	9	21	61.9	38.1	47.62	23.81	42.86	52.38
category	harmony	60	46.67	33.33	40.0	35.0	45.0	38.33
category	pitch	120	32.5	23.33	35.83	30.83	34.17	29.17
category	rhythm	120	55.0	39.17	50.0	36.67	41.67	45.0
subcategory	harmonic-recognition	60	46.67	33.33	40.0	35.0	45.0	38.33
subcategory	interval-recognition	60	31.67	15.0	30.0	28.33	28.33	28.33
subcategory	pitch-recognition	60	33.33	31.67	41.67	33.33	40.0	30.0
subcategory	proportion-recognition	60	46.67	26.67	43.33	23.33	33.33	36.67
subcategory	rhythmic-recognition	60	63.33	51.67	56.67	50.0	50.0	53.33
skill	cadence recognition	18	33.33	38.89	27.78	44.44	50.0	27.78
skill	chord recognition	21	42.86	23.81	42.86	38.1	42.86	33.33
skill	interval recognition	30	23.33	13.33	26.67	6.67	26.67	20.0
skill	interval statistics	30	40.0	16.67	33.33	50.0	30.0	36.67
skill	note length	30	70.0	43.33	50.0	33.33	43.33	56.67
skill	note length statistics	30	56.67	60.0	63.33	66.67	56.67	50.0
skill	pitch recognition	30	33.33	33.33	43.33	33.33	40.0	33.33
skill	pitch statistics	30	33.33	30.0	40.0	33.33	40.0	26.67
skill	rhythm pattern	30	56.67	30.0	56.67	30.0	43.33	46.67
skill	rhythm pattern statistics	30	36.67	23.33	30.0	16.67	23.33	26.67
skill	tonality recognition	21	61.9	38.1	47.62	23.81	42.86	52.38
rel/abs	absolute	141	47.52	39.01	48.23	41.13	44.68	40.43
rel/abs	relative	159	41.51	25.16	37.11	27.67	34.59	34.59
specification	harmony-absolute	21	42.86	23.81	42.86	38.1	42.86	33.33
specification	harmony-relative	39	48.72	38.46	38.46	33.33	46.15	41.03
specification	pitch-absolute	60	33.33	31.67	41.67	33.33	40.0	30.0
specification	pitch-relative	60	31.67	15.0	30.0	28.33	28.33	28.33
specification	rhythm-absolute	60	63.33	51.67	56.67	50.0	50.0	53.33
specification	rhythm-relative	60	46.67	26.67	43.33	23.33	33.33	36.67
