Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only
OVERALL	ALL	1500	42.87	31.13	33.8	22.73
submodality	audio.mastermix.wav	500	32.4	30.2	27.8	22.8
submodality	symbolic.abc.txt	500	56.4	31.2	40.8	23.6
submodality	visual.short.png	500	39.8	32.0	32.8	21.8
piece_id	Anonymous_AusMeinesHerzensGrunde	180	35.56	31.67	28.89	18.89
piece_id	Bach_IchStehAnDeinerKrippe	168	42.26	34.52	33.93	22.02
piece_id	Crueger_AufAufMeinHerzMitFreuden	159	38.36	30.82	28.3	23.9
piece_id	Drese_JesuGehVoran	156	35.9	26.92	28.21	23.08
piece_id	Gesius_BefiehlDuDeineWege	156	47.44	33.97	34.62	28.85
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	108	50.93	32.41	42.59	14.81
piece_id	Jan_DuGrosserSchmerzensmann	141	48.23	29.79	36.88	21.99
piece_id	Telemann_DerLiebenSonneLichtUndPracht	144	40.97	27.08	32.64	18.06
piece_id	Vulpius_ChristusDerIstMeinLeben	123	51.22	37.4	42.28	22.76
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	165	43.64	27.88	35.15	30.3
is_nota_correct	0	1200	41.67	35.42	34.58	18.58
is_nota_correct	1	300	47.67	14.0	30.67	39.33
meta-question_id	1	150	31.33	24.0	19.33	22.67
meta-question_id	10	120	44.17	45.0	41.67	20.83
meta-question_id	11	120	25.83	19.17	20.83	15.0
meta-question_id	2	150	55.33	33.33	42.67	26.0
meta-question_id	3	150	38.67	32.0	26.67	19.33
meta-question_id	4	150	47.33	35.33	38.0	31.33
meta-question_id	5	150	58.0	34.67	30.0	22.0
meta-question_id	6	150	48.0	36.0	54.0	32.0
meta-question_id	7	150	49.33	38.67	42.0	20.67
meta-question_id	8	150	19.33	15.33	14.67	10.67
meta-question_id	9	60	63.33	26.67	51.67	35.0
category	harmony	300	40.67	31.0	35.33	21.33
category	pitch	600	43.17	31.17	31.67	24.83
category	rhythm	600	43.67	31.17	35.17	21.33
subcategory	harmonic-recognition	300	40.67	31.0	35.33	21.33
subcategory	interval-recognition	300	43.0	33.67	32.33	25.33
subcategory	pitch-recognition	300	43.33	28.67	31.0	24.33
subcategory	proportion-recognition	300	34.33	27.0	28.33	15.67
subcategory	rhythmic-recognition	300	53.0	35.33	42.0	27.0
skill	cadence recognition	120	25.83	19.17	20.83	15.0
skill	chord recognition	120	44.17	45.0	41.67	20.83
skill	interval recognition	150	38.67	32.0	26.67	19.33
skill	interval statistics	150	47.33	35.33	38.0	31.33
skill	note length	150	58.0	34.67	30.0	22.0
skill	note length statistics	150	48.0	36.0	54.0	32.0
skill	pitch recognition	150	31.33	24.0	19.33	22.67
skill	pitch statistics	150	55.33	33.33	42.67	26.0
skill	rhythm pattern	150	49.33	38.67	42.0	20.67
skill	rhythm pattern statistics	150	19.33	15.33	14.67	10.67
skill	tonality recognition	60	63.33	26.67	51.67	35.0
rel/abs	absolute	720	47.5	34.17	37.36	24.86
rel/abs	relative	780	38.59	28.33	30.51	20.77
specification	harmony-absolute	120	44.17	45.0	41.67	20.83
specification	harmony-relative	180	38.33	21.67	31.11	21.67
specification	pitch-absolute	300	43.33	28.67	31.0	24.33
specification	pitch-relative	300	43.0	33.67	32.33	25.33
specification	rhythm-absolute	300	53.0	35.33	42.0	27.0
specification	rhythm-relative	300	34.33	27.0	28.33	15.67
