Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	44.13	0.0	0.0	2512.23	0.751647	30.67	3.65	0.19	8496.69	1.307052	39.87	0.0	0.0	15303.54	0.0	35.73	0.0	0.0	2484.74	0.105896
submodality	audio.mastermix.wav	250	32.8	0.0	0.0	781.98	0.184446	27.6	0.0	0.55	1518.83	1.098373	31.2	0.0	0.0	2571.96	0.0	29.2	0.0	0.0	1029.06	0.026698
submodality	symbolic.abc.txt	250	58.4	0.0	0.0	859.04	0.293488	39.6	0.0	0.0	2422.34	0.085105	60.8	0.0	0.0	8783.73	0.0	44.0	0.0	0.0	818.41	0.044893
submodality	visual.short.png	250	41.2	0.0	0.0	871.21	0.273714	24.8	10.11	0.0	4555.52	0.123575	27.6	0.0	0.0	3947.85	0.0	34.0	0.0	0.0	637.26	0.034306
piece_id	Anonymous_AusMeinesHerzensGrunde	102	40.2	0.0	0.0	351.06	0.113033	36.27	0.0	0.0	2012.53	0.260143	47.06	0.0	0.0	2287.0	0.0	39.22	0.0	0.0	366.13	0.016026
piece_id	Bach_IchStehAnDeinerKrippe	66	37.88	0.0	0.0	220.37	0.068479	27.27	2.08	0.0	626.28	0.11364	36.36	0.0	0.0	1216.27	0.0	27.27	0.0	0.0	199.47	0.008964
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	36.67	0.0	0.0	309.95	0.097525	30.0	1.59	0.0	631.25	0.164337	42.22	0.0	0.0	2178.22	0.0	26.67	0.0	0.0	296.13	0.014313
piece_id	Drese_JesuGehVoran	66	53.03	0.0	0.0	206.07	0.059588	40.91	5.13	0.0	630.92	0.088542	39.39	0.0	0.0	1119.34	0.0	40.91	0.0	0.0	215.81	0.007955
piece_id	Gesius_BefiehlDuDeineWege	72	47.22	0.0	0.0	238.19	0.071206	20.83	3.51	0.0	1101.91	0.143308	29.17	0.0	0.0	1155.28	0.0	41.67	0.0	0.0	235.96	0.009577
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	63	58.73	0.0	0.0	199.46	0.057163	28.57	2.22	2.22	833.27	0.090046	42.86	0.0	0.0	1251.83	0.0	39.68	0.0	0.0	204.82	0.008161
piece_id	Jan_DuGrosserSchmerzensmann	78	34.62	0.0	0.0	269.53	0.076314	20.51	4.84	0.0	673.27	0.12412	28.21	0.0	0.0	1764.66	0.0	25.64	0.0	0.0	286.78	0.012289
piece_id	Telemann_DerLiebenSonneLichtUndPracht	96	51.04	0.0	0.0	345.03	0.103425	38.54	10.17	0.0	1208.89	0.221909	43.75	0.0	0.0	1886.99	0.0	46.88	0.0	0.0	320.75	0.014763
piece_id	Vulpius_ChristusDerIstMeinLeben	54	46.3	0.0	0.0	166.31	0.045369	33.33	5.56	0.0	309.23	0.055795	48.15	0.0	0.0	967.8	0.0	33.33	0.0	0.0	160.43	0.006119
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	39.68	0.0	0.0	206.27	0.059544	26.98	2.17	0.0	469.13	0.045213	39.68	0.0	0.0	1476.15	0.0	33.33	0.0	0.0	198.44	0.007731
is_nota_correct	0	600	43.17	0.0	0.0	1991.9	0.599704	29.67	4.03	0.24	7354.83	1.05514	37.5	0.0	0.0	11543.49	0.0	36.67	0.0	0.0	1966.64	0.083664
is_nota_correct	1	150	48.0	0.0	0.0	520.33	0.151944	34.67	2.04	0.0	1141.85	0.251912	49.33	0.0	0.0	3760.05	0.0	32.0	0.0	0.0	518.09	0.022233
meta-question_id	1	75	33.33	0.0	0.0	253.99	0.078548	24.0	0.0	0.0	1452.86	0.156439	30.67	0.0	0.0	1192.23	0.0	41.33	0.0	0.0	247.6	0.010617
meta-question_id	10	51	50.98	0.0	0.0	167.3	0.049178	41.18	10.0	0.0	634.47	0.096765	31.37	0.0	0.0	1009.99	0.0	47.06	0.0	0.0	152.39	0.006866
meta-question_id	11	48	25.0	0.0	0.0	166.58	0.049666	22.92	8.11	0.0	563.29	0.087319	16.67	0.0	0.0	985.76	0.0	12.5	0.0	0.0	169.91	0.006988
meta-question_id	2	75	46.67	0.0	0.0	244.05	0.075566	24.0	1.75	0.0	1141.85	0.142002	48.0	0.0	0.0	853.39	0.0	30.67	0.0	0.0	203.91	0.009379
meta-question_id	3	75	34.67	0.0	0.0	269.92	0.081693	26.67	3.64	0.0	668.78	0.126323	40.0	0.0	0.0	1589.51	0.0	21.33	0.0	0.0	235.35	0.010783
meta-question_id	4	75	52.0	0.0	0.0	273.79	0.085211	33.33	4.0	0.0	731.05	0.120964	41.33	0.0	0.0	2746.06	0.0	48.0	0.0	0.0	256.84	0.011938
meta-question_id	5	75	57.33	0.0	0.0	238.53	0.074431	44.0	4.76	0.0	636.3	0.122364	49.33	0.0	0.0	1331.97	0.0	36.0	0.0	0.0	316.55	0.010678
meta-question_id	6	75	56.0	0.0	0.0	265.83	0.072614	37.33	6.38	0.0	1026.78	0.126933	61.33	0.0	0.0	1521.67	0.0	58.67	0.0	0.0	278.07	0.01092
meta-question_id	7	75	46.67	0.0	0.0	253.76	0.081614	40.0	2.22	0.0	688.6	0.133549	42.67	0.0	0.0	1854.58	0.0	42.67	0.0	0.0	264.98	0.01207
meta-question_id	8	75	18.67	0.0	0.0	250.36	0.070341	12.0	1.52	1.52	777.27	0.119183	20.0	0.0	0.0	1944.69	0.0	13.33	0.0	0.0	224.34	0.010615
meta-question_id	9	51	66.67	0.0	0.0	128.13	0.032786	33.33	2.94	0.0	175.44	0.075211	49.02	0.0	0.0	273.7	0.0	37.25	0.0	0.0	134.79	0.005042
category	harmony	150	48.0	0.0	0.0	462.02	0.13163	32.67	6.93	0.0	1373.19	0.259295	32.67	0.0	0.0	2269.45	0.0	32.67	0.0	0.0	457.09	0.018896
category	pitch	300	41.67	0.0	0.0	1041.74	0.321017	27.0	2.28	0.0	3994.55	0.545728	40.0	0.0	0.0	6381.19	0.0	35.33	0.0	0.0	943.71	0.042717
category	rhythm	300	44.67	0.0	0.0	1008.47	0.299	33.33	3.5	0.5	3128.95	0.502029	43.33	0.0	0.0	6652.9	0.0	37.67	0.0	0.0	1083.94	0.044284
subcategory	harmonic-recognition	150	48.0	0.0	0.0	462.02	0.13163	32.67	6.93	0.0	1373.19	0.259295	32.67	0.0	0.0	2269.45	0.0	32.67	0.0	0.0	457.09	0.018896
subcategory	interval-recognition	150	43.33	0.0	0.0	543.71	0.166903	30.0	3.81	0.0	1399.83	0.247287	40.67	0.0	0.0	4335.57	0.0	34.67	0.0	0.0	492.19	0.022721
subcategory	pitch-recognition	150	40.0	0.0	0.0	498.03	0.154114	24.0	0.88	0.0	2594.71	0.298441	39.33	0.0	0.0	2045.62	0.0	36.0	0.0	0.0	451.51	0.019996
subcategory	proportion-recognition	150	32.67	0.0	0.0	504.11	0.151955	26.0	1.8	0.9	1465.87	0.252732	31.33	0.0	0.0	3799.27	0.0	28.0	0.0	0.0	489.32	0.022686
subcategory	rhythmic-recognition	150	56.67	0.0	0.0	504.35	0.147045	40.67	5.62	0.0	1663.08	0.249297	55.33	0.0	0.0	2853.63	0.0	47.33	0.0	0.0	594.62	0.021598
skill	cadence recognition	48	25.0	0.0	0.0	166.58	0.049666	22.92	8.11	0.0	563.29	0.087319	16.67	0.0	0.0	985.76	0.0	12.5	0.0	0.0	169.91	0.006988
skill	chord recognition	51	50.98	0.0	0.0	167.3	0.049178	41.18	10.0	0.0	634.47	0.096765	31.37	0.0	0.0	1009.99	0.0	47.06	0.0	0.0	152.39	0.006866
skill	interval recognition	75	34.67	0.0	0.0	269.92	0.081693	26.67	3.64	0.0	668.78	0.126323	40.0	0.0	0.0	1589.51	0.0	21.33	0.0	0.0	235.35	0.010783
skill	interval statistics	75	52.0	0.0	0.0	273.79	0.085211	33.33	4.0	0.0	731.05	0.120964	41.33	0.0	0.0	2746.06	0.0	48.0	0.0	0.0	256.84	0.011938
skill	note length	75	57.33	0.0	0.0	238.53	0.074431	44.0	4.76	0.0	636.3	0.122364	49.33	0.0	0.0	1331.97	0.0	36.0	0.0	0.0	316.55	0.010678
skill	note length statistics	75	56.0	0.0	0.0	265.83	0.072614	37.33	6.38	0.0	1026.78	0.126933	61.33	0.0	0.0	1521.67	0.0	58.67	0.0	0.0	278.07	0.01092
skill	pitch recognition	75	33.33	0.0	0.0	253.99	0.078548	24.0	0.0	0.0	1452.86	0.156439	30.67	0.0	0.0	1192.23	0.0	41.33	0.0	0.0	247.6	0.010617
skill	pitch statistics	75	46.67	0.0	0.0	244.05	0.075566	24.0	1.75	0.0	1141.85	0.142002	48.0	0.0	0.0	853.39	0.0	30.67	0.0	0.0	203.91	0.009379
skill	rhythm pattern	75	46.67	0.0	0.0	253.76	0.081614	40.0	2.22	0.0	688.6	0.133549	42.67	0.0	0.0	1854.58	0.0	42.67	0.0	0.0	264.98	0.01207
skill	rhythm pattern statistics	75	18.67	0.0	0.0	250.36	0.070341	12.0	1.52	1.52	777.27	0.119183	20.0	0.0	0.0	1944.69	0.0	13.33	0.0	0.0	224.34	0.010615
skill	tonality recognition	51	66.67	0.0	0.0	128.13	0.032786	33.33	2.94	0.0	175.44	0.075211	49.02	0.0	0.0	273.7	0.0	37.25	0.0	0.0	134.79	0.005042
rel/abs	absolute	351	48.72	0.0	0.0	1169.69	0.350337	33.62	3.86	0.0	4892.26	0.644504	45.01	0.0	0.0	5909.24	0.0	42.45	0.0	0.0	1198.53	0.048459
rel/abs	relative	399	40.1	0.0	0.0	1342.54	0.40131	28.07	3.48	0.35	3604.43	0.662549	35.34	0.0	0.0	9394.3	0.0	29.82	0.0	0.0	1286.21	0.057437
specification	harmony-absolute	51	50.98	0.0	0.0	167.3	0.049178	41.18	10.0	0.0	634.47	0.096765	31.37	0.0	0.0	1009.99	0.0	47.06	0.0	0.0	152.39	0.006866
specification	harmony-relative	99	46.46	0.0	0.0	294.71	0.082452	28.28	5.63	0.0	738.73	0.16253	33.33	0.0	0.0	1259.46	0.0	25.25	0.0	0.0	304.7	0.01203
specification	pitch-absolute	150	40.0	0.0	0.0	498.03	0.154114	24.0	0.88	0.0	2594.71	0.298441	39.33	0.0	0.0	2045.62	0.0	36.0	0.0	0.0	451.51	0.019996
specification	pitch-relative	150	43.33	0.0	0.0	543.71	0.166903	30.0	3.81	0.0	1399.83	0.247287	40.67	0.0	0.0	4335.57	0.0	34.67	0.0	0.0	492.19	0.022721
specification	rhythm-absolute	150	56.67	0.0	0.0	504.35	0.147045	40.67	5.62	0.0	1663.08	0.249297	55.33	0.0	0.0	2853.63	0.0	47.33	0.0	0.0	594.62	0.021598
specification	rhythm-relative	150	32.67	0.0	0.0	504.11	0.151955	26.0	1.8	0.9	1465.87	0.252732	31.33	0.0	0.0	3799.27	0.0	28.0	0.0	0.0	489.32	0.022686
