Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
OVERALL	ALL	33.999	20.666	19.333	42.0	22.665	20.666	34.0	38.001	33.998	38.666	24.0
submodality	audio.mastermix.wav	24.0	16.0	22.0	22.0	22.0	22.0	38.0	34.0	22.0	22.0	22.0
submodality	symbolic.abc.txt	50.0	12.0	18.0	68.0	16.0	22.0	32.0	56.0	46.0	64.0	28.0
submodality	visual.short.png	28.0	34.0	18.0	36.0	30.0	18.0	32.0	24.0	34.0	30.0	22.0
is_nota_correct	0	35.833	16.666	11.665	43.333	27.501	17.501	33.334	43.333	35.0	33.332	17.499
is_nota_correct	1	26.665	36.666	50.0	36.666	3.333	33.332	36.665	16.666	29.999	60.001	49.999
meta-question_id	1	13.333	29.999	29.999	40.0	23.333	26.665	36.666	26.666	36.665	50.0	29.999
meta-question_id	3	40.0	16.665	16.666	36.666	19.999	9.999	19.998	26.666	20.0	26.665	16.665
meta-question_id	5	46.667	9.999	13.333	43.334	29.999	26.666	46.667	46.667	39.999	36.666	16.666
meta-question_id	7	36.666	19.999	23.333	36.667	16.666	20.0	26.666	36.667	33.333	36.666	13.333
meta-question_id	9	33.332	26.665	13.332	53.335	23.332	19.998	40.0	53.333	40.001	43.333	43.333
category	harmony	33.332	26.665	13.332	53.335	23.332	19.998	40.0	53.333	40.001	43.333	43.333
category	pitch	26.665	23.334	23.334	38.333	21.667	18.336	28.332	26.668	28.335	38.333	23.335
category	rhythm	41.666	15.002	18.334	40.0	23.334	23.334	36.667	41.666	36.666	36.665	15.001
subcategory	harmonic-recognition	33.332	26.665	13.332	53.335	23.332	19.998	40.0	53.333	40.001	43.333	43.333
subcategory	interval-recognition	40.0	16.665	16.666	36.666	19.999	9.999	19.998	26.666	20.0	26.665	16.665
subcategory	pitch-recognition	13.333	29.999	29.999	40.0	23.333	26.665	36.666	26.666	36.665	50.0	29.999
subcategory	proportion-recognition	36.666	19.999	23.333	36.667	16.666	20.0	26.666	36.667	33.333	36.666	13.333
subcategory	rhythmic-recognition	46.667	9.999	13.333	43.334	29.999	26.666	46.667	46.667	39.999	36.666	16.666
skill	interval recognition	40.0	16.665	16.666	36.666	19.999	9.999	19.998	26.666	20.0	26.665	16.665
skill	note length	46.667	9.999	13.333	43.334	29.999	26.666	46.667	46.667	39.999	36.666	16.666
skill	pitch recognition	13.333	29.999	29.999	40.0	23.333	26.665	36.666	26.666	36.665	50.0	29.999
skill	rhythm pattern	36.666	19.999	23.333	36.667	16.666	20.0	26.666	36.667	33.333	36.666	13.333
skill	tonality recognition	33.332	26.665	13.332	53.335	23.332	19.998	40.0	53.333	40.001	43.333	43.333
rel/abs	absolute	30.0	20.002	21.667	41.666	26.666	26.667	41.668	36.668	38.332	43.333	23.333
rel/abs	relative	36.664	21.109	17.776	42.221	19.998	16.665	28.889	38.889	31.11	35.553	24.443
specification	harmony-relative	33.332	26.665	13.332	53.335	23.332	19.998	40.0	53.333	40.001	43.333	43.333
specification	pitch-absolute	13.333	29.999	29.999	40.0	23.333	26.665	36.666	26.666	36.665	50.0	29.999
specification	pitch-relative	40.0	16.665	16.666	36.666	19.999	9.999	19.998	26.666	20.0	26.665	16.665
specification	rhythm-absolute	46.667	9.999	13.333	43.334	29.999	26.666	46.667	46.667	39.999	36.666	16.666
specification	rhythm-relative	36.666	19.999	23.333	36.667	16.666	20.0	26.666	36.667	33.333	36.666	13.333
