Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	1500	44.87	33.6
submodality	audio.mastermix.wav	500	31.4	30.8
submodality	symbolic.abc.txt	500	59.8	38.0
submodality	visual.short.png	500	43.4	32.0
piece_id	Anonymous_AusMeinesHerzensGrunde	162	39.51	37.04
piece_id	Bach_IchStehAnDeinerKrippe	165	47.88	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	189	43.92	36.51
piece_id	Drese_JesuGehVoran	141	43.97	36.88
piece_id	Gesius_BefiehlDuDeineWege	138	42.03	34.78
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	141	47.52	26.24
piece_id	Jan_DuGrosserSchmerzensmann	144	44.44	30.56
piece_id	Telemann_DerLiebenSonneLichtUndPracht	141	53.19	34.04
piece_id	Vulpius_ChristusDerIstMeinLeben	108	40.74	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	171	45.03	32.16
is_nota_correct	0	1200	43.83	35.42
is_nota_correct	1	300	49.0	26.33
meta-question_id	1	150	28.67	22.67
meta-question_id	10	120	49.17	42.5
meta-question_id	11	120	29.17	23.33
meta-question_id	2	150	52.0	28.0
meta-question_id	3	150	35.33	32.0
meta-question_id	4	150	56.0	43.33
meta-question_id	5	150	60.0	31.33
meta-question_id	6	150	54.67	50.67
meta-question_id	7	150	51.33	38.67
meta-question_id	8	150	22.67	18.67
meta-question_id	9	60	63.33	45.0
category	harmony	300	44.0	35.33
category	pitch	600	43.0	31.5
category	rhythm	600	47.17	34.83
subcategory	harmonic-recognition	300	44.0	35.33
subcategory	interval-recognition	300	45.67	37.67
subcategory	pitch-recognition	300	40.33	25.33
subcategory	proportion-recognition	300	37.0	28.67
subcategory	rhythmic-recognition	300	57.33	41.0
skill	cadence recognition	120	29.17	23.33
skill	chord recognition	120	49.17	42.5
skill	interval recognition	150	35.33	32.0
skill	interval statistics	150	56.0	43.33
skill	note length	150	60.0	31.33
skill	note length statistics	150	54.67	50.67
skill	pitch recognition	150	28.67	22.67
skill	pitch statistics	150	52.0	28.0
skill	rhythm pattern	150	51.33	38.67
skill	rhythm pattern statistics	150	22.67	18.67
skill	tonality recognition	60	63.33	45.0
rel/abs	absolute	720	48.89	34.72
rel/abs	relative	780	41.15	32.56
specification	harmony-absolute	120	49.17	42.5
specification	harmony-relative	180	40.56	30.56
specification	pitch-absolute	300	40.33	25.33
specification	pitch-relative	300	45.67	37.67
specification	rhythm-absolute	300	57.33	41.0
specification	rhythm-relative	300	37.0	28.67
