Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price
OVERALL	ALL	300	47.0	0.0	0.0	977.55	0.286623	33.0	2.49	0.0	3681.4	0.498846	41.0	0.0	0.0	5999.76	0.0	35.33	0.0	0.0	1107.13	0.037823	36.67	0.0	0.0	4229.11	0.58283	40.67	1.12	0.0	1109.29	2.61823
submodality	audio.mastermix.wav	100	30.0	0.0	0.0	310.45	0.070354	25.0	0.0	0.0	718.34	0.422211	31.0	0.0	0.0	1385.06	0.0	31.0	0.0	0.0	491.95	0.010413	28.0	0.0	0.0	844.29	0.097908	35.0	0.0	0.0	480.82	1.819157
submodality	symbolic.abc.txt	100	63.0	0.0	0.0	335.26	0.111825	39.0	0.0	0.0	610.14	0.018274	60.0	0.0	0.0	3255.2	0.0	46.0	0.0	0.0	334.21	0.014533	50.0	0.0	0.0	1808.89	0.266941	45.0	0.0	0.0	390.31	0.589612
submodality	visual.short.png	100	48.0	0.0	0.0	331.84	0.104444	35.0	7.69	0.0	2352.93	0.05836	32.0	0.0	0.0	1359.49	0.0	29.0	0.0	0.0	280.97	0.012877	32.0	0.0	0.0	1575.92	0.217981	42.0	3.45	0.0	238.16	0.20946
piece_id	Anonymous_AusMeinesHerzensGrunde	30	40.0	0.0	0.0	104.17	0.031457	30.0	0.0	0.0	363.62	0.064211	30.0	0.0	0.0	730.11	0.0	40.0	0.0	0.0	131.58	0.004413	36.67	0.0	0.0	490.87	0.069544	36.67	5.26	0.0	123.34	0.339855
piece_id	Bach_IchStehAnDeinerKrippe	33	36.36	0.0	0.0	102.95	0.029853	27.27	8.33	0.0	381.08	0.055748	30.3	0.0	0.0	621.61	0.0	21.21	0.0	0.0	130.04	0.003839	18.18	0.0	0.0	568.7	0.077004	27.27	0.0	0.0	115.18	0.296988
piece_id	Crueger_AufAufMeinHerzMitFreuden	33	39.39	0.0	0.0	115.05	0.035142	39.39	0.0	0.0	525.64	0.077701	39.39	0.0	0.0	934.65	0.0	30.3	0.0	0.0	125.07	0.004862	42.42	0.0	0.0	443.13	0.064846	33.33	0.0	0.0	130.96	0.329553
piece_id	Drese_JesuGehVoran	33	45.45	0.0	0.0	105.24	0.028943	24.24	0.0	0.0	311.76	0.040465	36.36	0.0	0.0	527.46	0.0	42.42	0.0	0.0	121.61	0.003576	39.39	0.0	0.0	435.36	0.057709	42.42	0.0	0.0	115.51	0.244108
piece_id	Gesius_BefiehlDuDeineWege	30	56.67	0.0	0.0	98.72	0.031622	40.0	0.0	0.0	443.72	0.054124	43.33	0.0	0.0	546.33	0.0	26.67	0.0	0.0	108.66	0.003803	30.0	0.0	0.0	342.64	0.046529	46.67	0.0	0.0	120.22	0.28193
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	21	42.86	0.0	0.0	68.02	0.018519	52.38	10.0	0.0	214.43	0.029104	47.62	0.0	0.0	598.72	0.0	38.1	0.0	0.0	76.45	0.002277	28.57	0.0	0.0	299.71	0.040286	42.86	8.33	0.0	71.59	0.160302
