Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	47.0	33.0	41.0	35.33	36.67	40.67
submodality	audio.mastermix.wav	100	30.0	25.0	31.0	31.0	28.0	35.0
submodality	symbolic.abc.txt	100	63.0	39.0	60.0	46.0	50.0	45.0
submodality	visual.short.png	100	48.0	35.0	32.0	29.0	32.0	42.0
piece_id	Anonymous_AusMeinesHerzensGrunde	30	40.0	30.0	30.0	40.0	36.67	36.67
piece_id	Bach_IchStehAnDeinerKrippe	33	36.36	27.27	30.3	21.21	18.18	27.27
piece_id	Crueger_AufAufMeinHerzMitFreuden	33	39.39	39.39	39.39	30.3	42.42	33.33
piece_id	Drese_JesuGehVoran	33	45.45	24.24	36.36	42.42	39.39	42.42
piece_id	Gesius_BefiehlDuDeineWege	30	56.67	40.0	43.33	26.67	30.0	46.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	21	42.86	52.38	47.62	38.1	28.57	42.86
piece_id	Jan_DuGrosserSchmerzensmann	30	53.33	36.67	43.33	23.33	46.67	40.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	33	42.42	27.27	33.33	54.55	51.52	48.48
piece_id	Vulpius_ChristusDerIstMeinLeben	30	63.33	26.67	53.33	43.33	36.67	50.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27	51.85	33.33	59.26	33.33	33.33	40.74
is_nota_correct	0	240	47.5	35.0	42.5	40.0	41.25	42.08
is_nota_correct	1	60	45.0	25.0	35.0	16.67	18.33	35.0
meta-question_id	1	30	43.33	23.33	36.67	26.67	26.67	36.67
meta-question_id	10	21	47.62	42.86	28.57	47.62	38.1	42.86
meta-question_id	11	18	27.78	16.67	27.78	16.67	11.11	5.56
meta-question_id	2	30	60.0	40.0	43.33	33.33	50.0	60.0
meta-question_id	3	30	36.67	26.67	33.33	16.67	40.0	20.0
meta-question_id	4	30	46.67	33.33	46.67	50.0	33.33	43.33
meta-question_id	5	30	50.0	36.67	46.67	30.0	40.0	50.0
meta-question_id	6	30	60.0	53.33	66.67	70.0	46.67	60.0
meta-question_id	7	30	43.33	36.67	50.0	33.33	33.33	46.67
meta-question_id	8	30	30.0	13.33	16.67	10.0	23.33	16.67
meta-question_id	9	21	71.43	38.1	47.62	57.14	57.14	57.14
category	harmony	60	50.0	33.33	35.0	41.67	36.67	36.67
category	pitch	120	46.67	30.83	40.0	31.67	37.5	40.0
category	rhythm	120	45.83	35.0	45.0	35.83	35.83	43.33
subcategory	harmonic-recognition	60	50.0	33.33	35.0	41.67	36.67	36.67
subcategory	interval-recognition	60	41.67	30.0	40.0	33.33	36.67	31.67
subcategory	pitch-recognition	60	51.67	31.67	40.0	30.0	38.33	48.33
subcategory	proportion-recognition	60	36.67	25.0	33.33	21.67	28.33	31.67
subcategory	rhythmic-recognition	60	55.0	45.0	56.67	50.0	43.33	55.0
skill	cadence recognition	18	27.78	16.67	27.78	16.67	11.11	5.56
skill	chord recognition	21	47.62	42.86	28.57	47.62	38.1	42.86
skill	interval recognition	30	36.67	26.67	33.33	16.67	40.0	20.0
skill	interval statistics	30	46.67	33.33	46.67	50.0	33.33	43.33
skill	note length	30	50.0	36.67	46.67	30.0	40.0	50.0
skill	note length statistics	30	60.0	53.33	66.67	70.0	46.67	60.0
skill	pitch recognition	30	43.33	23.33	36.67	26.67	26.67	36.67
skill	pitch statistics	30	60.0	40.0	43.33	33.33	50.0	60.0
skill	rhythm pattern	30	43.33	36.67	50.0	33.33	33.33	46.67
skill	rhythm pattern statistics	30	30.0	13.33	16.67	10.0	23.33	16.67
skill	tonality recognition	21	71.43	38.1	47.62	57.14	57.14	57.14
rel/abs	absolute	141	52.48	39.01	45.39	41.13	40.43	50.35
rel/abs	relative	159	42.14	27.67	37.11	30.19	33.33	32.08
specification	harmony-absolute	21	47.62	42.86	28.57	47.62	38.1	42.86
specification	harmony-relative	39	51.28	28.21	38.46	38.46	35.9	33.33
specification	pitch-absolute	60	51.67	31.67	40.0	30.0	38.33	48.33
specification	pitch-relative	60	41.67	30.0	40.0	33.33	36.67	31.67
specification	rhythm-absolute	60	55.0	45.0	56.67	50.0	43.33	55.0
specification	rhythm-relative	60	36.67	25.0	33.33	21.67	28.33	31.67
