Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	43.33	30.0	27.33	33.87	41.73	36.13	22.93	25.33
submodality	audio.mastermix.wav	250	31.6	26.4	31.6	29.2	32.8	29.6	26.8	27.6
submodality	symbolic.abc.txt	250	60.0	30.8	29.2	44.0	60.8	39.2	21.2	27.6
submodality	visual.short.png	250	38.4	32.8	21.2	28.4	31.6	39.6	20.8	20.8
piece_id	Anonymous_AusMeinesHerzensGrunde	69	39.13	36.23	27.54	33.33	55.07	36.23	21.74	31.88
piece_id	Bach_IchStehAnDeinerKrippe	72	37.5	19.44	22.22	27.78	36.11	34.72	23.61	23.61
piece_id	Crueger_AufAufMeinHerzMitFreuden	96	37.5	30.21	29.17	39.58	35.42	32.29	27.08	16.67
piece_id	Drese_JesuGehVoran	69	46.38	28.99	24.64	33.33	39.13	43.48	23.19	28.99
piece_id	Gesius_BefiehlDuDeineWege	48	47.92	27.08	27.08	31.25	35.42	27.08	18.75	25.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	81	45.68	24.69	25.93	34.57	45.68	27.16	12.35	24.69
piece_id	Jan_DuGrosserSchmerzensmann	78	42.31	28.21	19.23	24.36	29.49	24.36	19.23	26.92
piece_id	Telemann_DerLiebenSonneLichtUndPracht	66	50.0	30.3	25.76	42.42	45.45	42.42	28.79	19.7
piece_id	Vulpius_ChristusDerIstMeinLeben	105	46.67	37.14	35.24	36.19	40.95	43.81	21.9	27.62
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	66	42.42	34.85	33.33	33.33	57.58	48.48	33.33	30.3
is_nota_correct	0	600	42.0	33.0	25.0	32.83	39.33	37.17	19.17	17.83
is_nota_correct	1	150	48.67	18.0	36.67	38.0	51.33	32.0	38.0	55.33
meta-question_id	1	75	37.33	25.33	28.0	33.33	40.0	25.33	24.0	24.0
meta-question_id	10	51	54.9	25.49	23.53	23.53	37.25	35.29	21.57	19.61
meta-question_id	11	48	18.75	29.17	27.08	29.17	43.75	27.08	20.83	20.83
meta-question_id	2	75	40.0	22.67	21.33	22.67	41.33	33.33	25.33	18.67
meta-question_id	3	75	41.33	22.67	16.0	26.67	30.67	32.0	10.67	20.0
meta-question_id	4	75	58.67	42.67	44.0	42.67	50.67	45.33	37.33	36.0
meta-question_id	5	75	52.0	42.67	33.33	45.33	49.33	38.67	28.0	29.33
meta-question_id	6	75	44.0	38.67	40.0	48.0	52.0	53.33	29.33	44.0
meta-question_id	7	75	42.67	37.33	29.33	40.0	44.0	42.67	16.0	26.67
meta-question_id	8	75	20.0	16.0	16.0	17.33	21.33	18.67	17.33	12.0
meta-question_id	9	51	70.59	23.53	17.65	41.18	50.98	45.1	19.61	23.53
category	harmony	150	48.67	26.0	22.67	31.33	44.0	36.0	20.67	21.33
category	pitch	300	44.33	28.33	27.33	31.33	40.67	34.0	24.33	24.67
category	rhythm	300	39.67	33.67	29.67	37.67	41.67	38.33	22.67	28.0
subcategory	harmonic-recognition	150	48.67	26.0	22.67	31.33	44.0	36.0	20.67	21.33
subcategory	interval-recognition	150	50.0	32.67	30.0	34.67	40.67	38.67	24.0	28.0
subcategory	pitch-recognition	150	38.67	24.0	24.67	28.0	40.67	29.33	24.67	21.33
subcategory	proportion-recognition	150	31.33	26.67	22.67	28.67	32.67	30.67	16.67	19.33
subcategory	rhythmic-recognition	150	48.0	40.67	36.67	46.67	50.67	46.0	28.67	36.67
skill	cadence recognition	48	18.75	29.17	27.08	29.17	43.75	27.08	20.83	20.83
skill	chord recognition	51	54.9	25.49	23.53	23.53	37.25	35.29	21.57	19.61
skill	interval recognition	75	41.33	22.67	16.0	26.67	30.67	32.0	10.67	20.0
skill	interval statistics	75	58.67	42.67	44.0	42.67	50.67	45.33	37.33	36.0
skill	note length	75	52.0	42.67	33.33	45.33	49.33	38.67	28.0	29.33
skill	note length statistics	75	44.0	38.67	40.0	48.0	52.0	53.33	29.33	44.0
skill	pitch recognition	75	37.33	25.33	28.0	33.33	40.0	25.33	24.0	24.0
skill	pitch statistics	75	40.0	22.67	21.33	22.67	41.33	33.33	25.33	18.67
skill	rhythm pattern	75	42.67	37.33	29.33	40.0	44.0	42.67	16.0	26.67
skill	rhythm pattern statistics	75	20.0	16.0	16.0	17.33	21.33	18.67	17.33	12.0
skill	tonality recognition	51	70.59	23.53	17.65	41.18	50.98	45.1	19.61	23.53
rel/abs	absolute	351	45.01	31.34	29.63	35.33	44.44	37.32	25.93	27.64
rel/abs	relative	399	41.85	28.82	25.31	32.58	39.35	35.09	20.3	23.31
specification	harmony-absolute	51	54.9	25.49	23.53	23.53	37.25	35.29	21.57	19.61
specification	harmony-relative	99	45.45	26.26	22.22	35.35	47.47	36.36	20.2	22.22
specification	pitch-absolute	150	38.67	24.0	24.67	28.0	40.67	29.33	24.67	21.33
specification	pitch-relative	150	50.0	32.67	30.0	34.67	40.67	38.67	24.0	28.0
specification	rhythm-absolute	150	48.0	40.67	36.67	46.67	50.67	46.0	28.67	36.67
specification	rhythm-relative	150	31.33	26.67	22.67	28.67	32.67	30.67	16.67	19.33
