Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	20.666	11.594	0.0	421.53	0.0151	22.665	0.0	0.0	414.98	0.0809	24.0	0.0	0.0	1739.55	0.0
submodality	audio.mastermix.wav	16.0	2.0	0.0	126.58	0.0043	22.0	0.0	0.0	131.52	0.0212	22.0	0.0	0.0	195.08	0.0
submodality	symbolic.abc.txt	12.0	23.0	0.0	155.4	0.0058	16.0	0.0	0.0	145.12	0.0306	28.0	0.0	0.0	941.42	0.0
submodality	visual.short.png	34.0	7.5	0.0	139.52	0.005	30.0	0.0	0.0	138.35	0.0291	22.0	0.0	0.0	603.07	0.0
is_nota_correct	0	16.666	11.545	0.0	343.57	0.0126	27.501	0.0	0.0	332.51	0.0653	17.499	0.0	0.0	1433.04	0.0
is_nota_correct	1	36.666	8.333	0.0	77.97	0.0025	3.333	0.0	0.0	82.45	0.0156	49.999	0.0	0.0	306.53	0.0
meta-question_id	1	29.999	0.0	0.0	71.98	0.0024	23.333	0.0	0.0	88.35	0.0155	29.999	0.0	0.0	276.43	0.0
meta-question_id	3	16.665	21.666	0.0	78.25	0.0026	19.999	0.0	0.0	92.81	0.0195	16.665	0.0	0.0	263.4	0.0
meta-question_id	5	9.999	28.332	0.0	73.14	0.0025	29.999	0.0	0.0	85.0	0.0157	16.666	0.0	0.0	359.85	0.0
meta-question_id	7	19.999	5.0	0.0	102.22	0.004	16.666	0.0	0.0	80.31	0.0172	13.333	0.0	0.0	494.79	0.0
meta-question_id	9	26.665	0.0	0.0	95.93	0.0035	23.332	0.0	0.0	68.47	0.013	43.333	0.0	0.0	345.09	0.0
category	harmony	26.665	0.0	0.0	95.93	0.0035	23.332	0.0	0.0	68.47	0.013	43.333	0.0	0.0	345.09	0.0
category	pitch	23.334	10.667	0.0	150.23	0.0051	21.667	0.0	0.0	181.17	0.035	23.335	0.0	0.0	539.83	0.0
category	rhythm	15.002	18.001	0.0	175.37	0.0065	23.334	0.0	0.0	165.34	0.0328	15.001	0.0	0.0	854.62	0.0
subcategory	harmonic-recognition	26.665	0.0	0.0	95.93	0.0035	23.332	0.0	0.0	68.47	0.013	43.333	0.0	0.0	345.09	0.0
subcategory	interval-recognition	16.665	21.666	0.0	78.25	0.0026	19.999	0.0	0.0	92.81	0.0195	16.665	0.0	0.0	263.4	0.0
subcategory	pitch-recognition	29.999	0.0	0.0	71.98	0.0024	23.333	0.0	0.0	88.35	0.0155	29.999	0.0	0.0	276.43	0.0
subcategory	proportion-recognition	19.999	5.0	0.0	102.22	0.004	16.666	0.0	0.0	80.31	0.0172	13.333	0.0	0.0	494.79	0.0
subcategory	rhythmic-recognition	9.999	28.332	0.0	73.14	0.0025	29.999	0.0	0.0	85.0	0.0157	16.666	0.0	0.0	359.85	0.0
skill	interval recognition	16.665	21.666	0.0	78.25	0.0026	19.999	0.0	0.0	92.81	0.0195	16.665	0.0	0.0	263.4	0.0
skill	note length	9.999	28.332	0.0	73.14	0.0025	29.999	0.0	0.0	85.0	0.0157	16.666	0.0	0.0	359.85	0.0
skill	pitch recognition	29.999	0.0	0.0	71.98	0.0024	23.333	0.0	0.0	88.35	0.0155	29.999	0.0	0.0	276.43	0.0
skill	rhythm pattern	19.999	5.0	0.0	102.22	0.004	16.666	0.0	0.0	80.31	0.0172	13.333	0.0	0.0	494.79	0.0
skill	tonality recognition	26.665	0.0	0.0	95.93	0.0035	23.332	0.0	0.0	68.47	0.013	43.333	0.0	0.0	345.09	0.0
rel/abs	absolute	20.002	20.0	0.0	145.12	0.005	26.666	0.0	0.0	173.38	0.0312	23.333	0.0	0.0	636.29	0.0
rel/abs	relative	21.109	8.077	0.0	276.41	0.0101	19.998	0.0	0.0	241.6	0.0497	24.443	0.0	0.0	1103.26	0.0
specification	harmony-relative	26.665	0.0	0.0	95.93	0.0035	23.332	0.0	0.0	68.47	0.013	43.333	0.0	0.0	345.09	0.0
specification	pitch-absolute	29.999	0.0	0.0	71.98	0.0024	23.333	0.0	0.0	88.35	0.0155	29.999	0.0	0.0	276.43	0.0
specification	pitch-relative	16.665	21.666	0.0	78.25	0.0026	19.999	0.0	0.0	92.81	0.0195	16.665	0.0	0.0	263.4	0.0
specification	rhythm-absolute	9.999	28.332	0.0	73.14	0.0025	29.999	0.0	0.0	85.0	0.0157	16.666	0.0	0.0	359.85	0.0
specification	rhythm-relative	19.999	5.0	0.0	102.22	0.004	16.666	0.0	0.0	80.31	0.0172	13.333	0.0	0.0	494.79	0.0
