Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	1500	31.13	22.73
submodality	audio.mastermix.wav	500	30.2	22.8
submodality	symbolic.abc.txt	500	31.2	23.6
submodality	visual.short.png	500	32.0	21.8
piece_id	Anonymous_AusMeinesHerzensGrunde	180	31.67	18.89
piece_id	Bach_IchStehAnDeinerKrippe	168	34.52	22.02
piece_id	Crueger_AufAufMeinHerzMitFreuden	159	30.82	23.9
piece_id	Drese_JesuGehVoran	156	26.92	23.08
piece_id	Gesius_BefiehlDuDeineWege	156	33.97	28.85
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	108	32.41	14.81
piece_id	Jan_DuGrosserSchmerzensmann	141	29.79	21.99
piece_id	Telemann_DerLiebenSonneLichtUndPracht	144	27.08	18.06
piece_id	Vulpius_ChristusDerIstMeinLeben	123	37.4	22.76
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	165	27.88	30.3
is_nota_correct	0	1200	35.42	18.58
is_nota_correct	1	300	14.0	39.33
meta-question_id	1	150	24.0	22.67
meta-question_id	10	120	45.0	20.83
meta-question_id	11	120	19.17	15.0
meta-question_id	2	150	33.33	26.0
meta-question_id	3	150	32.0	19.33
meta-question_id	4	150	35.33	31.33
meta-question_id	5	150	34.67	22.0
meta-question_id	6	150	36.0	32.0
meta-question_id	7	150	38.67	20.67
meta-question_id	8	150	15.33	10.67
meta-question_id	9	60	26.67	35.0
category	harmony	300	31.0	21.33
category	pitch	600	31.17	24.83
category	rhythm	600	31.17	21.33
subcategory	harmonic-recognition	300	31.0	21.33
subcategory	interval-recognition	300	33.67	25.33
subcategory	pitch-recognition	300	28.67	24.33
subcategory	proportion-recognition	300	27.0	15.67
subcategory	rhythmic-recognition	300	35.33	27.0
skill	cadence recognition	120	19.17	15.0
skill	chord recognition	120	45.0	20.83
skill	interval recognition	150	32.0	19.33
skill	interval statistics	150	35.33	31.33
skill	note length	150	34.67	22.0
skill	note length statistics	150	36.0	32.0
skill	pitch recognition	150	24.0	22.67
skill	pitch statistics	150	33.33	26.0
skill	rhythm pattern	150	38.67	20.67
skill	rhythm pattern statistics	150	15.33	10.67
skill	tonality recognition	60	26.67	35.0
rel/abs	absolute	720	34.17	24.86
rel/abs	relative	780	28.33	20.77
specification	harmony-absolute	120	45.0	20.83
specification	harmony-relative	180	21.67	21.67
specification	pitch-absolute	300	28.67	24.33
specification	pitch-relative	300	33.67	25.33
specification	rhythm-absolute	300	35.33	27.0
specification	rhythm-relative	300	27.0	15.67
