Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	300	44.67	35.0	28.67	31.0	43.67	27.67	33.33	24.0	32.0	39.67	36.67
submodality	audio.mastermix.wav	100	36.0	32.0	29.0	24.0	37.0	31.0	31.0	23.0	35.0	31.0	35.0
submodality	symbolic.abc.txt	100	52.0	34.0	28.0	40.0	62.0	25.0	40.0	26.0	32.0	47.0	43.0
submodality	visual.short.png	100	46.0	39.0	29.0	29.0	32.0	27.0	29.0	23.0	29.0	41.0	32.0
piece_id	Anonymous_AusMeinesHerzensGrunde	27	29.63	25.93	11.11	14.81	37.04	25.93	18.52	18.52	11.11	22.22	37.04
piece_id	Bach_IchStehAnDeinerKrippe	33	60.61	48.48	30.3	36.36	36.36	24.24	33.33	30.3	30.3	39.39	45.45
piece_id	Crueger_AufAufMeinHerzMitFreuden	21	47.62	33.33	33.33	38.1	38.1	33.33	42.86	4.76	38.1	33.33	33.33
piece_id	Drese_JesuGehVoran	18	27.78	27.78	33.33	27.78	27.78	27.78	22.22	33.33	55.56	16.67	27.78
piece_id	Gesius_BefiehlDuDeineWege	39	35.9	30.77	28.21	33.33	51.28	38.46	33.33	30.77	41.03	43.59	41.03
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	18	50.0	61.11	44.44	33.33	55.56	27.78	61.11	38.89	50.0	55.56	38.89
piece_id	Jan_DuGrosserSchmerzensmann	48	39.58	27.08	29.17	35.42	37.5	22.92	29.17	18.75	29.17	37.5	31.25
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	55.56	51.85	40.74	29.63	48.15	11.11	33.33	25.93	33.33	48.15	40.74
piece_id	Vulpius_ChristusDerIstMeinLeben	33	57.58	33.33	27.27	33.33	60.61	36.36	30.3	24.24	27.27	48.48	39.39
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36	41.67	25.0	19.44	25.0	41.67	27.78	38.89	19.44	22.22	44.44	30.56
is_nota_correct	0	240	42.92	37.92	23.33	31.67	43.33	25.0	36.25	19.58	25.0	39.58	38.75
is_nota_correct	1	60	51.67	23.33	50.0	28.33	45.0	38.33	21.67	41.67	60.0	40.0	28.33
meta-question_id	1	30	30.0	26.67	20.0	26.67	43.33	33.33	23.33	26.67	23.33	36.67	30.0
meta-question_id	10	21	33.33	38.1	28.57	38.1	23.81	4.76	33.33	14.29	42.86	28.57	33.33
meta-question_id	11	18	44.44	5.56	11.11	5.56	33.33	33.33	22.22	5.56	22.22	16.67	11.11
meta-question_id	2	30	56.67	23.33	30.0	20.0	46.67	30.0	36.67	30.0	23.33	43.33	36.67
meta-question_id	3	30	20.0	36.67	13.33	13.33	23.33	20.0	30.0	13.33	16.67	26.67	30.0
meta-question_id	4	30	63.33	56.67	46.67	36.67	66.67	40.0	50.0	26.67	46.67	50.0	53.33
meta-question_id	5	30	60.0	43.33	30.0	46.67	46.67	20.0	26.67	30.0	23.33	56.67	40.0
meta-question_id	6	30	56.67	53.33	53.33	56.67	50.0	33.33	50.0	50.0	80.0	50.0	53.33
meta-question_id	7	30	33.33	30.0	20.0	26.67	43.33	13.33	36.67	20.0	20.0	30.0	33.33
meta-question_id	8	30	36.67	26.67	26.67	23.33	40.0	30.0	26.67	16.67	23.33	36.67	30.0
meta-question_id	9	21	57.14	33.33	28.57	42.86	57.14	47.62	23.81	19.05	28.57	52.38	42.86
category	harmony	60	45.0	26.67	23.33	30.0	38.33	28.33	26.67	13.33	31.67	33.33	30.0
category	pitch	120	42.5	35.83	27.5	24.17	45.0	30.83	35.0	24.17	27.5	39.17	37.5
category	rhythm	120	46.67	38.33	32.5	38.33	45.0	24.17	35.0	29.17	36.67	43.33	39.17
subcategory	harmonic-recognition	60	45.0	26.67	23.33	30.0	38.33	28.33	26.67	13.33	31.67	33.33	30.0
subcategory	interval-recognition	60	41.67	46.67	30.0	25.0	45.0	30.0	40.0	20.0	31.67	38.33	41.67
subcategory	pitch-recognition	60	43.33	25.0	25.0	23.33	45.0	31.67	30.0	28.33	23.33	40.0	33.33
