Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	45.07	33.07	28.53	34.27	34.53	25.47	27.47
submodality	audio.mastermix.wav	250	32.0	28.0	31.6	29.2	28.0	26.0	28.8
submodality	symbolic.abc.txt	250	58.8	36.0	26.0	44.0	42.0	20.8	26.0
submodality	visual.short.png	250	44.4	35.2	28.0	29.6	33.6	29.6	27.6
piece_id	Anonymous_AusMeinesHerzensGrunde	78	43.59	23.08	23.08	20.51	33.33	20.51	20.51
piece_id	Bach_IchStehAnDeinerKrippe	66	42.42	36.36	28.79	33.33	24.24	24.24	24.24
piece_id	Crueger_AufAufMeinHerzMitFreuden	93	40.86	27.96	21.51	32.26	32.26	23.66	16.13
piece_id	Drese_JesuGehVoran	60	35.0	31.67	25.0	25.0	21.67	31.67	28.33
piece_id	Gesius_BefiehlDuDeineWege	96	53.12	40.62	39.58	43.75	48.96	31.25	34.38
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	66	37.88	21.21	21.21	21.21	18.18	15.15	21.21
piece_id	Jan_DuGrosserSchmerzensmann	75	48.0	33.33	36.0	37.33	41.33	29.33	34.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	63	53.97	34.92	26.98	41.27	36.51	22.22	28.57
piece_id	Vulpius_ChristusDerIstMeinLeben	84	50.0	40.48	35.71	39.29	44.05	28.57	35.71
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	42.03	39.13	23.19	44.93	34.78	26.09	30.43
is_nota_correct	0	600	45.5	36.5	25.17	34.33	36.17	21.5	19.0
is_nota_correct	1	150	43.33	19.33	42.0	34.0	28.0	41.33	61.33
meta-question_id	1	75	37.33	26.67	17.33	25.33	30.67	20.0	21.33
meta-question_id	10	51	39.22	49.02	29.41	39.22	27.45	35.29	25.49
meta-question_id	11	48	25.0	31.25	31.25	35.42	31.25	22.92	39.58
meta-question_id	2	75	52.0	21.33	28.0	38.67	34.67	26.67	18.67
meta-question_id	3	75	36.0	30.67	22.67	25.33	18.67	14.67	28.0
meta-question_id	4	75	46.67	42.67	48.0	29.33	40.0	30.67	36.0
meta-question_id	5	75	72.0	45.33	33.33	57.33	26.67	18.67	26.67
meta-question_id	6	75	48.0	45.33	40.0	34.67	60.0	49.33	42.67
meta-question_id	7	75	42.67	25.33	26.67	32.0	29.33	24.0	28.0
meta-question_id	8	75	24.0	18.67	17.33	21.33	28.0	10.67	18.67
meta-question_id	9	51	72.55	31.37	17.65	43.14	56.86	31.37	17.65
category	harmony	150	46.0	37.33	26.0	39.33	38.67	30.0	27.33
category	pitch	300	43.0	30.33	29.0	29.67	31.0	23.0	26.0
category	rhythm	300	46.67	33.67	29.33	36.33	36.0	25.67	29.0
subcategory	harmonic-recognition	150	46.0	37.33	26.0	39.33	38.67	30.0	27.33
subcategory	interval-recognition	150	41.33	36.67	35.33	27.33	29.33	22.67	32.0
subcategory	pitch-recognition	150	44.67	24.0	22.67	32.0	32.67	23.33	20.0
subcategory	proportion-recognition	150	33.33	22.0	22.0	26.67	28.67	17.33	23.33
subcategory	rhythmic-recognition	150	60.0	45.33	36.67	46.0	43.33	34.0	34.67
skill	cadence recognition	48	25.0	31.25	31.25	35.42	31.25	22.92	39.58
skill	chord recognition	51	39.22	49.02	29.41	39.22	27.45	35.29	25.49
skill	interval recognition	75	36.0	30.67	22.67	25.33	18.67	14.67	28.0
skill	interval statistics	75	46.67	42.67	48.0	29.33	40.0	30.67	36.0
skill	note length	75	72.0	45.33	33.33	57.33	26.67	18.67	26.67
skill	note length statistics	75	48.0	45.33	40.0	34.67	60.0	49.33	42.67
skill	pitch recognition	75	37.33	26.67	17.33	25.33	30.67	20.0	21.33
skill	pitch statistics	75	52.0	21.33	28.0	38.67	34.67	26.67	18.67
skill	rhythm pattern	75	42.67	25.33	26.67	32.0	29.33	24.0	28.0
skill	rhythm pattern statistics	75	24.0	18.67	17.33	21.33	28.0	10.67	18.67
skill	tonality recognition	51	72.55	31.37	17.65	43.14	56.86	31.37	17.65
rel/abs	absolute	351	50.43	36.75	29.63	39.03	36.47	29.63	27.07
rel/abs	relative	399	40.35	29.82	27.57	30.08	32.83	21.8	27.82
specification	harmony-absolute	51	39.22	49.02	29.41	39.22	27.45	35.29	25.49
specification	harmony-relative	99	49.49	31.31	24.24	39.39	44.44	27.27	28.28
specification	pitch-absolute	150	44.67	24.0	22.67	32.0	32.67	23.33	20.0
specification	pitch-relative	150	41.33	36.67	35.33	27.33	29.33	22.67	32.0
specification	rhythm-absolute	150	60.0	45.33	36.67	46.0	43.33	34.0	34.67
specification	rhythm-relative	150	33.33	22.0	22.0	26.67	28.67	17.33	23.33
