Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	45.47	32.8	39.6	36.0
submodality	audio.mastermix.wav	250	34.4	29.6	29.2	31.6
submodality	symbolic.abc.txt	250	58.0	42.0	56.4	42.0
submodality	visual.short.png	250	44.0	26.8	33.2	34.4
piece_id	Anonymous_AusMeinesHerzensGrunde	78	32.05	21.79	41.03	26.92
piece_id	Bach_IchStehAnDeinerKrippe	75	33.33	26.67	28.0	29.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	81	53.09	32.1	43.21	29.63
piece_id	Drese_JesuGehVoran	81	48.15	39.51	37.04	38.27
piece_id	Gesius_BefiehlDuDeineWege	72	43.06	29.17	40.28	34.72
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	75	54.67	40.0	38.67	48.0
piece_id	Jan_DuGrosserSchmerzensmann	75	42.67	21.33	29.33	30.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	69	53.62	50.72	42.03	53.62
piece_id	Vulpius_ChristusDerIstMeinLeben	72	45.83	31.94	45.83	37.5
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	72	48.61	36.11	51.39	33.33
is_nota_correct	0	600	44.0	32.5	38.33	38.17
is_nota_correct	1	150	51.33	34.0	44.67	27.33
meta-question_id	1	75	41.33	28.0	36.0	25.33
meta-question_id	10	51	33.33	25.49	23.53	29.41
meta-question_id	11	48	29.17	22.92	29.17	25.0
meta-question_id	2	75	50.67	25.33	41.33	30.67
meta-question_id	3	75	40.0	22.67	34.67	25.33
meta-question_id	4	75	61.33	42.67	44.0	49.33
meta-question_id	5	75	52.0	50.67	46.67	34.67
meta-question_id	6	75	50.67	40.0	61.33	53.33
meta-question_id	7	75	41.33	44.0	37.33	36.0
meta-question_id	8	75	26.67	13.33	21.33	21.33
meta-question_id	9	51	72.55	43.14	56.86	70.59
category	harmony	150	45.33	30.67	36.67	42.0
category	pitch	300	48.33	29.67	39.0	32.67
category	rhythm	300	42.67	37.0	41.67	36.33
subcategory	harmonic-recognition	150	45.33	30.67	36.67	42.0
subcategory	interval-recognition	150	50.67	32.67	39.33	37.33
subcategory	pitch-recognition	150	46.0	26.67	38.67	28.0
subcategory	proportion-recognition	150	34.0	28.67	29.33	28.67
subcategory	rhythmic-recognition	150	51.33	45.33	54.0	44.0
skill	cadence recognition	48	29.17	22.92	29.17	25.0
skill	chord recognition	51	33.33	25.49	23.53	29.41
skill	interval recognition	75	40.0	22.67	34.67	25.33
skill	interval statistics	75	61.33	42.67	44.0	49.33
skill	note length	75	52.0	50.67	46.67	34.67
skill	note length statistics	75	50.67	40.0	61.33	53.33
skill	pitch recognition	75	41.33	28.0	36.0	25.33
skill	pitch statistics	75	50.67	25.33	41.33	30.67
skill	rhythm pattern	75	41.33	44.0	37.33	36.0
skill	rhythm pattern statistics	75	26.67	13.33	21.33	21.33
skill	tonality recognition	51	72.55	43.14	56.86	70.59
rel/abs	absolute	351	46.44	34.47	43.02	35.04
rel/abs	relative	399	44.61	31.33	36.59	36.84
specification	harmony-absolute	51	33.33	25.49	23.53	29.41
specification	harmony-relative	99	51.52	33.33	43.43	48.48
specification	pitch-absolute	150	46.0	26.67	38.67	28.0
specification	pitch-relative	150	50.67	32.67	39.33	37.33
specification	rhythm-absolute	150	51.33	45.33	54.0	44.0
specification	rhythm-relative	150	34.0	28.67	29.33	28.67
