Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	150	46.67	27.33	38.0	33.33	42.0	32.67
submodality	audio.mastermix.wav	50	38.0	26.0	24.0	32.0	30.0	24.0
submodality	symbolic.abc.txt	50	52.0	30.0	52.0	38.0	52.0	42.0
submodality	visual.short.png	50	50.0	26.0	38.0	30.0	44.0	32.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	46.67	33.33	46.67	33.33	66.67	40.0
piece_id	Bach_IchStehAnDeinerKrippe	18	44.44	27.78	44.44	27.78	38.89	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	50.0	16.67	41.67	16.67	16.67	16.67
piece_id	Drese_JesuGehVoran	18	44.44	5.56	27.78	44.44	33.33	5.56
piece_id	Gesius_BefiehlDuDeineWege	18	55.56	33.33	27.78	33.33	61.11	16.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	13.33	20.0	40.0	6.67	26.67	46.67
piece_id	Jan_DuGrosserSchmerzensmann	15	40.0	40.0	20.0	13.33	20.0	13.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	55.56	33.33	44.44	55.56	55.56	66.67
piece_id	Vulpius_ChristusDerIstMeinLeben	9	77.78	33.33	55.56	66.67	55.56	77.78
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	21	52.38	33.33	42.86	47.62	47.62	42.86
is_nota_correct	0	120	48.33	28.33	40.0	36.67	47.5	36.67
is_nota_correct	1	30	40.0	23.33	30.0	20.0	20.0	16.67
meta-question_id	1	15	20.0	13.33	33.33	26.67	13.33	26.67
meta-question_id	10	9	88.89	33.33	33.33	44.44	33.33	77.78
meta-question_id	11	9	11.11	11.11	0.0	22.22	33.33	0.0
meta-question_id	2	15	40.0	20.0	46.67	13.33	40.0	26.67
meta-question_id	3	15	33.33	13.33	13.33	13.33	46.67	6.67
meta-question_id	4	15	60.0	6.67	33.33	46.67	53.33	60.0
meta-question_id	5	15	53.33	46.67	66.67	33.33	46.67	46.67
meta-question_id	6	15	53.33	53.33	60.0	53.33	53.33	40.0
meta-question_id	7	15	60.0	46.67	53.33	46.67	60.0	26.67
meta-question_id	8	15	40.0	26.67	33.33	26.67	26.67	33.33
meta-question_id	9	12	58.33	25.0	25.0	41.67	50.0	16.67
category	harmony	30	53.33	23.33	20.0	36.67	40.0	30.0
category	pitch	60	38.33	13.33	31.67	25.0	38.33	30.0
category	rhythm	60	51.67	43.33	53.33	40.0	46.67	36.67
subcategory	harmonic-recognition	30	53.33	23.33	20.0	36.67	40.0	30.0
subcategory	interval-recognition	30	46.67	10.0	23.33	30.0	50.0	33.33
subcategory	pitch-recognition	30	30.0	16.67	40.0	20.0	26.67	26.67
subcategory	proportion-recognition	30	50.0	36.67	43.33	36.67	43.33	30.0
subcategory	rhythmic-recognition	30	53.33	50.0	63.33	43.33	50.0	43.33
skill	cadence recognition	9	11.11	11.11	0.0	22.22	33.33	0.0
skill	chord recognition	9	88.89	33.33	33.33	44.44	33.33	77.78
skill	interval recognition	15	33.33	13.33	13.33	13.33	46.67	6.67
skill	interval statistics	15	60.0	6.67	33.33	46.67	53.33	60.0
skill	note length	15	53.33	46.67	66.67	33.33	46.67	46.67
skill	note length statistics	15	53.33	53.33	60.0	53.33	53.33	40.0
skill	pitch recognition	15	20.0	13.33	33.33	26.67	13.33	26.67
skill	pitch statistics	15	40.0	20.0	46.67	13.33	40.0	26.67
skill	rhythm pattern	15	60.0	46.67	53.33	46.67	60.0	26.67
skill	rhythm pattern statistics	15	40.0	26.67	33.33	26.67	26.67	33.33
skill	tonality recognition	12	58.33	25.0	25.0	41.67	50.0	16.67
rel/abs	absolute	69	47.83	33.33	49.28	33.33	37.68	40.58
rel/abs	relative	81	45.68	22.22	28.4	33.33	45.68	25.93
specification	harmony-absolute	9	88.89	33.33	33.33	44.44	33.33	77.78
specification	harmony-relative	21	38.1	19.05	14.29	33.33	42.86	9.52
specification	pitch-absolute	30	30.0	16.67	40.0	20.0	26.67	26.67
specification	pitch-relative	30	46.67	10.0	23.33	30.0	50.0	33.33
specification	rhythm-absolute	30	53.33	50.0	63.33	43.33	50.0	43.33
specification	rhythm-relative	30	50.0	36.67	43.33	36.67	43.33	30.0
