Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	75	56.0	33.33	28.0	40.0	40.0	16.0	26.67	18.67	26.67	44.0	41.33
submodality	audio.mastermix.wav	25	56.0	40.0	52.0	28.0	40.0	12.0	24.0	16.0	36.0	20.0	40.0
submodality	symbolic.abc.txt	25	68.0	28.0	16.0	68.0	60.0	20.0	44.0	28.0	24.0	68.0	48.0
submodality	visual.short.png	25	44.0	32.0	16.0	24.0	20.0	16.0	12.0	12.0	20.0	44.0	36.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	53.33	40.0	26.67	53.33	26.67	13.33	33.33	33.33	20.0	53.33	46.67
piece_id	Bach_IchStehAnDeinerKrippe	6	16.67	0.0	33.33	33.33	66.67	16.67	16.67	16.67	16.67	16.67	16.67
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	44.44	22.22	11.11	22.22	0.0	11.11	22.22	11.11	0.0	22.22	22.22
piece_id	Gesius_BefiehlDuDeineWege	12	83.33	50.0	25.0	41.67	83.33	25.0	66.67	33.33	41.67	50.0	83.33
piece_id	Jan_DuGrosserSchmerzensmann	12	66.67	25.0	33.33	41.67	33.33	8.33	16.67	16.67	33.33	58.33	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	33.33	50.0	16.67	50.0	66.67	16.67	0.0	16.67	33.33	50.0	16.67
piece_id	Vulpius_ChristusDerIstMeinLeben	3	33.33	33.33	66.67	33.33	66.67	0.0	33.33	0.0	66.67	33.33	66.67
