Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	47.47	35.33	37.07	36.53
submodality	audio.mastermix.wav	250	37.2	29.6	28.8	30.4
submodality	symbolic.abc.txt	250	59.6	47.6	52.4	46.8
submodality	visual.short.png	250	45.6	28.8	30.0	32.4
piece_id	Anonymous_AusMeinesHerzensGrunde	72	41.67	31.94	29.17	29.17
piece_id	Bach_IchStehAnDeinerKrippe	99	40.4	33.33	30.3	36.36
piece_id	Crueger_AufAufMeinHerzMitFreuden	72	41.67	23.61	37.5	27.78
piece_id	Drese_JesuGehVoran	75	45.33	34.67	25.33	40.0
piece_id	Gesius_BefiehlDuDeineWege	72	59.72	30.56	38.89	38.89
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	54	40.74	31.48	37.04	44.44
piece_id	Jan_DuGrosserSchmerzensmann	66	34.85	27.27	21.21	27.27
piece_id	Telemann_DerLiebenSonneLichtUndPracht	81	58.02	54.32	55.56	41.98
piece_id	Vulpius_ChristusDerIstMeinLeben	90	56.67	46.67	51.11	42.22
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	52.17	33.33	40.58	36.23
is_nota_correct	0	600	46.67	35.0	35.33	38.17
is_nota_correct	1	150	50.67	36.67	44.0	30.0
meta-question_id	1	75	32.0	22.67	36.0	32.0
meta-question_id	10	51	54.9	43.14	35.29	47.06
meta-question_id	11	48	29.17	25.0	27.08	16.67
meta-question_id	2	75	49.33	38.67	37.33	30.67
meta-question_id	3	75	44.0	22.67	32.0	36.0
meta-question_id	4	75	61.33	32.0	36.0	48.0
meta-question_id	5	75	65.33	58.67	50.67	41.33
meta-question_id	6	75	49.33	41.33	48.0	54.67
meta-question_id	7	75	50.67	42.67	42.67	40.0
meta-question_id	8	75	18.67	20.0	18.67	9.33
meta-question_id	9	51	70.59	43.14	41.18	45.1
category	harmony	150	52.0	37.33	34.67	36.67
category	pitch	300	46.67	29.0	35.33	36.67
category	rhythm	300	46.0	40.67	40.0	36.33
subcategory	harmonic-recognition	150	52.0	37.33	34.67	36.67
subcategory	interval-recognition	150	52.67	27.33	34.0	42.0
subcategory	pitch-recognition	150	40.67	30.67	36.67	31.33
subcategory	proportion-recognition	150	34.67	31.33	30.67	24.67
subcategory	rhythmic-recognition	150	57.33	50.0	49.33	48.0
skill	cadence recognition	48	29.17	25.0	27.08	16.67
skill	chord recognition	51	54.9	43.14	35.29	47.06
skill	interval recognition	75	44.0	22.67	32.0	36.0
skill	interval statistics	75	61.33	32.0	36.0	48.0
skill	note length	75	65.33	58.67	50.67	41.33
skill	note length statistics	75	49.33	41.33	48.0	54.67
skill	pitch recognition	75	32.0	22.67	36.0	32.0
skill	pitch statistics	75	49.33	38.67	37.33	30.67
skill	rhythm pattern	75	50.67	42.67	42.67	40.0
skill	rhythm pattern statistics	75	18.67	20.0	18.67	9.33
skill	tonality recognition	51	70.59	43.14	41.18	45.1
rel/abs	absolute	351	49.86	40.74	41.88	40.74
rel/abs	relative	399	45.36	30.58	32.83	32.83
specification	harmony-absolute	51	54.9	43.14	35.29	47.06
specification	harmony-relative	99	50.51	34.34	34.34	31.31
specification	pitch-absolute	150	40.67	30.67	36.67	31.33
specification	pitch-relative	150	52.67	27.33	34.0	42.0
specification	rhythm-absolute	150	57.33	50.0	49.33	48.0
specification	rhythm-relative	150	34.67	31.33	30.67	24.67
