Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	47.47	0.0	0.0	2598.27	0.745747	35.33	5.98	0.0	6360.45	1.207858	37.07	0.0	0.0	16052.48	0.0	36.53	0.0	0.0	2470.85	0.1054
submodality	audio.mastermix.wav	250	37.2	0.0	0.0	806.47	0.179575	29.6	0.0	0.0	1930.99	1.082852	28.8	0.0	0.0	3000.64	0.0	30.4	0.0	0.0	1009.65	0.026126
submodality	symbolic.abc.txt	250	59.6	0.0	0.0	885.68	0.289368	47.6	0.0	0.0	1434.69	0.050715	52.4	0.0	0.0	8957.12	0.0	46.8	0.0	0.0	822.76	0.04444
submodality	visual.short.png	250	45.6	0.0	0.0	906.12	0.276804	28.8	16.29	0.0	2994.77	0.074291	30.0	0.0	0.0	4094.73	0.0	32.4	0.0	0.0	638.44	0.034834
piece_id	Anonymous_AusMeinesHerzensGrunde	72	41.67	0.0	0.0	268.92	0.080756	31.94	4.08	0.0	703.36	0.156299	29.17	0.0	0.0	1729.74	0.0	29.17	0.0	0.0	252.28	0.011712
piece_id	Bach_IchStehAnDeinerKrippe	99	40.4	0.0	0.0	358.98	0.101038	33.33	3.03	0.0	923.17	0.174637	30.3	0.0	0.0	2268.12	0.0	36.36	0.0	0.0	310.17	0.01416
piece_id	Crueger_AufAufMeinHerzMitFreuden	72	41.67	0.0	0.0	275.89	0.076057	23.61	3.64	0.0	678.14	0.139495	37.5	0.0	0.0	1983.17	0.0	27.78	0.0	0.0	272.81	0.011144
piece_id	Drese_JesuGehVoran	75	45.33	0.0	0.0	244.12	0.069611	34.67	8.16	0.0	571.56	0.097127	25.33	0.0	0.0	1560.48	0.0	40.0	0.0	0.0	275.72	0.010325
piece_id	Gesius_BefiehlDuDeineWege	72	59.72	0.0	0.0	251.39	0.074142	30.56	4.0	0.0	486.91	0.121427	38.89	0.0	0.0	1631.22	0.0	38.89	0.0	0.0	218.36	0.009603
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	54	40.74	0.0	0.0	179.51	0.052016	31.48	8.11	0.0	549.21	0.076964	37.04	0.0	0.0	974.65	0.0	44.44	0.0	0.0	168.57	0.007656
piece_id	Jan_DuGrosserSchmerzensmann	66	34.85	0.0	0.0	222.37	0.066667	27.27	2.08	0.0	562.04	0.108245	21.21	0.0	0.0	1537.17	0.0	27.27	0.0	0.0	213.2	0.009824
piece_id	Telemann_DerLiebenSonneLichtUndPracht	81	58.02	0.0	0.0	279.06	0.087672	54.32	18.92	0.0	630.67	0.177092	55.56	0.0	0.0	1401.75	0.0	41.98	0.0	0.0	262.3	0.011535
piece_id	Vulpius_ChristusDerIstMeinLeben	90	56.67	0.0	0.0	288.45	0.081084	46.67	8.33	0.0	677.4	0.101488	51.11	0.0	0.0	1793.62	0.0	42.22	0.0	0.0	259.26	0.010778
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	52.17	0.0	0.0	229.58	0.056703	33.33	4.35	0.0	577.99	0.055085	40.58	0.0	0.0	1172.56	0.0	36.23	0.0	0.0	238.19	0.008663
is_nota_correct	0	600	46.67	0.0	0.0	2083.44	0.595462	35.0	5.38	0.0	5270.74	0.960723	35.33	0.0	0.0	12138.35	0.0	38.17	0.0	0.0	1971.46	0.083659
is_nota_correct	1	150	50.67	0.0	0.0	514.83	0.150285	36.67	8.42	0.0	1089.71	0.247135	44.0	0.0	0.0	3914.14	0.0	30.0	0.0	0.0	499.4	0.021741
meta-question_id	1	75	32.0	0.0	0.0	260.94	0.075508	22.67	0.0	0.0	372.28	0.111869	36.0	0.0	0.0	1364.7	0.0	32.0	0.0	0.0	241.22	0.009428
meta-question_id	10	51	54.9	0.0	0.0	175.8	0.045609	43.14	3.45	0.0	216.55	0.073991	35.29	0.0	0.0	1029.87	0.0	47.06	0.0	0.0	155.69	0.006239
meta-question_id	11	48	29.17	0.0	0.0	158.92	0.047463	25.0	5.56	0.0	281.99	0.079416	27.08	0.0	0.0	1296.82	0.0	16.67	0.0	0.0	166.19	0.006694
