Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	34.67	25.0	23.0
submodality	audio.mastermix.wav	100	35.0	27.0	22.0
submodality	symbolic.abc.txt	100	39.0	19.0	23.0
submodality	visual.short.png	100	30.0	29.0	24.0
piece_id	Anonymous_AusMeinesHerzensGrunde	45	33.33	26.67	26.67
piece_id	Bach_IchStehAnDeinerKrippe	39	28.21	15.38	20.51
piece_id	Crueger_AufAufMeinHerzMitFreuden	21	42.86	57.14	23.81
piece_id	Drese_JesuGehVoran	21	38.1	28.57	23.81
piece_id	Gesius_BefiehlDuDeineWege	33	36.36	15.15	24.24
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	12	25.0	16.67	8.33
piece_id	Jan_DuGrosserSchmerzensmann	39	35.9	23.08	23.08
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	22.22	14.81	14.81
piece_id	Vulpius_ChristusDerIstMeinLeben	18	55.56	27.78	38.89
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	45	35.56	31.11	22.22
is_nota_correct	0	240	37.92	22.5	20.83
is_nota_correct	1	60	21.67	35.0	31.67
meta-question_id	1	30	16.67	10.0	16.67
meta-question_id	10	21	42.86	19.05	14.29
meta-question_id	11	18	55.56	38.89	22.22
meta-question_id	2	30	40.0	23.33	20.0
meta-question_id	3	30	20.0	20.0	26.67
meta-question_id	4	30	46.67	46.67	23.33
meta-question_id	5	30	36.67	10.0	13.33
meta-question_id	6	30	23.33	43.33	43.33
meta-question_id	7	30	46.67	33.33	30.0
meta-question_id	8	30	30.0	10.0	13.33
meta-question_id	9	21	33.33	23.81	28.57
category	harmony	60	43.33	26.67	21.67
category	pitch	120	30.83	25.0	21.67
category	rhythm	120	34.17	24.17	25.0
subcategory	harmonic-recognition	60	43.33	26.67	21.67
subcategory	interval-recognition	60	33.33	33.33	25.0
subcategory	pitch-recognition	60	28.33	16.67	18.33
subcategory	proportion-recognition	60	38.33	21.67	21.67
subcategory	rhythmic-recognition	60	30.0	26.67	28.33
skill	cadence recognition	18	55.56	38.89	22.22
skill	chord recognition	21	42.86	19.05	14.29
skill	interval recognition	30	20.0	20.0	26.67
skill	interval statistics	30	46.67	46.67	23.33
skill	note length	30	36.67	10.0	13.33
skill	note length statistics	30	23.33	43.33	43.33
skill	pitch recognition	30	16.67	10.0	16.67
skill	pitch statistics	30	40.0	23.33	20.0
skill	rhythm pattern	30	46.67	33.33	30.0
skill	rhythm pattern statistics	30	30.0	10.0	13.33
skill	tonality recognition	21	33.33	23.81	28.57
rel/abs	absolute	141	31.21	21.28	21.99
rel/abs	relative	159	37.74	28.3	23.9
specification	harmony-absolute	21	42.86	19.05	14.29
specification	harmony-relative	39	43.59	30.77	25.64
specification	pitch-absolute	60	28.33	16.67	18.33
specification	pitch-relative	60	33.33	33.33	25.0
specification	rhythm-absolute	60	30.0	26.67	28.33
specification	rhythm-relative	60	38.33	21.67	21.67
