Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	150	45.33	25.33	22.0	30.67	35.33	21.33	28.67	19.33	23.33	30.67	30.67
submodality	audio.mastermix.wav	50	32.0	18.0	26.0	18.0	26.0	26.0	28.0	26.0	20.0	26.0	30.0
submodality	symbolic.abc.txt	50	60.0	24.0	16.0	40.0	60.0	16.0	38.0	22.0	28.0	42.0	42.0
submodality	visual.short.png	50	44.0	34.0	24.0	34.0	20.0	22.0	20.0	10.0	22.0	24.0	20.0
piece_id	Anonymous_AusMeinesHerzensGrunde	12	33.33	25.0	25.0	16.67	33.33	25.0	41.67	16.67	25.0	25.0	33.33
piece_id	Bach_IchStehAnDeinerKrippe	18	38.89	33.33	22.22	38.89	33.33	22.22	27.78	27.78	33.33	38.89	27.78
piece_id	Crueger_AufAufMeinHerzMitFreuden	24	58.33	12.5	20.83	16.67	54.17	29.17	12.5	12.5	29.17	25.0	29.17
piece_id	Drese_JesuGehVoran	6	50.0	50.0	50.0	33.33	50.0	50.0	50.0	16.67	33.33	50.0	83.33
piece_id	Gesius_BefiehlDuDeineWege	24	50.0	33.33	16.67	45.83	37.5	20.83	41.67	16.67	25.0	33.33	37.5
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	46.67	13.33	20.0	53.33	40.0	6.67	40.0	33.33	33.33	26.67	33.33
piece_id	Jan_DuGrosserSchmerzensmann	15	60.0	20.0	26.67	33.33	20.0	13.33	26.67	20.0	13.33	40.0	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	41.67	25.0	25.0	41.67	16.67	25.0	16.67	8.33	16.67	33.33	8.33
piece_id	Vulpius_ChristusDerIstMeinLeben	15	26.67	26.67	20.0	13.33	26.67	13.33	20.0	20.0	6.67	26.67	20.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	33.33	33.33	11.11	0.0	33.33	22.22	22.22	22.22	11.11	11.11	22.22
is_nota_correct	0	120	45.0	28.33	20.0	28.33	30.83	15.0	30.0	13.33	17.5	34.17	32.5
is_nota_correct	1	30	46.67	13.33	30.0	40.0	53.33	46.67	23.33	43.33	46.67	16.67	23.33
meta-question_id	1	15	40.0	0.0	6.67	20.0	33.33	20.0	13.33	13.33	6.67	13.33	13.33
meta-question_id	10	9	55.56	33.33	33.33	22.22	11.11	22.22	44.44	11.11	33.33	11.11	11.11
meta-question_id	11	9	11.11	11.11	0.0	22.22	11.11	0.0	0.0	11.11	0.0	11.11	22.22
meta-question_id	2	15	73.33	26.67	46.67	20.0	53.33	20.0	46.67	26.67	46.67	33.33	53.33
meta-question_id	3	15	53.33	33.33	20.0	26.67	13.33	40.0	13.33	13.33	20.0	53.33	26.67
meta-question_id	4	15	73.33	40.0	46.67	26.67	46.67	20.0	40.0	6.67	40.0	33.33	46.67
meta-question_id	5	15	60.0	40.0	26.67	46.67	53.33	20.0	40.0	40.0	6.67	46.67	40.0
meta-question_id	6	15	20.0	6.67	6.67	26.67	26.67	20.0	33.33	33.33	20.0	26.67	33.33
meta-question_id	7	15	33.33	20.0	13.33	60.0	40.0	20.0	20.0	26.67	20.0	40.0	20.0
meta-question_id	8	15	33.33	26.67	13.33	20.0	26.67	20.0	26.67	6.67	26.67	33.33	20.0
meta-question_id	9	12	33.33	41.67	25.0	41.67	58.33	25.0	33.33	16.67	33.33	16.67	41.67
category	harmony	30	33.33	30.0	20.0	30.0	30.0	16.67	26.67	13.33	23.33	13.33	26.67
category	pitch	60	60.0	25.0	30.0	23.33	36.67	25.0	28.33	15.0	28.33	33.33	35.0
category	rhythm	60	36.67	23.33	15.0	38.33	36.67	20.0	30.0	26.67	18.33	36.67	28.33
subcategory	harmonic-recognition	30	33.33	30.0	20.0	30.0	30.0	16.67	26.67	13.33	23.33	13.33	26.67
subcategory	interval-recognition	30	63.33	36.67	33.33	26.67	30.0	30.0	26.67	10.0	30.0	43.33	36.67
subcategory	pitch-recognition	30	56.67	13.33	26.67	20.0	43.33	20.0	30.0	20.0	26.67	23.33	33.33
subcategory	proportion-recognition	30	33.33	23.33	13.33	40.0	33.33	20.0	23.33	16.67	23.33	36.67	20.0
subcategory	rhythmic-recognition	30	40.0	23.33	16.67	36.67	40.0	20.0	36.67	36.67	13.33	36.67	36.67
skill	cadence recognition	9	11.11	11.11	0.0	22.22	11.11	0.0	0.0	11.11	0.0	11.11	22.22
skill	chord recognition	9	55.56	33.33	33.33	22.22	11.11	22.22	44.44	11.11	33.33	11.11	11.11
skill	interval recognition	15	53.33	33.33	20.0	26.67	13.33	40.0	13.33	13.33	20.0	53.33	26.67
skill	interval statistics	15	73.33	40.0	46.67	26.67	46.67	20.0	40.0	6.67	40.0	33.33	46.67
skill	note length	15	60.0	40.0	26.67	46.67	53.33	20.0	40.0	40.0	6.67	46.67	40.0
skill	note length statistics	15	20.0	6.67	6.67	26.67	26.67	20.0	33.33	33.33	20.0	26.67	33.33
skill	pitch recognition	15	40.0	0.0	6.67	20.0	33.33	20.0	13.33	13.33	6.67	13.33	13.33
skill	pitch statistics	15	73.33	26.67	46.67	20.0	53.33	20.0	46.67	26.67	46.67	33.33	53.33
skill	rhythm pattern	15	33.33	20.0	13.33	60.0	40.0	20.0	20.0	26.67	20.0	40.0	20.0
skill	rhythm pattern statistics	15	33.33	26.67	13.33	20.0	26.67	20.0	26.67	6.67	26.67	33.33	20.0
skill	tonality recognition	12	33.33	41.67	25.0	41.67	58.33	25.0	33.33	16.67	33.33	16.67	41.67
rel/abs	absolute	69	49.28	20.29	23.19	27.54	37.68	20.29	34.78	26.09	21.74	27.54	31.88
rel/abs	relative	81	41.98	29.63	20.99	33.33	33.33	22.22	23.46	13.58	24.69	33.33	29.63
specification	harmony-absolute	9	55.56	33.33	33.33	22.22	11.11	22.22	44.44	11.11	33.33	11.11	11.11
specification	harmony-relative	21	23.81	28.57	14.29	33.33	38.1	14.29	19.05	14.29	19.05	14.29	33.33
specification	pitch-absolute	30	56.67	13.33	26.67	20.0	43.33	20.0	30.0	20.0	26.67	23.33	33.33
specification	pitch-relative	30	63.33	36.67	33.33	26.67	30.0	30.0	26.67	10.0	30.0	43.33	36.67
specification	rhythm-absolute	30	40.0	23.33	16.67	36.67	40.0	20.0	36.67	36.67	13.33	36.67	36.67
specification	rhythm-relative	30	33.33	23.33	13.33	40.0	33.33	20.0	23.33	16.67	23.33	36.67	20.0
