Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	36.33	25.67	24.0
submodality	audio.mastermix.wav	100	35.0	25.0	23.0
submodality	symbolic.abc.txt	100	37.0	23.0	26.0
submodality	visual.short.png	100	37.0	29.0	23.0
piece_id	Anonymous_AusMeinesHerzensGrunde	33	33.33	24.24	18.18
piece_id	Bach_IchStehAnDeinerKrippe	42	38.1	26.19	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	30.0	23.33	20.0
piece_id	Drese_JesuGehVoran	30	33.33	23.33	30.0
piece_id	Gesius_BefiehlDuDeineWege	30	30.0	13.33	20.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	40.0	0.0	0.0
piece_id	Jan_DuGrosserSchmerzensmann	33	42.42	21.21	21.21
piece_id	Telemann_DerLiebenSonneLichtUndPracht	36	47.22	36.11	25.0
piece_id	Vulpius_ChristusDerIstMeinLeben	24	41.67	29.17	29.17
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	27	25.93	48.15	29.63
is_nota_correct	0	240	43.33	22.5	19.17
is_nota_correct	1	60	8.33	38.33	43.33
meta-question_id	1	30	43.33	23.33	20.0
meta-question_id	10	21	33.33	19.05	38.1
meta-question_id	11	18	33.33	27.78	27.78
meta-question_id	2	30	20.0	23.33	30.0
meta-question_id	3	30	30.0	6.67	3.33
meta-question_id	4	30	46.67	33.33	30.0
meta-question_id	5	30	30.0	26.67	16.67
meta-question_id	6	30	56.67	50.0	40.0
meta-question_id	7	30	40.0	13.33	33.33
meta-question_id	8	30	23.33	3.33	6.67
meta-question_id	9	21	42.86	66.67	23.81
category	harmony	60	36.67	38.33	30.0
category	pitch	120	35.0	21.67	20.83
category	rhythm	120	37.5	23.33	24.17
subcategory	harmonic-recognition	60	36.67	38.33	30.0
subcategory	interval-recognition	60	38.33	20.0	16.67
subcategory	pitch-recognition	60	31.67	23.33	25.0
subcategory	proportion-recognition	60	31.67	8.33	20.0
subcategory	rhythmic-recognition	60	43.33	38.33	28.33
skill	cadence recognition	18	33.33	27.78	27.78
skill	chord recognition	21	33.33	19.05	38.1
skill	interval recognition	30	30.0	6.67	3.33
skill	interval statistics	30	46.67	33.33	30.0
skill	note length	30	30.0	26.67	16.67
skill	note length statistics	30	56.67	50.0	40.0
skill	pitch recognition	30	43.33	23.33	20.0
skill	pitch statistics	30	20.0	23.33	30.0
skill	rhythm pattern	30	40.0	13.33	33.33
skill	rhythm pattern statistics	30	23.33	3.33	6.67
skill	tonality recognition	21	42.86	66.67	23.81
rel/abs	absolute	141	36.88	29.08	28.37
rel/abs	relative	159	35.85	22.64	20.13
specification	harmony-absolute	21	33.33	19.05	38.1
specification	harmony-relative	39	38.46	48.72	25.64
specification	pitch-absolute	60	31.67	23.33	25.0
specification	pitch-relative	60	38.33	20.0	16.67
specification	rhythm-absolute	60	43.33	38.33	28.33
specification	rhythm-relative	60	31.67	8.33	20.0
