Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	44.33	32.0	38.0	38.33	34.67	33.33
submodality	audio.mastermix.wav	100	28.0	31.0	29.0	32.0	26.0	32.0
submodality	symbolic.abc.txt	100	59.0	43.0	55.0	47.0	45.0	41.0
submodality	visual.short.png	100	46.0	22.0	30.0	36.0	33.0	27.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	53.33	53.33	53.33	40.0	40.0	46.67
piece_id	Bach_IchStehAnDeinerKrippe	21	61.9	42.86	38.1	47.62	38.1	38.1
piece_id	Crueger_AufAufMeinHerzMitFreuden	42	52.38	30.95	64.29	47.62	40.48	42.86
piece_id	Drese_JesuGehVoran	27	40.74	0.0	37.04	18.52	33.33	33.33
piece_id	Gesius_BefiehlDuDeineWege	39	35.9	35.9	33.33	33.33	25.64	23.08
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	36	33.33	30.56	27.78	44.44	41.67	36.11
piece_id	Jan_DuGrosserSchmerzensmann	30	50.0	33.33	26.67	40.0	30.0	23.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	33	33.33	24.24	27.27	39.39	33.33	27.27
piece_id	Vulpius_ChristusDerIstMeinLeben	18	72.22	38.89	38.89	38.89	44.44	44.44
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	39	35.9	41.03	35.9	33.33	28.21	30.77
is_nota_correct	0	240	46.25	32.08	39.17	42.5	39.17	35.83
is_nota_correct	1	60	36.67	31.67	33.33	21.67	16.67	23.33
meta-question_id	1	30	26.67	16.67	30.0	36.67	20.0	20.0
meta-question_id	10	21	52.38	28.57	19.05	38.1	33.33	19.05
meta-question_id	11	18	27.78	33.33	27.78	16.67	27.78	33.33
meta-question_id	2	30	50.0	26.67	30.0	36.67	33.33	30.0
meta-question_id	3	30	20.0	33.33	26.67	33.33	16.67	6.67
meta-question_id	4	30	56.67	36.67	50.0	60.0	46.67	63.33
meta-question_id	5	30	76.67	46.67	50.0	33.33	43.33	46.67
meta-question_id	6	30	50.0	43.33	63.33	46.67	46.67	53.33
meta-question_id	7	30	46.67	43.33	33.33	46.67	46.67	33.33
meta-question_id	8	30	13.33	10.0	10.0	13.33	23.33	10.0
meta-question_id	9	21	71.43	33.33	80.95	57.14	42.86	52.38
category	harmony	60	51.67	31.67	43.33	38.33	35.0	35.0
category	pitch	120	38.33	28.33	34.17	41.67	29.17	30.0
category	rhythm	120	46.67	35.83	39.17	35.0	40.0	35.83
subcategory	harmonic-recognition	60	51.67	31.67	43.33	38.33	35.0	35.0
subcategory	interval-recognition	60	38.33	35.0	38.33	46.67	31.67	35.0
subcategory	pitch-recognition	60	38.33	21.67	30.0	36.67	26.67	25.0
subcategory	proportion-recognition	60	30.0	26.67	21.67	30.0	35.0	21.67
subcategory	rhythmic-recognition	60	63.33	45.0	56.67	40.0	45.0	50.0
skill	cadence recognition	18	27.78	33.33	27.78	16.67	27.78	33.33
skill	chord recognition	21	52.38	28.57	19.05	38.1	33.33	19.05
skill	interval recognition	30	20.0	33.33	26.67	33.33	16.67	6.67
skill	interval statistics	30	56.67	36.67	50.0	60.0	46.67	63.33
skill	note length	30	76.67	46.67	50.0	33.33	43.33	46.67
skill	note length statistics	30	50.0	43.33	63.33	46.67	46.67	53.33
skill	pitch recognition	30	26.67	16.67	30.0	36.67	20.0	20.0
skill	pitch statistics	30	50.0	26.67	30.0	36.67	33.33	30.0
skill	rhythm pattern	30	46.67	43.33	33.33	46.67	46.67	33.33
skill	rhythm pattern statistics	30	13.33	10.0	10.0	13.33	23.33	10.0
skill	tonality recognition	21	71.43	33.33	80.95	57.14	42.86	52.38
rel/abs	absolute	141	51.06	32.62	39.72	38.3	35.46	34.75
rel/abs	relative	159	38.36	31.45	36.48	38.36	33.96	32.08
specification	harmony-absolute	21	52.38	28.57	19.05	38.1	33.33	19.05
specification	harmony-relative	39	51.28	33.33	56.41	38.46	35.9	43.59
specification	pitch-absolute	60	38.33	21.67	30.0	36.67	26.67	25.0
specification	pitch-relative	60	38.33	35.0	38.33	46.67	31.67	35.0
specification	rhythm-absolute	60	63.33	45.0	56.67	40.0	45.0	50.0
specification	rhythm-relative	60	30.0	26.67	21.67	30.0	35.0	21.67
