Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	75	57.33	36.0	44.0	41.33	41.33	40.0
submodality	audio.mastermix.wav	25	56.0	32.0	28.0	32.0	24.0	28.0
submodality	symbolic.abc.txt	25	68.0	44.0	64.0	56.0	56.0	60.0
submodality	visual.short.png	25	48.0	32.0	40.0	36.0	44.0	32.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	55.56	33.33	55.56	22.22	33.33	44.44
piece_id	Bach_IchStehAnDeinerKrippe	6	33.33	33.33	16.67	16.67	33.33	16.67
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	50.0	27.78	50.0	38.89	44.44	22.22
piece_id	Drese_JesuGehVoran	9	33.33	11.11	44.44	11.11	11.11	22.22
piece_id	Gesius_BefiehlDuDeineWege	3	0.0	66.67	66.67	33.33	66.67	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	9	100.0	44.44	44.44	77.78	66.67	88.89
piece_id	Jan_DuGrosserSchmerzensmann	3	66.67	0.0	33.33	33.33	33.33	66.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	77.78	77.78	44.44	77.78	44.44	55.56
piece_id	Vulpius_ChristusDerIstMeinLeben	6	66.67	33.33	33.33	50.0	50.0	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	66.67	33.33	33.33	33.33	33.33	33.33
is_nota_correct	0	60	53.33	38.33	40.0	41.67	43.33	40.0
is_nota_correct	1	15	73.33	26.67	60.0	40.0	33.33	40.0
meta-question_id	1	9	55.56	55.56	55.56	44.44	55.56	22.22
meta-question_id	10	6	16.67	33.33	16.67	0.0	16.67	16.67
meta-question_id	11	3	66.67	33.33	66.67	100.0	33.33	33.33
meta-question_id	2	6	50.0	16.67	33.33	33.33	33.33	33.33
meta-question_id	3	9	77.78	0.0	22.22	33.33	44.44	33.33
meta-question_id	4	6	83.33	33.33	50.0	66.67	66.67	83.33
meta-question_id	5	9	44.44	22.22	55.56	11.11	22.22	11.11
meta-question_id	6	6	50.0	83.33	66.67	66.67	83.33	66.67
meta-question_id	7	9	55.56	44.44	11.11	33.33	22.22	44.44
meta-question_id	8	6	50.0	33.33	33.33	66.67	16.67	50.0
meta-question_id	9	6	83.33	50.0	100.0	50.0	66.67	66.67
category	harmony	15	53.33	40.0	60.0	40.0	40.0	40.0
category	pitch	30	66.67	26.67	40.0	43.33	50.0	40.0
category	rhythm	30	50.0	43.33	40.0	40.0	33.33	40.0
subcategory	harmonic-recognition	15	53.33	40.0	60.0	40.0	40.0	40.0
subcategory	interval-recognition	15	80.0	13.33	33.33	46.67	53.33	53.33
subcategory	pitch-recognition	15	53.33	40.0	46.67	40.0	46.67	26.67
subcategory	proportion-recognition	15	53.33	40.0	20.0	46.67	20.0	46.67
subcategory	rhythmic-recognition	15	46.67	46.67	60.0	33.33	46.67	33.33
skill	cadence recognition	3	66.67	33.33	66.67	100.0	33.33	33.33
skill	chord recognition	6	16.67	33.33	16.67	0.0	16.67	16.67
skill	interval recognition	9	77.78	0.0	22.22	33.33	44.44	33.33
skill	interval statistics	6	83.33	33.33	50.0	66.67	66.67	83.33
skill	note length	9	44.44	22.22	55.56	11.11	22.22	11.11
skill	note length statistics	6	50.0	83.33	66.67	66.67	83.33	66.67
skill	pitch recognition	9	55.56	55.56	55.56	44.44	55.56	22.22
skill	pitch statistics	6	50.0	16.67	33.33	33.33	33.33	33.33
skill	rhythm pattern	9	55.56	44.44	11.11	33.33	22.22	44.44
skill	rhythm pattern statistics	6	50.0	33.33	33.33	66.67	16.67	50.0
skill	tonality recognition	6	83.33	50.0	100.0	50.0	66.67	66.67
rel/abs	absolute	36	44.44	41.67	47.22	30.56	41.67	27.78
rel/abs	relative	39	69.23	30.77	41.03	51.28	41.03	51.28
specification	harmony-absolute	6	16.67	33.33	16.67	0.0	16.67	16.67
specification	harmony-relative	9	77.78	44.44	88.89	66.67	55.56	55.56
specification	pitch-absolute	15	53.33	40.0	46.67	40.0	46.67	26.67
specification	pitch-relative	15	80.0	13.33	33.33	46.67	53.33	53.33
specification	rhythm-absolute	15	46.67	46.67	60.0	33.33	46.67	33.33
specification	rhythm-relative	15	53.33	40.0	20.0	46.67	20.0	46.67
