Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001	aggregate-mistral
OVERALL	ALL	1500	43.6	33.27	31.67
submodality	audio.mastermix.wav	500	31.4	27.2	31.0
submodality	symbolic.abc.txt	500	58.4	40.0	39.4
submodality	visual.short.png	500	41.0	32.6	24.6
piece_id	Anonymous_AusMeinesHerzensGrunde	159	40.25	27.04	28.3
piece_id	Bach_IchStehAnDeinerKrippe	192	43.75	30.21	35.94
piece_id	Crueger_AufAufMeinHerzMitFreuden	177	35.59	27.12	30.51
piece_id	Drese_JesuGehVoran	150	44.0	32.67	28.67
piece_id	Gesius_BefiehlDuDeineWege	132	40.15	45.45	35.61
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	138	43.48	34.06	28.99
piece_id	Jan_DuGrosserSchmerzensmann	171	43.27	35.09	30.99
piece_id	Telemann_DerLiebenSonneLichtUndPracht	114	55.26	39.47	34.21
piece_id	Vulpius_ChristusDerIstMeinLeben	135	48.89	31.11	34.81
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	132	46.21	35.61	28.79
is_nota_correct	0	1200	43.42	34.58	30.67
is_nota_correct	1	300	44.33	28.0	35.67
meta-question_id	1	150	37.33	23.33	26.67
meta-question_id	10	120	43.33	45.0	34.17
meta-question_id	11	120	29.17	17.5	20.0
meta-question_id	2	150	45.33	33.33	35.33
meta-question_id	3	150	36.0	26.0	22.0
meta-question_id	4	150	56.67	48.67	34.0
meta-question_id	5	150	56.67	32.67	44.0
meta-question_id	6	150	48.67	50.67	35.33
meta-question_id	7	150	49.33	36.0	40.0
meta-question_id	8	150	24.0	14.0	20.67
meta-question_id	9	60	60.0	45.0	38.33
category	harmony	300	41.0	34.0	29.33
category	pitch	600	43.83	32.83	29.5
category	rhythm	600	44.67	33.33	35.0
subcategory	harmonic-recognition	300	41.0	34.0	29.33
subcategory	interval-recognition	300	46.33	37.33	28.0
subcategory	pitch-recognition	300	41.33	28.33	31.0
subcategory	proportion-recognition	300	36.67	25.0	30.33
subcategory	rhythmic-recognition	300	52.67	41.67	39.67
skill	cadence recognition	120	29.17	17.5	20.0
skill	chord recognition	120	43.33	45.0	34.17
skill	interval recognition	150	36.0	26.0	22.0
skill	interval statistics	150	56.67	48.67	34.0
skill	note length	150	56.67	32.67	44.0
skill	note length statistics	150	48.67	50.67	35.33
skill	pitch recognition	150	37.33	23.33	26.67
skill	pitch statistics	150	45.33	33.33	35.33
skill	rhythm pattern	150	49.33	36.0	40.0
skill	rhythm pattern statistics	150	24.0	14.0	20.67
skill	tonality recognition	60	60.0	45.0	38.33
rel/abs	absolute	720	46.39	36.67	35.14
rel/abs	relative	780	41.03	30.13	28.46
specification	harmony-absolute	120	43.33	45.0	34.17
specification	harmony-relative	180	39.44	26.67	26.11
specification	pitch-absolute	300	41.33	28.33	31.0
specification	pitch-relative	300	46.33	37.33	28.0
specification	rhythm-absolute	300	52.67	41.67	39.67
specification	rhythm-relative	300	36.67	25.0	30.33
