Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
OVERALL	ALL	1500	43.6	0.0	0.0	5165.79	1.493283	33.27	0.2	0.0	5267.56	0.207043	31.67	5.27	0.0	14390.09	2.513385
submodality	audio.mastermix.wav	500	31.4	0.0	0.0	1531.31	0.354875	27.2	0.0	0.0	2093.29	0.051485	31.0	0.58	0.0	1192.39	2.094575
submodality	symbolic.abc.txt	500	58.4	0.0	0.0	1812.99	0.589702	40.0	0.33	0.0	1743.59	0.088087	39.4	0.0	0.0	4855.82	0.179533
submodality	visual.short.png	500	41.0	0.0	0.0	1821.49	0.548706	32.6	0.3	0.0	1430.69	0.067471	24.6	13.79	0.0	8341.88	0.239277
piece_id	Anonymous_AusMeinesHerzensGrunde	159	40.25	0.0	0.0	588.03	0.184845	27.04	0.0	0.0	615.07	0.026857	28.3	4.39	0.0	1611.55	0.360606
piece_id	Bach_IchStehAnDeinerKrippe	192	43.75	0.0	0.0	675.51	0.190594	30.21	0.0	0.0	670.76	0.027137	35.94	3.25	0.0	1911.49	0.346964
piece_id	Crueger_AufAufMeinHerzMitFreuden	177	35.59	0.0	0.0	639.71	0.188265	27.12	1.55	0.0	632.71	0.027508	30.51	4.88	0.0	1714.03	0.347601
piece_id	Drese_JesuGehVoran	150	44.0	0.0	0.0	506.41	0.139329	32.67	0.0	0.0	541.58	0.018276	28.67	4.67	0.0	744.7	0.186768
piece_id	Gesius_BefiehlDuDeineWege	132	40.15	0.0	0.0	453.98	0.135005	45.45	0.0	0.0	460.64	0.017662	35.61	10.59	0.0	2395.39	0.285681
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	138	43.48	0.0	0.0	456.41	0.129862	34.06	0.0	0.0	465.09	0.017519	28.99	7.14	0.0	950.16	0.188445
piece_id	Jan_DuGrosserSchmerzensmann	171	43.27	0.0	0.0	603.09	0.173786	35.09	0.0	0.0	637.89	0.026355	30.99	5.93	0.0	1061.07	0.264349
piece_id	Telemann_DerLiebenSonneLichtUndPracht	114	55.26	0.0	0.0	400.33	0.122239	39.47	0.0	0.0	417.3	0.016382	34.21	9.33	0.0	2370.96	0.29461
piece_id	Vulpius_ChristusDerIstMeinLeben	135	48.89	0.0	0.0	433.92	0.120157	31.11	0.0	0.0	427.87	0.015033	34.81	2.27	0.0	771.97	0.14368
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	132	46.21	0.0	0.0	408.42	0.109201	35.61	0.0	0.0	398.65	0.014313	28.79	2.13	0.0	858.77	0.094681
is_nota_correct	0	1200	43.42	0.0	0.0	4071.24	1.1858	34.58	0.13	0.0	4200.72	0.164885	30.67	5.41	0.0	12115.08	1.998263
is_nota_correct	1	300	44.33	0.0	0.0	1094.55	0.307484	28.0	0.46	0.0	1066.84	0.042158	35.67	4.66	0.0	2275.01	0.515122
meta-question_id	1	150	37.33	0.0	0.0	531.17	0.142248	23.33	0.0	0.0	514.02	0.018978	26.67	0.0	0.0	883.11	0.230021
meta-question_id	10	120	43.33	0.0	0.0	383.31	0.108249	45.0	0.0	0.0	438.81	0.015806	34.17	13.92	0.0	1072.99	0.189239
meta-question_id	11	120	29.17	0.0	0.0	415.96	0.120094	17.5	0.0	0.0	431.37	0.016609	20.0	3.12	0.0	767.37	0.198443
meta-question_id	2	150	45.33	0.0	0.0	568.73	0.149447	33.33	1.0	0.0	574.87	0.01927	35.33	4.12	0.0	1327.06	0.242125
meta-question_id	3	150	36.0	0.0	0.0	577.58	0.170552	26.0	0.0	0.0	743.86	0.023353	22.0	3.42	0.0	1080.13	0.243331
meta-question_id	4	150	56.67	0.0	0.0	541.94	0.170591	48.67	1.3	0.0	540.81	0.022497	34.0	4.04	0.0	4848.26	0.366353
meta-question_id	5	150	56.67	0.0	0.0	504.23	0.147368	32.67	0.0	0.0	436.71	0.019134	44.0	9.52	0.0	1216.6	0.244952
meta-question_id	6	150	48.67	0.0	0.0	517.59	0.155447	50.67	0.0	0.0	504.47	0.023479	35.33	8.25	0.0	818.82	0.239261
meta-question_id	7	150	49.33	0.0	0.0	483.33	0.148493	36.0	0.0	0.0	468.28	0.02169	40.0	10.0	0.0	1223.18	0.246332
meta-question_id	8	150	24.0	0.0	0.0	487.24	0.141961	14.0	0.0	0.0	453.51	0.020353	20.67	2.52	0.0	941.74	0.224509
meta-question_id	9	60	60.0	0.0	0.0	154.69	0.038832	45.0	0.0	0.0	160.87	0.005874	38.33	0.0	0.0	210.81	0.088819
category	harmony	300	41.0	0.0	0.0	953.97	0.267176	34.0	0.0	0.0	1031.04	0.038289	29.33	6.6	0.0	2051.17	0.476501
category	pitch	600	43.83	0.0	0.0	2219.43	0.63284	32.83	0.5	0.0	2373.56	0.084098	29.5	2.84	0.0	8138.57	1.08183
