Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	1500	33.2	0.4	0.0	4349.16	0.806212	23.0	14.55	0.0	4073.5	0.138203
submodality	audio.mastermix.wav	500	29.6	0.28	0.0	1334.89	0.208069	23.0	3.64	0.0	1240.32	0.040288
submodality	symbolic.abc.txt	500	35.0	0.62	0.0	1505.56	0.294137	20.4	25.88	0.0	1561.76	0.054987
submodality	visual.short.png	500	35.0	0.31	0.0	1508.71	0.304006	25.6	13.71	0.0	1271.42	0.042929
piece_id	Anonymous_AusMeinesHerzensGrunde	111	29.73	0.0	0.0	320.06	0.060221	24.32	20.24	0.0	320.83	0.011011
piece_id	Bach_IchStehAnDeinerKrippe	147	36.05	1.06	0.0	385.63	0.074752	22.45	16.67	0.0	387.96	0.012955
piece_id	Crueger_AufAufMeinHerzMitFreuden	168	26.79	0.0	0.0	485.21	0.091158	20.83	6.77	0.0	452.31	0.015421
piece_id	Drese_JesuGehVoran	150	34.0	1.01	0.0	446.05	0.078836	26.0	14.41	0.0	410.7	0.013685
piece_id	Gesius_BefiehlDuDeineWege	123	34.15	1.23	0.0	364.88	0.063608	17.89	11.88	0.0	330.86	0.011058
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	156	35.26	0.99	0.0	413.78	0.081952	19.87	12.0	0.0	428.81	0.015392
piece_id	Jan_DuGrosserSchmerzensmann	195	29.74	0.0	0.0	569.43	0.112327	22.05	15.13	0.0	544.59	0.018463
piece_id	Telemann_DerLiebenSonneLichtUndPracht	153	39.22	0.0	0.0	448.83	0.085193	23.53	17.09	0.0	371.28	0.012391
piece_id	Vulpius_ChristusDerIstMeinLeben	150	35.33	0.0	0.0	464.44	0.080031	27.33	20.18	0.0	423.88	0.014507
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	147	32.65	0.0	0.0	450.86	0.078134	25.85	13.76	0.0	402.28	0.013321
is_nota_correct	0	1200	36.75	0.26	0.0	3446.86	0.648282	20.25	13.27	0.0	3297.9	0.112133
is_nota_correct	1	300	19.0	0.82	0.0	902.3	0.15793	34.0	20.71	0.0	775.6	0.02607
meta-question_id	1	150	26.0	0.0	0.0	373.61	0.080865	25.33	0.0	0.0	384.65	0.012939
meta-question_id	10	120	44.17	1.49	0.0	354.25	0.061963	29.17	29.41	0.0	362.19	0.012049
meta-question_id	11	120	21.67	1.06	0.0	352.96	0.062537	20.0	35.42	0.0	289.53	0.009646
meta-question_id	2	150	29.33	0.94	0.0	418.2	0.077342	21.33	7.63	0.0	341.57	0.011087
meta-question_id	3	150	26.0	0.9	0.0	458.91	0.091349	16.0	30.16	0.0	370.78	0.012601
