Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
OVERALL	ALL	1500	43.87	0.0	0.0	5318.31	1.508868	37.0	0.32	0.0	6092.5	0.214085	30.8	8.09	0.0	13840.09	2.450083
submodality	audio.mastermix.wav	500	35.2	0.0	0.0	1557.77	0.358585	32.2	0.29	0.0	2356.25	0.051659	26.4	0.27	0.0	1579.74	2.123358
submodality	symbolic.abc.txt	500	55.2	0.0	0.0	1906.04	0.598147	42.6	0.7	0.0	2119.94	0.093698	39.0	0.0	0.0	5730.78	0.170293
submodality	visual.short.png	500	41.2	0.0	0.0	1854.5	0.552136	36.2	0.0	0.0	1616.3	0.068728	27.0	22.74	0.0	6529.58	0.156433
piece_id	Anonymous_AusMeinesHerzensGrunde	150	36.67	0.0	0.0	541.88	0.165802	36.0	0.0	0.0	684.43	0.026246	29.33	8.49	0.0	2151.48	0.354397
piece_id	Bach_IchStehAnDeinerKrippe	129	38.76	0.0	0.0	444.17	0.123916	41.09	1.32	0.0	483.36	0.018135	28.68	4.35	0.0	816.21	0.215364
piece_id	Crueger_AufAufMeinHerzMitFreuden	174	32.76	0.0	0.0	646.45	0.189843	32.18	0.0	0.0	746.16	0.028662	28.16	8.8	0.0	1854.12	0.331417
piece_id	Drese_JesuGehVoran	168	42.26	0.0	0.0	573.24	0.155596	35.71	0.0	0.0	634.32	0.020883	26.19	9.68	0.0	1894.44	0.235974
piece_id	Gesius_BefiehlDuDeineWege	192	47.92	0.0	0.0	718.38	0.201628	33.85	0.0	0.0	771.06	0.026464	30.21	7.46	0.0	1452.56	0.330514
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	138	42.75	0.0	0.0	463.71	0.134732	35.51	1.12	0.0	593.62	0.019502	30.43	7.29	0.0	1602.4	0.2065
piece_id	Jan_DuGrosserSchmerzensmann	165	41.82	0.0	0.0	614.08	0.169376	29.09	0.0	0.0	628.17	0.024897	31.52	5.31	0.0	1253.84	0.259333
piece_id	Telemann_DerLiebenSonneLichtUndPracht	135	57.78	0.0	0.0	494.87	0.148371	40.0	0.0	0.0	603.35	0.019898	36.3	5.81	0.0	746.57	0.290443
piece_id	Vulpius_ChristusDerIstMeinLeben	117	52.14	0.0	0.0	379.58	0.102263	46.15	1.59	0.0	457.5	0.013949	32.48	8.86	0.0	807.59	0.126038
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	132	50.0	0.0	0.0	441.95	0.11734	46.97	0.0	0.0	490.51	0.015449	37.12	15.66	0.0	1260.89	0.100104
is_nota_correct	0	1200	43.67	0.0	0.0	4229.46	1.202739	40.0	0.28	0.0	4830.05	0.170235	29.83	8.43	0.0	10727.39	1.87424
is_nota_correct	1	300	44.67	0.0	0.0	1088.84	0.306128	25.0	0.44	0.0	1262.45	0.043851	34.67	6.63	0.0	3112.7	0.575843
meta-question_id	1	150	34.67	0.0	0.0	509.6	0.151286	28.0	0.0	0.0	519.07	0.020518	22.0	0.0	0.0	2121.55	0.277985
meta-question_id	10	120	41.67	0.0	0.0	405.1	0.111808	43.33	0.0	0.0	553.55	0.01565	35.0	8.97	0.0	777.64	0.178849
meta-question_id	11	120	23.33	0.0	0.0	439.38	0.118048	20.83	0.0	0.0	494.35	0.015548	14.17	12.62	0.0	951.57	0.19512
meta-question_id	2	150	46.0	0.0	0.0	499.54	0.148292	38.67	0.0	0.0	507.5	0.019325	25.33	3.57	0.0	1860.57	0.259567
meta-question_id	3	150	32.0	0.0	0.0	564.39	0.167453	21.33	0.0	0.0	616.26	0.02497	22.67	10.34	0.0	1097.02	0.249528
meta-question_id	4	150	55.33	0.0	0.0	589.38	0.169822	49.33	0.0	0.0	631.52	0.02419	40.67	5.62	0.0	2476.13	0.24813
meta-question_id	5	150	60.67	0.0	0.0	532.1	0.157942	41.33	0.0	0.0	641.91	0.020848	44.0	19.05	0.0	1136.57	0.238976
meta-question_id	6	150	60.67	0.0	0.0	509.77	0.148641	58.67	0.0	0.0	633.65	0.023136	47.33	8.86	0.0	1293.57	0.258534
meta-question_id	7	150	51.33	0.0	0.0	534.07	0.152791	48.0	1.28	0.0	565.21	0.0221	36.67	15.79	0.0	1119.98	0.222633
meta-question_id	8	150	21.33	0.0	0.0	527.54	0.143649	14.67	0.0	0.0	703.14	0.0221	12.67	3.82	0.0	860.64	0.233933
meta-question_id	9	60	61.67	0.0	0.0	207.44	0.039135	46.67	6.25	0.0	226.33	0.005699	43.33	0.0	0.0	144.86	0.086827
category	harmony	300	38.33	0.0	0.0	1051.92	0.268991	35.0	1.03	0.0	1274.23	0.036898	28.33	9.3	0.0	1874.07	0.460796
category	pitch	600	42.0	0.0	0.0	2162.9	0.636854	34.33	0.0	0.0	2274.35	0.089003	27.67	4.84	0.0	7555.27	1.03521
category	rhythm	600	48.5	0.0	0.0	2103.48	0.603023	40.67	0.28	0.0	2543.92	0.088184	35.17	11.05	0.0	4410.75	0.954077
subcategory	harmonic-recognition	300	38.33	0.0	0.0	1051.92	0.268991	35.0	1.03	0.0	1274.23	0.036898	28.33	9.3	0.0	1874.07	0.460796
subcategory	interval-recognition	300	43.67	0.0	0.0	1153.77	0.337275	35.33	0.0	0.0	1247.78	0.04916	31.67	8.29	0.0	3573.15	0.497658
subcategory	pitch-recognition	300	40.33	0.0	0.0	1009.14	0.299579	33.33	0.0	0.0	1026.57	0.039844	23.67	1.75	0.0	3982.12	0.537552
subcategory	proportion-recognition	300	36.33	0.0	0.0	1061.6	0.296439	31.33	0.49	0.0	1268.35	0.044199	24.67	8.85	0.0	1980.62	0.456566
subcategory	rhythmic-recognition	300	60.67	0.0	0.0	1041.88	0.306583	50.0	0.0	0.0	1275.56	0.043985	45.67	14.11	0.0	2430.14	0.497511
skill	cadence recognition	120	23.33	0.0	0.0	439.38	0.118048	20.83	0.0	0.0	494.35	0.015548	14.17	12.62	0.0	951.57	0.19512
skill	chord recognition	120	41.67	0.0	0.0	405.1	0.111808	43.33	0.0	0.0	553.55	0.01565	35.0	8.97	0.0	777.64	0.178849
skill	interval recognition	150	32.0	0.0	0.0	564.39	0.167453	21.33	0.0	0.0	616.26	0.02497	22.67	10.34	0.0	1097.02	0.249528
skill	interval statistics	150	55.33	0.0	0.0	589.38	0.169822	49.33	0.0	0.0	631.52	0.02419	40.67	5.62	0.0	2476.13	0.24813
skill	note length	150	60.67	0.0	0.0	532.1	0.157942	41.33	0.0	0.0	641.91	0.020848	44.0	19.05	0.0	1136.57	0.238976
skill	note length statistics	150	60.67	0.0	0.0	509.77	0.148641	58.67	0.0	0.0	633.65	0.023136	47.33	8.86	0.0	1293.57	0.258534
skill	pitch recognition	150	34.67	0.0	0.0	509.6	0.151286	28.0	0.0	0.0	519.07	0.020518	22.0	0.0	0.0	2121.55	0.277985
skill	pitch statistics	150	46.0	0.0	0.0	499.54	0.148292	38.67	0.0	0.0	507.5	0.019325	25.33	3.57	0.0	1860.57	0.259567
skill	rhythm pattern	150	51.33	0.0	0.0	534.07	0.152791	48.0	1.28	0.0	565.21	0.0221	36.67	15.79	0.0	1119.98	0.222633
skill	rhythm pattern statistics	150	21.33	0.0	0.0	527.54	0.143649	14.67	0.0	0.0	703.14	0.0221	12.67	3.82	0.0	860.64	0.233933
skill	tonality recognition	60	61.67	0.0	0.0	207.44	0.039135	46.67	6.25	0.0	226.33	0.005699	43.33	0.0	0.0	144.86	0.086827
rel/abs	absolute	720	49.03	0.0	0.0	2456.11	0.717971	41.94	0.0	0.0	2855.68	0.099479	34.72	7.23	0.0	7189.9	1.213912
rel/abs	relative	780	39.1	0.0	0.0	2862.2	0.790897	32.44	0.57	0.0	3236.81	0.114607	27.18	8.8	0.0	6650.19	1.236172
specification	harmony-absolute	120	41.67	0.0	0.0	405.1	0.111808	43.33	0.0	0.0	553.55	0.01565	35.0	8.97	0.0	777.64	0.178849
specification	harmony-relative	180	36.11	0.0	0.0	646.82	0.157183	29.44	1.57	0.0	720.68	0.021248	23.89	9.49	0.0	1096.43	0.281947
specification	pitch-absolute	300	40.33	0.0	0.0	1009.14	0.299579	33.33	0.0	0.0	1026.57	0.039844	23.67	1.75	0.0	3982.12	0.537552
specification	pitch-relative	300	43.67	0.0	0.0	1153.77	0.337275	35.33	0.0	0.0	1247.78	0.04916	31.67	8.29	0.0	3573.15	0.497658
specification	rhythm-absolute	300	60.67	0.0	0.0	1041.88	0.306583	50.0	0.0	0.0	1275.56	0.043985	45.67	14.11	0.0	2430.14	0.497511
specification	rhythm-relative	300	36.33	0.0	0.0	1061.6	0.296439	31.33	0.49	0.0	1268.35	0.044199	24.67	8.85	0.0	1980.62	0.456566
