Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	15	33.33	40.0
submodality	audio.mastermix.wav	5	20.0	20.0
submodality	symbolic.abc.txt	5	40.0	60.0
submodality	visual.short.png	5	40.0	40.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	66.67	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	33.33	66.67
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	16.67	16.67
is_nota_correct	0	12	16.67	33.33
is_nota_correct	1	3	100.0	66.67
meta-question_id	1	3	33.33	66.67
meta-question_id	3	3	0.0	33.33
meta-question_id	5	3	33.33	66.67
meta-question_id	7	3	66.67	33.33
meta-question_id	9	3	33.33	0.0
category	harmony	3	33.33	0.0
category	pitch	6	16.67	50.0
category	rhythm	6	50.0	50.0
subcategory	harmonic-recognition	3	33.33	0.0
subcategory	interval-recognition	3	0.0	33.33
subcategory	pitch-recognition	3	33.33	66.67
subcategory	proportion-recognition	3	66.67	33.33
subcategory	rhythmic-recognition	3	33.33	66.67
skill	interval recognition	3	0.0	33.33
skill	note length	3	33.33	66.67
skill	pitch recognition	3	33.33	66.67
skill	rhythm pattern	3	66.67	33.33
skill	tonality recognition	3	33.33	0.0
rel/abs	absolute	6	33.33	66.67
rel/abs	relative	9	33.33	22.22
specification	harmony-relative	3	33.33	0.0
specification	pitch-absolute	3	33.33	66.67
specification	pitch-relative	3	0.0	33.33
specification	rhythm-absolute	3	33.33	66.67
specification	rhythm-relative	3	66.67	33.33
