Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	150	37.33	31.33	33.33	30.0	36.0	35.33
submodality	audio.mastermix.wav	50	26.0	30.0	26.0	20.0	22.0	32.0
submodality	symbolic.abc.txt	50	48.0	36.0	54.0	36.0	54.0	54.0
submodality	visual.short.png	50	38.0	28.0	20.0	34.0	32.0	20.0
piece_id	Anonymous_AusMeinesHerzensGrunde	6	0.0	0.0	0.0	0.0	16.67	0.0
piece_id	Bach_IchStehAnDeinerKrippe	12	41.67	33.33	33.33	8.33	25.0	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	15	40.0	46.67	60.0	40.0	33.33	53.33
piece_id	Drese_JesuGehVoran	21	19.05	33.33	38.1	38.1	38.1	23.81
piece_id	Gesius_BefiehlDuDeineWege	18	44.44	22.22	33.33	44.44	27.78	44.44
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	50.0	16.67	33.33	33.33	50.0	33.33
piece_id	Jan_DuGrosserSchmerzensmann	12	33.33	0.0	8.33	25.0	50.0	16.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	21	52.38	42.86	47.62	38.1	52.38	38.1
piece_id	Vulpius_ChristusDerIstMeinLeben	30	40.0	40.0	23.33	23.33	33.33	43.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	33.33	33.33	33.33	22.22	22.22	33.33
is_nota_correct	0	120	37.5	27.5	32.5	33.33	38.33	32.5
is_nota_correct	1	30	36.67	46.67	36.67	16.67	26.67	46.67
meta-question_id	1	15	40.0	13.33	33.33	20.0	33.33	33.33
meta-question_id	10	9	11.11	44.44	22.22	55.56	44.44	33.33
meta-question_id	11	9	33.33	11.11	22.22	33.33	44.44	44.44
meta-question_id	2	15	46.67	20.0	13.33	20.0	20.0	20.0
meta-question_id	3	15	26.67	13.33	13.33	46.67	26.67	6.67
meta-question_id	4	15	53.33	40.0	46.67	33.33	40.0	40.0
meta-question_id	5	15	40.0	33.33	46.67	13.33	46.67	60.0
meta-question_id	6	15	33.33	33.33	33.33	33.33	26.67	33.33
meta-question_id	7	15	46.67	66.67	60.0	46.67	46.67	40.0
meta-question_id	8	15	13.33	6.67	6.67	0.0	33.33	6.67
meta-question_id	9	12	58.33	66.67	66.67	41.67	41.67	83.33
category	harmony	30	36.67	43.33	40.0	43.33	43.33	56.67
category	pitch	60	41.67	21.67	26.67	30.0	30.0	25.0
category	rhythm	60	33.33	35.0	36.67	23.33	38.33	35.0
subcategory	harmonic-recognition	30	36.67	43.33	40.0	43.33	43.33	56.67
subcategory	interval-recognition	30	40.0	26.67	30.0	40.0	33.33	23.33
subcategory	pitch-recognition	30	43.33	16.67	23.33	20.0	26.67	26.67
subcategory	proportion-recognition	30	30.0	36.67	33.33	23.33	40.0	23.33
subcategory	rhythmic-recognition	30	36.67	33.33	40.0	23.33	36.67	46.67
skill	cadence recognition	9	33.33	11.11	22.22	33.33	44.44	44.44
skill	chord recognition	9	11.11	44.44	22.22	55.56	44.44	33.33
skill	interval recognition	15	26.67	13.33	13.33	46.67	26.67	6.67
skill	interval statistics	15	53.33	40.0	46.67	33.33	40.0	40.0
skill	note length	15	40.0	33.33	46.67	13.33	46.67	60.0
skill	note length statistics	15	33.33	33.33	33.33	33.33	26.67	33.33
skill	pitch recognition	15	40.0	13.33	33.33	20.0	33.33	33.33
skill	pitch statistics	15	46.67	20.0	13.33	20.0	20.0	20.0
skill	rhythm pattern	15	46.67	66.67	60.0	46.67	46.67	40.0
skill	rhythm pattern statistics	15	13.33	6.67	6.67	0.0	33.33	6.67
skill	tonality recognition	12	58.33	66.67	66.67	41.67	41.67	83.33
rel/abs	absolute	69	36.23	27.54	30.43	26.09	33.33	36.23
rel/abs	relative	81	38.27	34.57	35.8	33.33	38.27	34.57
specification	harmony-absolute	9	11.11	44.44	22.22	55.56	44.44	33.33
specification	harmony-relative	21	47.62	42.86	47.62	38.1	42.86	66.67
specification	pitch-absolute	30	43.33	16.67	23.33	20.0	26.67	26.67
specification	pitch-relative	30	40.0	26.67	30.0	40.0	33.33	23.33
specification	rhythm-absolute	30	36.67	33.33	40.0	23.33	36.67	46.67
specification	rhythm-relative	30	30.0	36.67	33.33	23.33	40.0	23.33
