Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001	google_gemini-3.1-flash-lite-preview	aggregate-mistral	google_gemini-2.5-flash-lite	aggregate-gpt-4o	Qwen_Qwen3-Omni-30B-A3B-Thinking
OVERALL	ALL	35.531	45.499	33.833	38.734	37.766	40.233
submodality	audio.mastermix.wav	32.0	33.2	30.4	31.4	34.3	33.1
submodality	symbolic.abc.txt	41.5	59.1	42.8	50.6	43.5	56.9
submodality	visual.short.png	33.1	44.2	28.3	34.2	35.5	30.7
piece_id	Anonymous_AusMeinesHerzensGrunde	30.232	36.051	29.715	33.846	34.344	33.842
piece_id	Bach_IchStehAnDeinerKrippe	35.235	44.241	35.187	33.941	35.173	36.178
piece_id	Crueger_AufAufMeinHerzMitFreuden	38.411	48.299	37.249	39.123	34.425	44.98
piece_id	Drese_JesuGehVoran	32.143	46.286	33.998	35.402	40.929	38.076
piece_id	Gesius_BefiehlDuDeineWege	32.197	41.954	32.139	35.593	35.388	39.391
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42.927	47.517	35.187	41.192	39.637	40.326
piece_id	Jan_DuGrosserSchmerzensmann	26.951	41.762	30.229	36.006	29.179	34.881
piece_id	Telemann_DerLiebenSonneLichtUndPracht	42.245	46.094	32.646	45.894	38.55	39.554
piece_id	Vulpius_ChristusDerIstMeinLeben	37.873	56.948	36.181	46.243	49.509	51.558
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36.63	46.021	35.554	38.776	41.494	45.585
is_nota_correct	0	37.666	45.084	33.584	42.542	40.125	39.375
is_nota_correct	1	27.001	47.167	34.833	23.501	28.334	43.666
meta-question_id	1	28.334	33.332	24.667	34.668	32.0	34.333
meta-question_id	10	40.954	42.382	33.811	35.238	32.381	30.952
meta-question_id	11	28.333	30.555	28.335	30.555	25.555	31.667
meta-question_id	2	36.334	51.666	31.001	42.666	41.334	37.667
meta-question_id	3	23.333	34.667	22.334	31.333	24.001	29.667
meta-question_id	4	44.666	51.666	35.667	41.332	49.666	43.667
meta-question_id	5	32.333	57.667	45.001	46.333	43.668	46.667
meta-question_id	6	60.334	59.334	55.334	50.668	56.333	61.999
meta-question_id	7	37.001	47.333	41.668	38.666	42.0	46.999
meta-question_id	8	16.333	27.667	16.0	28.666	16.666	23.334
meta-question_id	9	44.285	62.38	37.144	42.857	48.573	53.334
category	harmony	38.333	45.833	33.333	36.501	35.998	38.999
category	pitch	33.167	42.834	28.417	37.501	36.75	36.333
category	rhythm	36.501	48.001	39.5	41.082	39.666	44.752
subcategory	harmonic-recognition	38.333	45.833	33.333	36.501	35.998	38.999
subcategory	interval-recognition	34.0	43.168	28.999	36.332	36.833	36.666
subcategory	pitch-recognition	32.333	42.499	27.835	38.666	36.667	36.0
subcategory	proportion-recognition	26.666	37.5	28.835	33.666	29.335	35.166
subcategory	rhythmic-recognition	46.333	58.499	50.168	48.5	50.0	54.334
skill	cadence recognition	28.333	30.555	28.335	30.555	25.555	31.667
skill	chord recognition	40.954	42.382	33.811	35.238	32.381	30.952
skill	interval recognition	23.333	34.667	22.334	31.333	24.001	29.667
skill	interval statistics	44.666	51.666	35.667	41.332	49.666	43.667
skill	note length	32.333	57.667	45.001	46.333	43.668	46.667
skill	note length statistics	60.334	59.334	55.334	50.668	56.333	61.999
skill	pitch recognition	28.334	33.332	24.667	34.668	32.0	34.333
skill	pitch statistics	36.334	51.666	31.001	42.666	41.334	37.667
skill	rhythm pattern	37.001	47.333	41.668	38.666	42.0	46.999
skill	rhythm pattern statistics	16.333	27.667	16.0	28.666	16.666	23.334
skill	tonality recognition	44.285	62.38	37.144	42.857	48.573	53.334
rel/abs	absolute	39.574	49.29	38.227	42.34	41.702	43.049
rel/abs	relative	31.948	42.138	29.938	35.535	34.277	37.737
specification	harmony-absolute	40.954	42.382	33.811	35.238	32.381	30.952
specification	harmony-relative	36.923	47.691	33.077	37.18	37.95	43.333
specification	pitch-absolute	32.333	42.499	27.835	38.666	36.667	36.0
specification	pitch-relative	34.0	43.168	28.999	36.332	36.833	36.666
specification	rhythm-absolute	46.333	58.499	50.168	48.5	50.0	54.334
specification	rhythm-relative	26.666	37.5	28.835	33.666	29.335	35.166
