Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	aggregate-mistral_Mean_Accuracy_(10_runs)	aggregate-mistral_Mean_Unparsable_Percent	aggregate-mistral_Mean_Model_Error_Percent	aggregate-mistral_Sum_Total_Time_s	aggregate-mistral_Sum_Total_Price	google_gemini-2.5-flash-lite_Mean_Accuracy_(10_runs)	google_gemini-2.5-flash-lite_Mean_Unparsable_Percent	google_gemini-2.5-flash-lite_Mean_Model_Error_Percent	google_gemini-2.5-flash-lite_Sum_Total_Time_s	google_gemini-2.5-flash-lite_Sum_Total_Price	aggregate-gpt-4o_Mean_Accuracy_(10_runs)	aggregate-gpt-4o_Mean_Unparsable_Percent	aggregate-gpt-4o_Mean_Model_Error_Percent	aggregate-gpt-4o_Sum_Total_Time_s	aggregate-gpt-4o_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	35.467	0.0	0.0	2360.6	0.1062	46.799	0.0	0.0	2723.21	0.7429	34.133	3.194	0.615	9262.63	1.2506	40.0	0.0	0.0	10599.46	1.4861	38.798	1.951	0.0	2775.1	6.7071	44.267	0.0	0.0	14907.1	0.0
submodality	audio.mastermix.wav	28.8	0.0	0.0	977.88	0.0267	34.8	0.0	0.0	884.28	0.1883	26.4	0.556	1.056	2855.93	1.1079	26.8	0.0	0.0	2229.35	0.2646	32.0	0.0	0.0	1201.99	4.7007	36.8	0.0	0.0	2728.17	0.0
submodality	symbolic.abc.txt	45.6	0.0	0.0	806.03	0.045	64.0	0.0	0.0	909.98	0.29	46.8	0.0	0.0	2202.42	0.0668	56.8	0.0	0.0	4334.82	0.6449	50.0	0.0	0.0	930.26	1.4574	62.4	0.0	0.0	8625.5	0.0
submodality	visual.short.png	32.0	0.0	0.0	576.71	0.0345	41.6	0.0	0.0	928.95	0.2645	29.2	8.516	0.556	4204.31	0.0758	36.4	0.0	0.0	4035.33	0.5767	34.4	5.504	0.0	642.84	0.5489	33.6	0.0	0.0	3553.42	0.0
piece_id	Anonymous_AusMeinesHerzensGrunde	38.888	0.0	0.0	403.05	0.0193	48.111	0.0	0.0	410.97	0.1169	42.357	1.429	4.54	1717.24	0.2303	45.69	0.0	0.0	1618.13	0.2302	49.112	2.679	0.0	449.39	1.2052	47.548	0.0	0.0	2210.09	0.0
piece_id	Bach_IchStehAnDeinerKrippe	34.112	0.0	0.0	222.65	0.0099	39.666	0.0	0.0	254.1	0.0708	29.276	1.111	0.0	814.54	0.1168	31.499	0.0	0.0	1017.0	0.146	22.055	0.0	0.0	258.59	0.6373	50.667	0.0	0.0	1396.8	0.0
piece_id	Gesius_BefiehlDuDeineWege	25.833	0.0	0.0	180.14	0.0082	41.389	0.0	0.0	214.7	0.0605	36.39	6.19	0.0	897.71	0.1127	58.055	0.0	0.0	897.96	0.129	37.499	1.667	0.0	223.99	0.561	51.389	0.0	0.0	1207.03	0.0
piece_id	Jan_DuGrosserSchmerzensmann	34.0	0.0	0.0	283.5	0.0131	41.389	0.0	0.0	347.94	0.0916	34.334	10.0	0.0	911.63	0.1392	36.387	0.0	0.0	1335.48	0.1857	37.555	11.964	0.0	334.74	0.7807	39.278	0.0	0.0	1778.01	0.0
is_nota_correct	0	39.168	0.0	0.0	1859.81	0.0828	47.0	0.0	0.0	2152.28	0.5875	32.667	2.448	0.25	7132.45	1.0219	43.0	0.0	0.0	8040.34	1.1209	38.999	2.146	0.0	2203.86	5.3677	42.334	0.0	0.0	11748.98	0.0
is_nota_correct	1	20.666	0.0	0.0	500.79	0.0234	45.999	0.0	0.0	570.91	0.1554	40.0	7.377	2.338	2130.2	0.2287	28.0	0.0	0.0	2559.15	0.3653	38.0	1.0	0.0	571.23	1.3393	52.0	0.0	0.0	3158.11	0.0
meta-question_id	1	28.886	0.0	0.0	271.51	0.0124	37.776	0.0	0.0	332.95	0.089	18.888	0.0	0.0	702.85	0.1431	32.221	0.0	0.0	876.17	0.1164	26.664	0.0	0.0	298.25	0.77	37.776	0.0	0.0	1711.51	0.0
meta-question_id	10	31.667	0.0	0.0	176.98	0.0078	43.332	0.0	0.0	219.29	0.0576	36.667	13.5	0.0	1012.57	0.0974	38.333	0.0	0.0	929.82	0.1235	28.334	5.333	0.0	207.81	0.4956	38.334	0.0	0.0	1125.28	0.0
meta-question_id	11	19.999	0.0	0.0	98.04	0.0044	26.666	0.0	0.0	123.89	0.031	9.999	0.0	0.0	229.33	0.0489	16.667	0.0	0.0	507.23	0.0656	20.0	13.332	0.0	115.94	0.275	16.666	0.0	0.0	541.98	0.0
meta-question_id	2	41.668	0.0	0.0	187.06	0.0085	55.001	0.0	0.0	220.78	0.0629	38.334	0.0	0.0	988.4	0.1294	43.332	0.0	0.0	561.01	0.0794	41.666	0.0	0.0	202.94	0.5498	48.332	0.0	0.0	637.27	0.0
meta-question_id	3	24.442	0.0	0.0	296.42	0.0135	32.22	0.0	0.0	326.43	0.0983	21.109	2.54	0.0	876.88	0.141	37.777	0.0	0.0	1502.23	0.22	24.442	1.429	0.0	336.72	0.8043	38.887	0.0	0.0	2495.65	0.0
meta-question_id	4	51.667	0.0	0.0	192.82	0.0086	73.333	0.0	0.0	238.88	0.0644	34.999	4.167	2.5	1372.35	0.1103	50.0	0.0	0.0	1445.97	0.2123	56.666	0.0	0.0	238.15	0.528	50.001	0.0	0.0	1944.03	0.0
meta-question_id	5	42.221	0.0	0.0	268.17	0.0115	51.11	0.0	0.0	317.33	0.0879	52.224	1.429	0.0	892.43	0.1446	44.443	0.0	0.0	977.05	0.136	44.444	4.167	0.0	346.28	0.8072	57.78	0.0	0.0	1568.37	0.0
