Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001	google_gemini-3.1-flash-lite-preview	aggregate-mistral	google_gemini-2.5-flash-lite	aggregate-gpt-4o	Qwen_Qwen3-Omni-30B-A3B-Thinking
OVERALL	ALL	35.467	46.799	34.133	40.0	38.798	44.267
submodality	audio.mastermix.wav	28.8	34.8	26.4	26.8	32.0	36.8
submodality	symbolic.abc.txt	45.6	64.0	46.8	56.8	50.0	62.4
submodality	visual.short.png	32.0	41.6	29.2	36.4	34.4	33.6
piece_id	Anonymous_AusMeinesHerzensGrunde	38.888	48.111	42.357	45.69	49.112	47.548
piece_id	Bach_IchStehAnDeinerKrippe	34.112	39.666	29.276	31.499	22.055	50.667
piece_id	Gesius_BefiehlDuDeineWege	25.833	41.389	36.39	58.055	37.499	51.389
piece_id	Jan_DuGrosserSchmerzensmann	34.0	41.389	34.334	36.387	37.555	39.278
is_nota_correct	0	39.168	47.0	32.667	43.0	38.999	42.334
is_nota_correct	1	20.666	45.999	40.0	28.0	38.0	52.0
meta-question_id	1	28.886	37.776	18.888	32.221	26.664	37.776
meta-question_id	10	31.667	43.332	36.667	38.333	28.334	38.334
meta-question_id	11	19.999	26.666	9.999	16.667	20.0	16.666
meta-question_id	2	41.668	55.001	38.334	43.332	41.666	48.332
meta-question_id	3	24.442	32.22	21.109	37.777	24.442	38.887
meta-question_id	4	51.667	73.333	34.999	50.0	56.666	50.001
meta-question_id	5	42.221	51.11	52.224	44.443	44.444	57.78
meta-question_id	6	33.334	53.333	40.0	43.333	58.333	43.333
meta-question_id	7	32.22	37.778	37.776	38.886	42.22	47.777
meta-question_id	8	23.335	36.667	31.666	28.334	18.334	20.0
meta-question_id	9	60.0	71.664	45.0	58.334	65.001	71.667
category	harmony	40.667	51.332	34.666	42.001	41.332	47.332
category	pitch	34.667	46.668	26.668	39.666	35.0	42.666
category	rhythm	33.667	44.667	41.335	39.334	41.333	44.332
subcategory	harmonic-recognition	40.667	51.332	34.666	42.001	41.332	47.332
subcategory	interval-recognition	35.335	48.668	26.668	42.666	37.334	43.333
subcategory	pitch-recognition	34.0	44.666	26.666	36.667	32.666	42.0
subcategory	proportion-recognition	28.667	37.333	35.334	34.667	32.666	36.666
subcategory	rhythmic-recognition	38.667	52.0	47.335	44.001	49.999	52.0
skill	cadence recognition	19.999	26.666	9.999	16.667	20.0	16.666
skill	chord recognition	31.667	43.332	36.667	38.333	28.334	38.334
skill	interval recognition	24.442	32.22	21.109	37.777	24.442	38.887
skill	interval statistics	51.667	73.333	34.999	50.0	56.666	50.001
skill	note length	42.221	51.11	52.224	44.443	44.444	57.78
skill	note length statistics	33.334	53.333	40.0	43.333	58.333	43.333
skill	pitch recognition	28.886	37.776	18.888	32.221	26.664	37.776
skill	pitch statistics	41.668	55.001	38.334	43.332	41.666	48.332
skill	rhythm pattern	32.22	37.778	37.776	38.886	42.22	47.777
skill	rhythm pattern statistics	23.335	36.667	31.666	28.334	18.334	20.0
skill	tonality recognition	60.0	71.664	45.0	58.334	65.001	71.667
rel/abs	absolute	35.556	47.498	36.946	40.0	39.167	45.556
rel/abs	relative	35.385	46.154	31.538	40.001	38.461	43.077
specification	harmony-absolute	31.667	43.332	36.667	38.333	28.334	38.334
specification	harmony-relative	46.667	56.668	33.331	44.444	50.0	53.334
specification	pitch-absolute	34.0	44.666	26.666	36.667	32.666	42.0
specification	pitch-relative	35.335	48.668	26.668	42.666	37.334	43.333
specification	rhythm-absolute	38.667	52.0	47.335	44.001	49.999	52.0
specification	rhythm-relative	28.667	37.333	35.334	34.667	32.666	36.666
