Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
OVERALL	ALL	35.467	24.266	28.266	46.799	31.467	28.135	34.133	40.0	38.798	44.267	24.0
submodality	audio.mastermix.wav	28.8	22.4	29.6	34.8	29.2	36.0	26.4	26.8	32.0	36.8	24.0
submodality	symbolic.abc.txt	45.6	25.2	29.6	64.0	32.4	24.8	46.8	56.8	50.0	62.4	26.4
submodality	visual.short.png	32.0	25.2	25.6	41.6	32.8	23.6	29.2	36.4	34.4	33.6	21.6
piece_id	Anonymous_AusMeinesHerzensGrunde	38.888	32.461	27.078	48.111	29.554	19.174	42.357	45.69	49.112	47.548	28.436
piece_id	Bach_IchStehAnDeinerKrippe	34.112	24.388	26.055	39.666	38.167	25.888	29.276	31.499	22.055	50.667	25.277
piece_id	Gesius_BefiehlDuDeineWege	25.833	32.22	30.832	41.389	37.5	40.834	36.39	58.055	37.499	51.389	26.666
piece_id	Jan_DuGrosserSchmerzensmann	34.0	26.056	37.167	41.389	29.888	35.053	34.334	36.387	37.555	39.278	20.888
is_nota_correct	0	39.168	21.166	20.333	47.0	34.5	25.332	32.667	43.0	38.999	42.334	19.333
is_nota_correct	1	20.666	36.667	60.0	45.999	19.335	39.333	40.0	28.0	38.0	52.0	42.667
meta-question_id	1	28.886	23.331	22.22	37.776	19.998	16.665	18.888	32.221	26.664	37.776	27.776
meta-question_id	10	31.667	31.665	30.0	43.332	39.998	26.667	36.667	38.333	28.334	38.334	16.668
meta-question_id	11	19.999	29.999	9.999	26.666	26.665	19.999	9.999	16.667	20.0	16.666	9.999
meta-question_id	2	41.668	23.335	28.333	55.001	21.668	31.667	38.334	43.332	41.666	48.332	16.668
meta-question_id	3	24.442	17.776	19.998	32.22	25.555	25.554	21.109	37.777	24.442	38.887	23.331
meta-question_id	4	51.667	35.0	48.333	73.333	51.665	51.667	34.999	50.0	56.666	50.001	38.334
meta-question_id	5	42.221	16.665	33.332	51.11	38.888	34.441	52.224	44.443	44.444	57.78	15.554
meta-question_id	6	33.334	26.668	45.001	53.333	39.999	30.001	40.0	43.333	58.333	43.333	39.999
meta-question_id	7	32.22	18.887	21.109	37.778	27.775	29.997	37.776	38.886	42.22	47.777	23.331
meta-question_id	8	23.335	21.667	19.999	36.667	21.668	25.0	31.666	28.334	18.334	20.0	5.001
meta-question_id	9	60.0	35.0	31.667	71.664	36.666	16.668	45.0	58.334	65.001	71.667	43.332
category	harmony	40.667	32.667	26.667	51.332	36.0	21.333	34.666	42.001	41.332	47.332	26.0
category	pitch	34.667	24.001	27.999	46.668	28.333	29.332	26.668	39.666	35.0	42.666	26.331
category	rhythm	33.667	20.333	29.334	44.667	32.334	30.336	41.335	39.334	41.333	44.332	20.666
subcategory	harmonic-recognition	40.667	32.667	26.667	51.332	36.0	21.333	34.666	42.001	41.332	47.332	26.0
subcategory	interval-recognition	35.335	24.667	31.334	48.668	36.0	36.001	26.668	42.666	37.334	43.333	29.335
subcategory	pitch-recognition	34.0	23.333	24.666	44.666	20.668	22.667	26.666	36.667	32.666	42.0	23.333
subcategory	proportion-recognition	28.667	20.0	20.666	37.333	25.334	28.0	35.334	34.667	32.666	36.666	16.0
