Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
OVERALL	ALL	1500	44.33	0.0	0.12	7190.4	1.49648	35.73	0.0	0.0	5271.68	0.213985	30.67	6.15	0.0	15204.3	2.428061
submodality	audio.mastermix.wav	500	31.4	0.0	0.29	2174.6	0.354216	31.2	0.0	0.0	2033.57	0.050862	28.2	1.11	0.0	2095.08	2.097337
submodality	symbolic.abc.txt	500	60.4	0.0	0.0	2577.24	0.594275	42.8	0.0	0.0	1864.82	0.095034	37.2	0.0	0.0	4231.61	0.128914
submodality	visual.short.png	500	41.2	0.0	0.0	2438.56	0.54799	33.2	0.0	0.0	1373.28	0.06809	26.6	16.35	0.0	8877.6	0.201811
piece_id	Anonymous_AusMeinesHerzensGrunde	111	43.24	0.0	0.0	610.8	0.124626	33.33	0.0	0.0	425.13	0.019249	27.03	2.47	0.0	1071.83	0.241635
piece_id	Bach_IchStehAnDeinerKrippe	147	48.98	0.0	0.0	699.76	0.139815	34.69	0.0	0.0	504.3	0.019968	30.61	8.82	0.0	1307.02	0.25265
piece_id	Crueger_AufAufMeinHerzMitFreuden	168	41.07	0.0	0.0	760.28	0.178529	25.6	0.0	0.0	631.25	0.027558	28.57	4.17	0.0	1320.16	0.313629
piece_id	Drese_JesuGehVoran	150	44.0	0.0	1.19	693.64	0.139034	39.33	0.0	0.0	519.22	0.019501	34.0	6.06	0.0	1449.0	0.200869
piece_id	Gesius_BefiehlDuDeineWege	123	39.02	0.0	0.0	587.1	0.128371	39.84	0.0	0.0	402.95	0.016378	34.96	6.25	0.0	1132.88	0.220074
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	156	46.79	0.0	0.0	876.09	0.146533	39.1	0.0	0.0	508.85	0.020301	34.62	9.8	0.0	1659.76	0.222425
piece_id	Jan_DuGrosserSchmerzensmann	195	41.03	0.0	0.0	966.6	0.20203	29.23	0.0	0.0	731.93	0.033086	22.05	7.89	0.0	3334.5	0.351826
piece_id	Telemann_DerLiebenSonneLichtUndPracht	153	45.75	0.0	0.0	667.24	0.170349	41.18	0.0	0.0	568.45	0.022274	35.29	2.02	0.0	1401.04	0.340277
piece_id	Vulpius_ChristusDerIstMeinLeben	150	48.67	0.0	0.0	706.23	0.136049	37.33	0.0	0.0	489.01	0.017677	34.0	7.07	0.0	1067.82	0.162429
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	147	44.9	0.0	0.0	622.67	0.131144	40.82	0.0	0.0	490.59	0.017994	27.89	5.66	0.0	1460.28	0.122246
