Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001	aggregate-mistral
OVERALL	ALL	1500	44.33	35.73	30.67
submodality	audio.mastermix.wav	500	31.4	31.2	28.2
submodality	symbolic.abc.txt	500	60.4	42.8	37.2
submodality	visual.short.png	500	41.2	33.2	26.6
piece_id	Anonymous_AusMeinesHerzensGrunde	111	43.24	33.33	27.03
piece_id	Bach_IchStehAnDeinerKrippe	147	48.98	34.69	30.61
piece_id	Crueger_AufAufMeinHerzMitFreuden	168	41.07	25.6	28.57
piece_id	Drese_JesuGehVoran	150	44.0	39.33	34.0
piece_id	Gesius_BefiehlDuDeineWege	123	39.02	39.84	34.96
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	156	46.79	39.1	34.62
piece_id	Jan_DuGrosserSchmerzensmann	195	41.03	29.23	22.05
piece_id	Telemann_DerLiebenSonneLichtUndPracht	153	45.75	41.18	35.29
piece_id	Vulpius_ChristusDerIstMeinLeben	150	48.67	37.33	34.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	147	44.9	40.82	27.89
is_nota_correct	0	1200	44.08	37.33	29.33
is_nota_correct	1	300	45.33	29.33	36.0
meta-question_id	1	150	32.67	30.67	26.0
meta-question_id	10	120	48.33	50.83	34.17
meta-question_id	11	120	26.67	23.33	20.83
meta-question_id	2	150	53.33	32.67	36.67
meta-question_id	3	150	32.67	28.67	20.0
meta-question_id	4	150	57.33	42.0	30.0
meta-question_id	5	150	56.67	34.67	42.67
meta-question_id	6	150	60.67	56.67	42.67
meta-question_id	7	150	48.0	36.0	35.33
meta-question_id	8	150	18.0	13.33	11.33
meta-question_id	9	60	60.0	58.33	45.0
category	harmony	300	42.0	41.33	31.0
category	pitch	600	44.0	33.5	28.17
category	rhythm	600	45.83	35.17	33.0
subcategory	harmonic-recognition	300	42.0	41.33	31.0
subcategory	interval-recognition	300	45.0	35.33	25.0
subcategory	pitch-recognition	300	43.0	31.67	31.33
subcategory	proportion-recognition	300	33.0	24.67	23.33
subcategory	rhythmic-recognition	300	58.67	45.67	42.67
skill	cadence recognition	120	26.67	23.33	20.83
skill	chord recognition	120	48.33	50.83	34.17
skill	interval recognition	150	32.67	28.67	20.0
skill	interval statistics	150	57.33	42.0	30.0
skill	note length	150	56.67	34.67	42.67
skill	note length statistics	150	60.67	56.67	42.67
skill	pitch recognition	150	32.67	30.67	26.0
skill	pitch statistics	150	53.33	32.67	36.67
skill	rhythm pattern	150	48.0	36.0	35.33
skill	rhythm pattern statistics	150	18.0	13.33	11.33
skill	tonality recognition	60	60.0	58.33	45.0
rel/abs	absolute	720	50.42	40.69	36.53
rel/abs	relative	780	38.72	31.15	25.26
specification	harmony-absolute	120	48.33	50.83	34.17
specification	harmony-relative	180	37.78	35.0	28.89
specification	pitch-absolute	300	43.0	31.67	31.33
specification	pitch-relative	300	45.0	35.33	25.0
specification	rhythm-absolute	300	58.67	45.67	42.67
specification	rhythm-relative	300	33.0	24.67	23.33
