Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	44.8	28.67	28.0	32.27	40.8	36.53	22.8	24.53
submodality	audio.mastermix.wav	250	31.6	27.6	28.4	27.6	29.6	28.8	23.2	24.4
submodality	symbolic.abc.txt	250	60.8	29.6	27.6	41.2	62.8	46.4	21.2	24.4
submodality	visual.short.png	250	42.0	28.8	28.0	28.0	30.0	34.4	24.0	24.8
piece_id	Anonymous_AusMeinesHerzensGrunde	78	47.44	26.92	24.36	37.18	50.0	47.44	19.23	25.64
piece_id	Bach_IchStehAnDeinerKrippe	66	33.33	28.79	30.3	37.88	36.36	42.42	25.76	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	44.44	31.11	38.89	28.89	43.33	31.11	20.0	30.0
piece_id	Drese_JesuGehVoran	51	52.94	33.33	27.45	29.41	37.25	49.02	33.33	27.45
piece_id	Gesius_BefiehlDuDeineWege	99	46.46	25.25	22.22	33.33	42.42	29.29	23.23	24.24
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	81	51.85	24.69	27.16	28.4	34.57	33.33	14.81	28.4
piece_id	Jan_DuGrosserSchmerzensmann	87	33.33	27.59	21.84	34.48	34.48	34.48	22.99	19.54
piece_id	Telemann_DerLiebenSonneLichtUndPracht	72	48.61	38.89	31.94	37.5	44.44	30.56	26.39	19.44
piece_id	Vulpius_ChristusDerIstMeinLeben	63	44.44	20.63	23.81	17.46	38.1	34.92	20.63	12.7
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	47.62	31.75	33.33	36.51	46.03	41.27	26.98	23.81
is_nota_correct	0	600	44.83	31.67	25.17	33.33	39.83	39.0	19.17	18.17
is_nota_correct	1	150	44.67	16.67	39.33	28.0	44.67	26.67	37.33	50.0
meta-question_id	1	75	32.0	20.0	25.33	25.33	34.67	32.0	17.33	17.33
meta-question_id	10	51	56.86	37.25	27.45	29.41	27.45	23.53	19.61	23.53
meta-question_id	11	48	33.33	31.25	25.0	18.75	27.08	35.42	31.25	20.83
meta-question_id	2	75	45.33	18.67	25.33	18.67	45.33	37.33	16.0	18.67
meta-question_id	3	75	28.0	29.33	12.0	18.67	24.0	25.33	8.0	12.0
meta-question_id	4	75	56.0	42.67	42.67	28.0	52.0	46.67	30.67	30.67
meta-question_id	5	75	60.0	30.67	32.0	45.33	44.0	38.67	25.33	17.33
meta-question_id	6	75	54.67	40.0	40.0	58.67	70.67	65.33	41.33	53.33
meta-question_id	7	75	48.0	33.33	32.0	48.0	44.0	38.67	26.67	34.67
meta-question_id	8	75	21.33	10.67	12.0	17.33	25.33	10.67	13.33	13.33
meta-question_id	9	51	62.75	23.53	35.29	45.1	47.06	47.06	23.53	27.45
category	harmony	150	51.33	30.67	29.33	31.33	34.0	35.33	24.67	24.0
category	pitch	300	40.33	27.67	26.33	22.67	39.0	35.33	18.0	19.67
category	rhythm	300	46.0	28.67	29.0	42.33	46.0	38.33	26.67	29.67
subcategory	harmonic-recognition	150	51.33	30.67	29.33	31.33	34.0	35.33	24.67	24.0
subcategory	interval-recognition	150	42.0	36.0	27.33	23.33	38.0	36.0	19.33	21.33
subcategory	pitch-recognition	150	38.67	19.33	25.33	22.0	40.0	34.67	16.67	18.0
subcategory	proportion-recognition	150	34.67	22.0	22.0	32.67	34.67	24.67	20.0	24.0
subcategory	rhythmic-recognition	150	57.33	35.33	36.0	52.0	57.33	52.0	33.33	35.33
skill	cadence recognition	48	33.33	31.25	25.0	18.75	27.08	35.42	31.25	20.83
skill	chord recognition	51	56.86	37.25	27.45	29.41	27.45	23.53	19.61	23.53
skill	interval recognition	75	28.0	29.33	12.0	18.67	24.0	25.33	8.0	12.0
skill	interval statistics	75	56.0	42.67	42.67	28.0	52.0	46.67	30.67	30.67
skill	note length	75	60.0	30.67	32.0	45.33	44.0	38.67	25.33	17.33
skill	note length statistics	75	54.67	40.0	40.0	58.67	70.67	65.33	41.33	53.33
skill	pitch recognition	75	32.0	20.0	25.33	25.33	34.67	32.0	17.33	17.33
skill	pitch statistics	75	45.33	18.67	25.33	18.67	45.33	37.33	16.0	18.67
skill	rhythm pattern	75	48.0	33.33	32.0	48.0	44.0	38.67	26.67	34.67
skill	rhythm pattern statistics	75	21.33	10.67	12.0	17.33	25.33	10.67	13.33	13.33
skill	tonality recognition	51	62.75	23.53	35.29	45.1	47.06	47.06	23.53	27.45
rel/abs	absolute	351	49.29	28.77	30.2	35.9	45.58	40.46	24.22	26.21
rel/abs	relative	399	40.85	28.57	26.07	29.07	36.59	33.08	21.55	23.06
specification	harmony-absolute	51	56.86	37.25	27.45	29.41	27.45	23.53	19.61	23.53
specification	harmony-relative	99	48.48	27.27	30.3	32.32	37.37	41.41	27.27	24.24
specification	pitch-absolute	150	38.67	19.33	25.33	22.0	40.0	34.67	16.67	18.0
specification	pitch-relative	150	42.0	36.0	27.33	23.33	38.0	36.0	19.33	21.33
specification	rhythm-absolute	150	57.33	35.33	36.0	52.0	57.33	52.0	33.33	35.33
specification	rhythm-relative	150	34.67	22.0	22.0	32.67	34.67	24.67	20.0	24.0
