Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	75	40.0	22.67	32.0	44.0	42.67	22.67	38.67	29.33	37.33	34.67	37.33
submodality	audio.mastermix.wav	25	20.0	12.0	44.0	28.0	36.0	8.0	40.0	20.0	44.0	32.0	32.0
submodality	symbolic.abc.txt	25	60.0	32.0	28.0	60.0	52.0	40.0	40.0	24.0	48.0	48.0	44.0
submodality	visual.short.png	25	40.0	24.0	24.0	44.0	40.0	20.0	36.0	44.0	20.0	24.0	36.0
piece_id	Anonymous_AusMeinesHerzensGrunde	3	66.67	33.33	33.33	100.0	100.0	66.67	100.0	0.0	33.33	100.0	100.0
piece_id	Bach_IchStehAnDeinerKrippe	9	22.22	0.0	22.22	22.22	22.22	22.22	22.22	11.11	33.33	33.33	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	16.67	8.33	16.67	50.0	8.33	16.67	33.33	8.33	33.33	16.67	33.33
piece_id	Drese_JesuGehVoran	12	25.0	16.67	25.0	25.0	33.33	16.67	25.0	33.33	16.67	25.0	25.0
piece_id	Gesius_BefiehlDuDeineWege	6	66.67	66.67	83.33	50.0	100.0	33.33	66.67	83.33	83.33	83.33	83.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	33.33	16.67	0.0	16.67	16.67	33.33	33.33	50.0	16.67	33.33	33.33
piece_id	Jan_DuGrosserSchmerzensmann	6	50.0	0.0	33.33	16.67	16.67	16.67	50.0	16.67	33.33	50.0	16.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	55.56	33.33	44.44	61.11	61.11	22.22	27.78	27.78	50.0	27.78	33.33
piece_id	Vulpius_ChristusDerIstMeinLeben	3	66.67	66.67	33.33	100.0	100.0	0.0	100.0	66.67	33.33	0.0	33.33
is_nota_correct	0	60	46.67	26.67	30.0	46.67	35.0	16.67	45.0	28.33	30.0	38.33	40.0
is_nota_correct	1	15	13.33	6.67	40.0	33.33	73.33	46.67	13.33	33.33	66.67	20.0	26.67
meta-question_id	1	9	22.22	11.11	0.0	22.22	11.11	33.33	33.33	44.44	22.22	22.22	33.33
meta-question_id	10	6	50.0	33.33	50.0	33.33	33.33	16.67	66.67	33.33	16.67	33.33	33.33
meta-question_id	11	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
meta-question_id	2	6	50.0	0.0	33.33	50.0	33.33	0.0	16.67	0.0	33.33	33.33	16.67
meta-question_id	3	9	11.11	11.11	33.33	44.44	44.44	44.44	44.44	11.11	44.44	22.22	22.22
meta-question_id	4	6	66.67	50.0	66.67	33.33	83.33	50.0	50.0	50.0	50.0	50.0	50.0
meta-question_id	5	9	22.22	22.22	44.44	55.56	55.56	11.11	22.22	33.33	66.67	33.33	44.44
meta-question_id	6	6	50.0	33.33	16.67	66.67	66.67	33.33	33.33	66.67	50.0	16.67	83.33
meta-question_id	7	9	55.56	22.22	22.22	55.56	44.44	11.11	66.67	33.33	33.33	44.44	44.44
meta-question_id	8	6	66.67	50.0	66.67	50.0	33.33	0.0	16.67	33.33	33.33	50.0	16.67
meta-question_id	9	6	50.0	16.67	16.67	50.0	50.0	33.33	50.0	0.0	33.33	66.67	50.0
category	harmony	15	40.0	20.0	26.67	33.33	33.33	20.0	46.67	13.33	20.0	40.0	33.33
category	pitch	30	33.33	16.67	30.0	36.67	40.0	33.33	36.67	26.67	36.67	30.0	30.0
category	rhythm	30	46.67	30.0	36.67	56.67	50.0	13.33	36.67	40.0	46.67	36.67	46.67
subcategory	harmonic-recognition	15	40.0	20.0	26.67	33.33	33.33	20.0	46.67	13.33	20.0	40.0	33.33
subcategory	interval-recognition	15	33.33	26.67	46.67	40.0	60.0	46.67	46.67	26.67	46.67	33.33	33.33
subcategory	pitch-recognition	15	33.33	6.67	13.33	33.33	20.0	20.0	26.67	26.67	26.67	26.67	26.67
subcategory	proportion-recognition	15	60.0	33.33	40.0	53.33	40.0	6.67	46.67	33.33	33.33	46.67	33.33
subcategory	rhythmic-recognition	15	33.33	26.67	33.33	60.0	60.0	20.0	26.67	46.67	60.0	26.67	60.0
skill	cadence recognition	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skill	chord recognition	6	50.0	33.33	50.0	33.33	33.33	16.67	66.67	33.33	16.67	33.33	33.33
skill	interval recognition	9	11.11	11.11	33.33	44.44	44.44	44.44	44.44	11.11	44.44	22.22	22.22
skill	interval statistics	6	66.67	50.0	66.67	33.33	83.33	50.0	50.0	50.0	50.0	50.0	50.0
