Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
text-only-google/gemini-2.0-flash-lite-001	OVERALL	ALL	27.411	2.0313	11.097	0.0	2726.5	0.0983
text-only-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	29.838	6.5651	2.83	0.0	875.33	0.0313
text-only-google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	26.893	7.9333	18.066	0.0	976.37	0.0361
text-only-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	25.315	4.3267	11.536	0.0	874.8	0.0308
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	0	24.666	2.5026	9.917	0.0	2156.35	0.0773
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	1	38.367	10.3434	17.446	0.0	570.17	0.021
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	0	20.523	13.7557	0.0	0.0	232.4	0.0082
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	1	30.087	18.2097	4.444	0.0	144.11	0.0048
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	2	21.266	11.4177	19.939	0.0	273.99	0.0099
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	3	37.3	13.3263	3.334	0.0	155.35	0.0053
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	4	24.223	8.9837	8.285	0.0	441.2	0.0162
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	5	37.347	21.3033	0.833	0.0	282.86	0.0101
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	6	18.671	14.1808	3.929	0.0	183.64	0.0069
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	7	36.397	20.9539	8.334	0.0	340.29	0.0123
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	8	29.733	12.2407	24.426	0.0	519.61	0.0192
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	9	15.675	9.9862	27.31	0.0	153.03	0.0052
text-only-google/gemini-2.0-flash-lite-001	category	harmony	28.856	7.5848	20.074	0.0	1012.95	0.0368
text-only-google/gemini-2.0-flash-lite-001	category	pitch	26.213	6.2017	7.702	0.0	805.87	0.0282
text-only-google/gemini-2.0-flash-lite-001	category	rhythm	27.344	7.6708	5.784	0.0	907.71	0.0333
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	29.733	12.2407	24.426	0.0	519.61	0.0192
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	27.786	12.9763	16.833	0.0	493.33	0.0175
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	24.476	11.7137	1.556	0.0	376.51	0.013
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	28.214	7.7021	14.082	0.0	429.34	0.0152
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	24.223	8.9837	8.285	0.0	441.2	0.0162
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	30.205	13.0555	2.468	0.0	466.52	0.017
text-only-google/gemini-2.0-flash-lite-001	skill	cadence recognition	15.675	9.9862	27.31	0.0	153.03	0.0052
text-only-google/gemini-2.0-flash-lite-001	skill	chord recognition	29.733	12.2407	24.426	0.0	519.61	0.0192
text-only-google/gemini-2.0-flash-lite-001	skill	interval recognition	21.266	11.4177	19.939	0.0	273.99	0.0099
text-only-google/gemini-2.0-flash-lite-001	skill	interval statistics	37.3	13.3263	3.334	0.0	155.35	0.0053
text-only-google/gemini-2.0-flash-lite-001	skill	note length	24.223	8.9837	8.285	0.0	441.2	0.0162
text-only-google/gemini-2.0-flash-lite-001	skill	pitch recognition	20.523	13.7557	0.0	0.0	232.4	0.0082
text-only-google/gemini-2.0-flash-lite-001	skill	pitch statistics	30.087	18.2097	4.444	0.0	144.11	0.0048
text-only-google/gemini-2.0-flash-lite-001	skill	rhythm pattern	18.671	14.1808	3.929	0.0	183.64	0.0069
text-only-google/gemini-2.0-flash-lite-001	skill	time signature	37.347	21.3033	0.833	0.0	282.86	0.0101
text-only-google/gemini-2.0-flash-lite-001	skill	tonality recognition	36.397	20.9539	8.334	0.0	340.29	0.0123
text-only-google/gemini-2.0-flash-lite-001	rel/abs	absolute	26.001	6.4246	11.293	0.0	1337.34	0.0485
text-only-google/gemini-2.0-flash-lite-001	rel/abs	relative	28.739	8.1039	11.089	0.0	1389.16	0.0498
