Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
OVERALL	ALL	1500	45.6	0.0	0.0	5262.97	1.501258	37.27	0.0	0.0	4933.7	0.212881	34.07	1.72	0.1	14734.52	2.555661
submodality	audio.mastermix.wav	500	36.8	0.0	0.0	1610.0	0.365515	31.4	0.0	0.0	1932.17	0.052769	31.2	0.0	0.29	2735.19	2.229302
submodality	symbolic.abc.txt	500	59.8	0.0	0.0	1834.97	0.592944	43.0	0.0	0.0	1727.33	0.091569	40.2	0.0	0.0	4522.33	0.135362
submodality	visual.short.png	500	40.2	0.0	0.0	1818.01	0.542799	37.4	0.0	0.0	1274.2	0.068543	30.8	4.91	0.0	7476.99	0.190997
piece_id	Anonymous_AusMeinesHerzensGrunde	168	43.45	0.0	0.0	631.71	0.187352	35.71	0.0	0.0	637.86	0.028844	27.98	0.83	0.0	1710.3	0.371225
piece_id	Bach_IchStehAnDeinerKrippe	165	35.76	0.0	0.0	558.15	0.168669	27.27	0.0	0.0	525.96	0.022196	24.85	1.61	0.0	1451.01	0.288132
piece_id	Crueger_AufAufMeinHerzMitFreuden	168	38.69	0.0	0.0	598.88	0.183017	31.55	0.0	0.0	620.55	0.028377	29.17	1.68	0.0	1550.15	0.319641
piece_id	Drese_JesuGehVoran	135	48.15	0.0	0.0	488.66	0.126462	38.52	0.0	0.0	388.85	0.016866	33.33	3.33	0.0	721.28	0.16799
piece_id	Gesius_BefiehlDuDeineWege	123	50.41	0.0	0.0	441.3	0.122075	44.72	0.0	0.0	408.92	0.016309	45.53	1.49	0.0	848.51	0.214401
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	153	47.71	0.0	0.0	527.02	0.153358	35.95	0.0	0.0	480.55	0.021286	30.07	0.93	0.93	2034.38	0.230755
