Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	40.93	31.07	26.93	37.33	21.6	27.33
submodality	audio.mastermix.wav	250	26.8	28.8	27.6	34.8	23.6	29.6
submodality	symbolic.abc.txt	250	58.4	27.6	28.4	42.0	19.2	27.2
submodality	visual.short.png	250	37.6	36.8	24.8	35.2	22.0	25.2
piece_id	Anonymous_AusMeinesHerzensGrunde	84	36.9	34.52	33.33	45.24	21.43	33.33
piece_id	Bach_IchStehAnDeinerKrippe	102	38.24	39.22	29.41	41.18	20.59	24.51
piece_id	Crueger_AufAufMeinHerzMitFreuden	57	45.61	24.56	21.05	26.32	19.3	24.56
piece_id	Drese_JesuGehVoran	84	40.48	26.19	25.0	35.71	22.62	25.0
piece_id	Gesius_BefiehlDuDeineWege	84	44.05	35.71	32.14	41.67	21.43	34.52
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	45	48.89	28.89	24.44	35.56	15.56	17.78
piece_id	Jan_DuGrosserSchmerzensmann	75	24.0	20.0	18.67	24.0	17.33	20.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	75	52.0	38.67	20.0	45.33	32.0	32.0
piece_id	Vulpius_ChristusDerIstMeinLeben	69	46.38	26.09	33.33	31.88	15.94	31.88
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	75	38.67	30.67	28.0	40.0	26.67	25.33
is_nota_correct	0	600	40.83	32.83	23.33	39.33	18.5	20.17
is_nota_correct	1	150	41.33	24.0	41.33	29.33	34.0	56.0
meta-question_id	1	75	34.67	18.67	18.67	40.0	20.0	18.67
meta-question_id	10	51	41.18	47.06	21.57	47.06	27.45	33.33
meta-question_id	11	48	10.42	18.75	22.92	22.92	18.75	14.58
meta-question_id	2	75	54.67	21.33	30.67	28.0	25.33	28.0
meta-question_id	3	75	24.0	33.33	25.33	25.33	20.0	22.67
meta-question_id	4	75	42.67	37.33	29.33	50.67	20.0	34.67
meta-question_id	5	75	58.67	41.33	28.0	42.67	18.67	32.0
meta-question_id	6	75	49.33	37.33	41.33	46.67	17.33	42.67
meta-question_id	7	75	42.67	33.33	33.33	41.33	29.33	36.0
meta-question_id	8	75	24.0	18.67	17.33	20.0	12.0	14.67
meta-question_id	9	51	64.71	37.25	23.53	47.06	33.33	17.65
category	harmony	150	39.33	34.67	22.67	39.33	26.67	22.0
category	pitch	300	39.0	27.67	26.0	36.0	21.33	26.0
category	rhythm	300	43.67	32.67	30.0	37.67	19.33	31.33
subcategory	harmonic-recognition	150	39.33	34.67	22.67	39.33	26.67	22.0
subcategory	interval-recognition	150	33.33	35.33	27.33	38.0	20.0	28.67
subcategory	pitch-recognition	150	44.67	20.0	24.67	34.0	22.67	23.33
subcategory	proportion-recognition	150	33.33	26.0	25.33	30.67	20.67	25.33
subcategory	rhythmic-recognition	150	54.0	39.33	34.67	44.67	18.0	37.33
skill	cadence recognition	48	10.42	18.75	22.92	22.92	18.75	14.58
skill	chord recognition	51	41.18	47.06	21.57	47.06	27.45	33.33
skill	interval recognition	75	24.0	33.33	25.33	25.33	20.0	22.67
skill	interval statistics	75	42.67	37.33	29.33	50.67	20.0	34.67
skill	note length	75	58.67	41.33	28.0	42.67	18.67	32.0
skill	note length statistics	75	49.33	37.33	41.33	46.67	17.33	42.67
skill	pitch recognition	75	34.67	18.67	18.67	40.0	20.0	18.67
skill	pitch statistics	75	54.67	21.33	30.67	28.0	25.33	28.0
skill	rhythm pattern	75	42.67	33.33	33.33	41.33	29.33	36.0
skill	rhythm pattern statistics	75	24.0	18.67	17.33	20.0	12.0	14.67
skill	tonality recognition	51	64.71	37.25	23.53	47.06	33.33	17.65
rel/abs	absolute	351	48.15	32.19	28.49	40.46	21.37	30.77
rel/abs	relative	399	34.59	30.08	25.56	34.59	21.8	24.31
specification	harmony-absolute	51	41.18	47.06	21.57	47.06	27.45	33.33
specification	harmony-relative	99	38.38	28.28	23.23	35.35	26.26	16.16
specification	pitch-absolute	150	44.67	20.0	24.67	34.0	22.67	23.33
specification	pitch-relative	150	33.33	35.33	27.33	38.0	20.0	28.67
specification	rhythm-absolute	150	54.0	39.33	34.67	44.67	18.0	37.33
specification	rhythm-relative	150	33.33	26.0	25.33	30.67	20.67	25.33
