Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	23.067	12.717	0.0	4031.61	0.1378	30.334	0.093	0.0	4068.09	0.7961	23.066	0.0	0.0	20215.01	0.0
submodality	audio.mastermix.wav	22.4	4.894	0.0	1272.22	0.0426	26.8	0.0	0.0	1214.65	0.2028	25.4	0.0	0.0	2757.05	0.0
submodality	symbolic.abc.txt	22.6	22.632	0.0	1514.11	0.0533	34.4	0.0	0.0	1459.05	0.2873	22.4	0.0	0.0	11356.99	0.0
submodality	visual.short.png	24.2	10.93	0.0	1245.26	0.0419	29.8	0.303	0.0	1394.4	0.3059	21.4	0.0	0.0	6100.97	0.0
piece_id	Anonymous_AusMeinesHerzensGrunde	19.017	2.471	0.0	367.64	0.0127	30.653	0.0	0.0	343.38	0.0685	27.483	0.0	0.0	1615.96	0.0
piece_id	Bach_IchStehAnDeinerKrippe	22.196	14.584	0.0	490.79	0.017	35.853	1.429	0.0	483.9	0.0953	20.612	0.0	0.0	2912.88	0.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	20.985	18.497	0.0	536.0	0.018	27.119	0.0	0.0	592.81	0.1087	27.093	0.0	0.0	2806.96	0.0
piece_id	Gesius_BefiehlDuDeineWege	21.834	9.565	0.0	383.62	0.0137	26.166	0.0	0.0	377.79	0.0774	16.638	0.0	0.0	1764.37	0.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	22.888	9.876	0.0	310.73	0.0104	23.778	0.0	0.0	282.46	0.0539	28.833	0.0	0.0	1551.95	0.0
piece_id	Jan_DuGrosserSchmerzensmann	22.318	10.373	0.0	447.83	0.0152	23.604	0.0	0.0	452.73	0.0896	15.401	0.0	0.0	2340.97	0.0
