Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	25.33	24.33
submodality	audio.mastermix.wav	100	27.0	27.0
submodality	symbolic.abc.txt	100	30.0	27.0
submodality	visual.short.png	100	19.0	19.0
piece_id	Anonymous_AusMeinesHerzensGrunde	39	23.08	17.95
piece_id	Bach_IchStehAnDeinerKrippe	15	6.67	13.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	33	24.24	24.24
piece_id	Drese_JesuGehVoran	21	33.33	42.86
piece_id	Gesius_BefiehlDuDeineWege	33	18.18	39.39
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	33	30.3	24.24
piece_id	Jan_DuGrosserSchmerzensmann	33	33.33	30.3
piece_id	Telemann_DerLiebenSonneLichtUndPracht	36	22.22	19.44
piece_id	Vulpius_ChristusDerIstMeinLeben	33	39.39	18.18
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	12.5	12.5
is_nota_correct	0	240	25.0	19.17
is_nota_correct	1	60	26.67	45.0
meta-question_id	1	30	26.67	26.67
meta-question_id	10	21	19.05	28.57
meta-question_id	11	18	16.67	16.67
meta-question_id	2	30	30.0	13.33
meta-question_id	3	30	3.33	13.33
meta-question_id	4	30	23.33	23.33
meta-question_id	5	30	26.67	16.67
meta-question_id	6	30	36.67	43.33
meta-question_id	7	30	46.67	33.33
meta-question_id	8	30	20.0	23.33
meta-question_id	9	21	23.81	28.57
category	harmony	60	20.0	25.0
category	pitch	120	20.83	19.17
category	rhythm	120	32.5	29.17
subcategory	harmonic-recognition	60	20.0	25.0
subcategory	interval-recognition	60	13.33	18.33
subcategory	pitch-recognition	60	28.33	20.0
subcategory	proportion-recognition	60	33.33	28.33
subcategory	rhythmic-recognition	60	31.67	30.0
skill	cadence recognition	18	16.67	16.67
skill	chord recognition	21	19.05	28.57
skill	interval recognition	30	3.33	13.33
skill	interval statistics	30	23.33	23.33
skill	note length	30	26.67	16.67
skill	note length statistics	30	36.67	43.33
skill	pitch recognition	30	26.67	26.67
skill	pitch statistics	30	30.0	13.33
skill	rhythm pattern	30	46.67	33.33
skill	rhythm pattern statistics	30	20.0	23.33
skill	tonality recognition	21	23.81	28.57
rel/abs	absolute	141	28.37	25.53
rel/abs	relative	159	22.64	23.27
specification	harmony-absolute	21	19.05	28.57
specification	harmony-relative	39	20.51	23.08
specification	pitch-absolute	60	28.33	20.0
specification	pitch-relative	60	13.33	18.33
specification	rhythm-absolute	60	31.67	30.0
specification	rhythm-relative	60	33.33	28.33
