Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	150	36.67	34.67	36.0	39.33	38.0	38.67
submodality	audio.mastermix.wav	50	22.0	28.0	28.0	28.0	26.0	38.0
submodality	symbolic.abc.txt	50	48.0	42.0	52.0	48.0	54.0	48.0
submodality	visual.short.png	50	40.0	34.0	28.0	42.0	34.0	30.0
piece_id	Anonymous_AusMeinesHerzensGrunde	15	33.33	40.0	60.0	40.0	60.0	60.0
piece_id	Bach_IchStehAnDeinerKrippe	15	20.0	26.67	46.67	26.67	46.67	26.67
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	33.33	38.89	38.89	33.33	50.0	38.89
piece_id	Drese_JesuGehVoran	18	27.78	22.22	33.33	38.89	38.89	27.78
piece_id	Gesius_BefiehlDuDeineWege	9	22.22	33.33	33.33	55.56	44.44	22.22
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	26.67	26.67	20.0	26.67	6.67	33.33
piece_id	Jan_DuGrosserSchmerzensmann	24	41.67	41.67	16.67	37.5	33.33	37.5
piece_id	Telemann_DerLiebenSonneLichtUndPracht	21	61.9	38.1	42.86	52.38	28.57	42.86
piece_id	Vulpius_ChristusDerIstMeinLeben	9	33.33	44.44	33.33	44.44	33.33	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	66.67	33.33	50.0	50.0	50.0	83.33
is_nota_correct	0	120	32.5	32.5	31.67	38.33	42.5	38.33
is_nota_correct	1	30	53.33	43.33	53.33	43.33	20.0	40.0
meta-question_id	1	15	33.33	26.67	40.0	33.33	13.33	20.0
meta-question_id	10	9	33.33	22.22	22.22	22.22	33.33	11.11
meta-question_id	11	9	11.11	33.33	44.44	44.44	44.44	22.22
meta-question_id	2	15	46.67	33.33	33.33	53.33	53.33	33.33
meta-question_id	3	15	33.33	20.0	6.67	26.67	6.67	20.0
meta-question_id	4	15	40.0	40.0	46.67	53.33	33.33	66.67
meta-question_id	5	15	53.33	26.67	33.33	33.33	33.33	40.0
meta-question_id	6	15	33.33	26.67	46.67	40.0	40.0	40.0
meta-question_id	7	15	40.0	66.67	40.0	46.67	60.0	66.67
meta-question_id	8	15	0.0	20.0	13.33	13.33	40.0	13.33
meta-question_id	9	12	75.0	66.67	75.0	66.67	66.67	83.33
category	harmony	30	43.33	43.33	50.0	46.67	50.0	43.33
category	pitch	60	38.33	30.0	31.67	41.67	26.67	35.0
category	rhythm	60	31.67	35.0	33.33	33.33	43.33	40.0
subcategory	harmonic-recognition	30	43.33	43.33	50.0	46.67	50.0	43.33
subcategory	interval-recognition	30	36.67	30.0	26.67	40.0	20.0	43.33
subcategory	pitch-recognition	30	40.0	30.0	36.67	43.33	33.33	26.67
subcategory	proportion-recognition	30	20.0	43.33	26.67	30.0	50.0	40.0
subcategory	rhythmic-recognition	30	43.33	26.67	40.0	36.67	36.67	40.0
skill	cadence recognition	9	11.11	33.33	44.44	44.44	44.44	22.22
skill	chord recognition	9	33.33	22.22	22.22	22.22	33.33	11.11
skill	interval recognition	15	33.33	20.0	6.67	26.67	6.67	20.0
skill	interval statistics	15	40.0	40.0	46.67	53.33	33.33	66.67
skill	note length	15	53.33	26.67	33.33	33.33	33.33	40.0
skill	note length statistics	15	33.33	26.67	46.67	40.0	40.0	40.0
skill	pitch recognition	15	33.33	26.67	40.0	33.33	13.33	20.0
skill	pitch statistics	15	46.67	33.33	33.33	53.33	53.33	33.33
skill	rhythm pattern	15	40.0	66.67	40.0	46.67	60.0	66.67
skill	rhythm pattern statistics	15	0.0	20.0	13.33	13.33	40.0	13.33
skill	tonality recognition	12	75.0	66.67	75.0	66.67	66.67	83.33
rel/abs	absolute	69	40.58	27.54	36.23	37.68	34.78	30.43
rel/abs	relative	81	33.33	40.74	35.8	40.74	40.74	45.68
specification	harmony-absolute	9	33.33	22.22	22.22	22.22	33.33	11.11
specification	harmony-relative	21	47.62	52.38	61.9	57.14	57.14	57.14
specification	pitch-absolute	30	40.0	30.0	36.67	43.33	33.33	26.67
specification	pitch-relative	30	36.67	30.0	26.67	40.0	20.0	43.33
specification	rhythm-absolute	30	43.33	26.67	40.0	36.67	36.67	40.0
specification	rhythm-relative	30	20.0	43.33	26.67	30.0	50.0	40.0
